GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	62920	599171	20	-0.6047
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	668210	3008958	587	0.1067
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	3009328	16542868	8018	0.0245
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	16544783	16679239	31	-0.5165
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	16679281	34217552	9994	0.0291
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	34218266	34218862	2	-1.3002
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	34219750	37107226	1599	0.0296
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	37108449	37109263	2	-1.5747
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	37109996	54750455	9845	0.0302
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	54751411	56554977	1439	0.1249
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	56558013	103587546	31205	0.0407
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	103589737	103717410	15	-1.1554
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	103717617	105476861	923	0.0687
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	105478582	105479753	12	-0.4488
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	105481433	143695668	9850	0.0387
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	143707906	144503864	70	-0.1722
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	144932423	152583291	2292	0.0328
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	152583319	152613762	29	0.7924
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	152613802	169247699	11478	0.0431
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	169264736	169272528	7	-3.7416
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	169273163	178306816	5791	0.04
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	178307749	184082853	4053	-0.033
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	184086335	187746723	2338	0.0466
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	187748429	187752238	2	-1.4289
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	187755479	196742057	5952	0.0514
e18c22cb-6ef7-44c4-8bca-a3d70a3be9ed	1	196745692	196846661	63	-0.2758
