GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0487f52f-8b86-4157-b87c-15376e50e72b	1	62920	1696979	211	0.078
0487f52f-8b86-4157-b87c-15376e50e72b	1	1710664	1741164	14	0.9191
0487f52f-8b86-4157-b87c-15376e50e72b	1	1756148	10305228	4930	0.0098
0487f52f-8b86-4157-b87c-15376e50e72b	1	10306654	10321714	23	0.5051
0487f52f-8b86-4157-b87c-15376e50e72b	1	10321730	12774437	1301	-0.0135
0487f52f-8b86-4157-b87c-15376e50e72b	1	12775725	13326062	45	0.4228
0487f52f-8b86-4157-b87c-15376e50e72b	1	13338980	72297687	36244	0.0037
0487f52f-8b86-4157-b87c-15376e50e72b	1	72302735	72346221	49	0.5302
0487f52f-8b86-4157-b87c-15376e50e72b	1	72346757	76785091	2871	-0.0089
0487f52f-8b86-4157-b87c-15376e50e72b	1	76788037	76796139	19	-1.2975
0487f52f-8b86-4157-b87c-15376e50e72b	1	76798001	102321607	16473	0.0027
0487f52f-8b86-4157-b87c-15376e50e72b	1	102323175	102324668	3	-1.3555
0487f52f-8b86-4157-b87c-15376e50e72b	1	102324725	103615687	662	0.0028
0487f52f-8b86-4157-b87c-15376e50e72b	1	103616725	103717410	7	0.9805
0487f52f-8b86-4157-b87c-15376e50e72b	1	103717617	119981279	10598	0.0009
0487f52f-8b86-4157-b87c-15376e50e72b	1	119981332	147196749	551	0.157
0487f52f-8b86-4157-b87c-15376e50e72b	1	147200722	152583051	2013	0.0235
0487f52f-8b86-4157-b87c-15376e50e72b	1	152583230	152613762	31	-1.1238
0487f52f-8b86-4157-b87c-15376e50e72b	1	152613802	152784330	169	0.0166
0487f52f-8b86-4157-b87c-15376e50e72b	1	152785214	152795487	33	-0.4144
0487f52f-8b86-4157-b87c-15376e50e72b	1	152795783	178690798	17349	0.0029
0487f52f-8b86-4157-b87c-15376e50e72b	1	178690874	178700417	32	0.4566
0487f52f-8b86-4157-b87c-15376e50e72b	1	178700554	189679027	7358	0.0029
0487f52f-8b86-4157-b87c-15376e50e72b	1	189679353	189679397	2	-1.7467
0487f52f-8b86-4157-b87c-15376e50e72b	1	189682917	193186662	2338	0.0068
0487f52f-8b86-4157-b87c-15376e50e72b	1	193187149	193187218	4	1.3165
