GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
83ebad81-f366-45f2-97b5-2ef0f05a4d19	1	3301765	247650984	129802	0.0168
83ebad81-f366-45f2-97b5-2ef0f05a4d19	2	480597	229024106	124960	0.0163
83ebad81-f366-45f2-97b5-2ef0f05a4d19	2	229028341	229028433	2	-1.4168
83ebad81-f366-45f2-97b5-2ef0f05a4d19	2	229028710	241537572	7291	0.0192
83ebad81-f366-45f2-97b5-2ef0f05a4d19	3	2170634	197812401	107213	0.0152
83ebad81-f366-45f2-97b5-2ef0f05a4d19	4	1059384	5250114	1936	0.0133
83ebad81-f366-45f2-97b5-2ef0f05a4d19	4	5252915	5256034	7	-0.9778
83ebad81-f366-45f2-97b5-2ef0f05a4d19	4	5260321	187842528	101587	0.0149
83ebad81-f366-45f2-97b5-2ef0f05a4d19	5	913983	180934240	101159	0.0126
83ebad81-f366-45f2-97b5-2ef0f05a4d19	6	1011760	170596889	97199	0.0158
83ebad81-f366-45f2-97b5-2ef0f05a4d19	7	664936	15278112	7300	0.0164
83ebad81-f366-45f2-97b5-2ef0f05a4d19	7	15278596	15294345	9	-0.7358
83ebad81-f366-45f2-97b5-2ef0f05a4d19	7	15333569	158592540	74664	0.0178
83ebad81-f366-45f2-97b5-2ef0f05a4d19	8	667625	32295327	19184	0.0182
83ebad81-f366-45f2-97b5-2ef0f05a4d19	8	32295417	144182542	63080	0.0056
83ebad81-f366-45f2-97b5-2ef0f05a4d19	9	789794	138044505	68513	0.0163
83ebad81-f366-45f2-97b5-2ef0f05a4d19	10	366509	86044175	51650	0.0147
83ebad81-f366-45f2-97b5-2ef0f05a4d19	10	86045502	86046807	2	-1.344
83ebad81-f366-45f2-97b5-2ef0f05a4d19	10	86048618	133411599	29665	0.0188
83ebad81-f366-45f2-97b5-2ef0f05a4d19	11	456012	134272740	77601	0.0217
83ebad81-f366-45f2-97b5-2ef0f05a4d19	12	780472	119790988	68375	0.0137
83ebad81-f366-45f2-97b5-2ef0f05a4d19	12	119791867	119791877	2	-1.3818
83ebad81-f366-45f2-97b5-2ef0f05a4d19	12	119792138	132605822	5990	0.0134
83ebad81-f366-45f2-97b5-2ef0f05a4d19	13	18874255	67291898	27553	0.0157
83ebad81-f366-45f2-97b5-2ef0f05a4d19	13	67294230	67323418	2	-1.502
83ebad81-f366-45f2-97b5-2ef0f05a4d19	13	67323548	114226675	29459	0.0158
83ebad81-f366-45f2-97b5-2ef0f05a4d19	14	20033191	105533894	49806	0.015
83ebad81-f366-45f2-97b5-2ef0f05a4d19	15	23437561	101344124	44802	0.0157
83ebad81-f366-45f2-97b5-2ef0f05a4d19	16	603333	50653048	16375	0.0045
83ebad81-f366-45f2-97b5-2ef0f05a4d19	16	50653104	89317317	24856	0.0212
83ebad81-f366-45f2-97b5-2ef0f05a4d19	17	1074619	77689896	35177	0.0118
83ebad81-f366-45f2-97b5-2ef0f05a4d19	17	77690272	77692192	3	-1.191
83ebad81-f366-45f2-97b5-2ef0f05a4d19	17	77693535	82959812	2113	0.0183
83ebad81-f366-45f2-97b5-2ef0f05a4d19	18	326691	79349796	42977	0.0201
83ebad81-f366-45f2-97b5-2ef0f05a4d19	19	283868	58370362	24165	0.0154
83ebad81-f366-45f2-97b5-2ef0f05a4d19	20	472817	63588502	37575	0.012
83ebad81-f366-45f2-97b5-2ef0f05a4d19	21	13974127	46262057	20603	0.0104
83ebad81-f366-45f2-97b5-2ef0f05a4d19	22	16934932	48940621	17092	0.0128
83ebad81-f366-45f2-97b5-2ef0f05a4d19	X	3236359	155677414	63976	0.0157
