GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e417b9bb-683e-40fe-b2e7-0829a2644cc3	1	3301765	80912571	44510	0.007
e417b9bb-683e-40fe-b2e7-0829a2644cc3	1	80913084	80913397	4	-1.133
e417b9bb-683e-40fe-b2e7-0829a2644cc3	1	80917615	241905742	82460	0.0072
e417b9bb-683e-40fe-b2e7-0829a2644cc3	1	242024534	242147281	75	0.5626
e417b9bb-683e-40fe-b2e7-0829a2644cc3	1	242157358	242420551	201	0.0231
e417b9bb-683e-40fe-b2e7-0829a2644cc3	1	242420814	242423258	3	-0.7896
e417b9bb-683e-40fe-b2e7-0829a2644cc3	1	242426855	245065423	1449	0.0054
e417b9bb-683e-40fe-b2e7-0829a2644cc3	1	245065584	245340597	155	0.5404
e417b9bb-683e-40fe-b2e7-0829a2644cc3	1	245348549	247650984	969	0.004
e417b9bb-683e-40fe-b2e7-0829a2644cc3	2	480597	196114901	105003	0.0038
e417b9bb-683e-40fe-b2e7-0829a2644cc3	2	196119055	196126189	3	-1.3326
e417b9bb-683e-40fe-b2e7-0829a2644cc3	2	196129548	212963380	9799	0.0029
e417b9bb-683e-40fe-b2e7-0829a2644cc3	2	212965437	212967011	3	-1.0603
e417b9bb-683e-40fe-b2e7-0829a2644cc3	2	212967899	241537572	17473	0.0006
e417b9bb-683e-40fe-b2e7-0829a2644cc3	3	2170634	197812401	107247	0.0027
e417b9bb-683e-40fe-b2e7-0829a2644cc3	4	1059384	187842528	103559	0.008
e417b9bb-683e-40fe-b2e7-0829a2644cc3	5	913983	180934240	101179	0.0068
e417b9bb-683e-40fe-b2e7-0829a2644cc3	6	1011760	41645350	24898	0.0044
e417b9bb-683e-40fe-b2e7-0829a2644cc3	6	41645628	41646742	5	1.1212
e417b9bb-683e-40fe-b2e7-0829a2644cc3	6	41647191	52129284	5997	0.0036
e417b9bb-683e-40fe-b2e7-0829a2644cc3	6	52135422	52135560	2	-1.2179
e417b9bb-683e-40fe-b2e7-0829a2644cc3	6	52135916	66464114	5699	0.0052
e417b9bb-683e-40fe-b2e7-0829a2644cc3	6	66464804	66465949	3	-0.9185
e417b9bb-683e-40fe-b2e7-0829a2644cc3	6	66468059	121079993	30704	0.0085
e417b9bb-683e-40fe-b2e7-0829a2644cc3	6	121080766	121197655	57	-1.0867
e417b9bb-683e-40fe-b2e7-0829a2644cc3	6	121205634	170596889	29866	0.0059
e417b9bb-683e-40fe-b2e7-0829a2644cc3	7	664936	10869677	4047	0.0042
e417b9bb-683e-40fe-b2e7-0829a2644cc3	7	10875743	10876174	3	-0.951
e417b9bb-683e-40fe-b2e7-0829a2644cc3	7	10880731	20666446	5940	0.0088
e417b9bb-683e-40fe-b2e7-0829a2644cc3	7	20670414	20671025	2	-1.0529
e417b9bb-683e-40fe-b2e7-0829a2644cc3	7	20679778	22757820	1538	0.0076
e417b9bb-683e-40fe-b2e7-0829a2644cc3	7	22758461	22758646	4	-0.6835
e417b9bb-683e-40fe-b2e7-0829a2644cc3	7	22759381	23995508	792	0.0039
e417b9bb-683e-40fe-b2e7-0829a2644cc3	7	24000259	24000764	2	1.2079
e417b9bb-683e-40fe-b2e7-0829a2644cc3	7	24001198	158592540	69663	0.0067
e417b9bb-683e-40fe-b2e7-0829a2644cc3	8	667625	32079620	19010	0.0038
e417b9bb-683e-40fe-b2e7-0829a2644cc3	8	32080387	32080659	3	-1.1176
e417b9bb-683e-40fe-b2e7-0829a2644cc3	8	32083111	120814582	48507	0.0094
e417b9bb-683e-40fe-b2e7-0829a2644cc3	8	120815228	120815257	3	-1.1116
e417b9bb-683e-40fe-b2e7-0829a2644cc3	8	120816679	136341809	11087	0.0081
e417b9bb-683e-40fe-b2e7-0829a2644cc3	8	136341818	136342457	2	1.1407
e417b9bb-683e-40fe-b2e7-0829a2644cc3	8	136347984	144182542	3669	0.0009
e417b9bb-683e-40fe-b2e7-0829a2644cc3	9	789794	114298971	54389	0.0079
e417b9bb-683e-40fe-b2e7-0829a2644cc3	9	114299325	114300397	2	-1.1985
e417b9bb-683e-40fe-b2e7-0829a2644cc3	9	114304292	138044505	14132	0.0024
e417b9bb-683e-40fe-b2e7-0829a2644cc3	10	366509	93523027	56013	0.0098
e417b9bb-683e-40fe-b2e7-0829a2644cc3	10	93527359	93536650	13	-0.9507
