GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
45d6205e-0dfe-4332-b08b-4024169abb20	1	62920	3301765	738	0.211
45d6205e-0dfe-4332-b08b-4024169abb20	1	3302046	15827002	7601	0.0147
45d6205e-0dfe-4332-b08b-4024169abb20	1	15827041	15827430	5	-1.9784
45d6205e-0dfe-4332-b08b-4024169abb20	1	15827706	15841360	8	-0.6706
45d6205e-0dfe-4332-b08b-4024169abb20	1	15843965	16240324	166	0.0599
45d6205e-0dfe-4332-b08b-4024169abb20	1	16241127	16246309	3	1.2529
45d6205e-0dfe-4332-b08b-4024169abb20	1	16247887	16542868	124	0.0082
45d6205e-0dfe-4332-b08b-4024169abb20	1	16544783	16643897	29	-0.6646
45d6205e-0dfe-4332-b08b-4024169abb20	1	16643961	22170210	3529	0.0087
45d6205e-0dfe-4332-b08b-4024169abb20	1	22175223	22177779	3	1.6305
45d6205e-0dfe-4332-b08b-4024169abb20	1	22180930	30266949	4229	0.0109
45d6205e-0dfe-4332-b08b-4024169abb20	1	30268649	30272363	4	1.4398
45d6205e-0dfe-4332-b08b-4024169abb20	1	30274729	30451265	141	0.0366
45d6205e-0dfe-4332-b08b-4024169abb20	1	30452438	30452713	2	-1.7491
45d6205e-0dfe-4332-b08b-4024169abb20	1	30452918	30645536	175	-0.0038
45d6205e-0dfe-4332-b08b-4024169abb20	1	30645802	30778851	94	0.2828
45d6205e-0dfe-4332-b08b-4024169abb20	1	30789158	34625857	2134	-0.0047
45d6205e-0dfe-4332-b08b-4024169abb20	1	34625993	34638890	23	-0.5832
45d6205e-0dfe-4332-b08b-4024169abb20	1	34648667	65432186	19262	0.0057
45d6205e-0dfe-4332-b08b-4024169abb20	1	65432268	65440582	4	1.849
45d6205e-0dfe-4332-b08b-4024169abb20	1	65441079	72303233	4498	0.0064
45d6205e-0dfe-4332-b08b-4024169abb20	1	72303253	72345465	45	-1.014
45d6205e-0dfe-4332-b08b-4024169abb20	1	72346221	78915075	4128	-0.0015
45d6205e-0dfe-4332-b08b-4024169abb20	1	78915284	78964666	15	-0.6764
45d6205e-0dfe-4332-b08b-4024169abb20	1	78967018	109684893	19460	-0.0034
45d6205e-0dfe-4332-b08b-4024169abb20	1	109690352	109697556	13	-1.0522
45d6205e-0dfe-4332-b08b-4024169abb20	1	109702376	110834746	837	-0.0056
45d6205e-0dfe-4332-b08b-4024169abb20	1	110834943	110845604	38	-2.2281
45d6205e-0dfe-4332-b08b-4024169abb20	1	110849445	143494500	6260	-0.0002
45d6205e-0dfe-4332-b08b-4024169abb20	1	143541857	143890323	118	-2.1381
45d6205e-0dfe-4332-b08b-4024169abb20	1	143893019	248123533	67506	0.0042
45d6205e-0dfe-4332-b08b-4024169abb20	1	248123690	248150198	13	0.859
45d6205e-0dfe-4332-b08b-4024169abb20	1	248156443	248585893	203	-0.0479
45d6205e-0dfe-4332-b08b-4024169abb20	1	248585918	248631988	29	-0.8577
45d6205e-0dfe-4332-b08b-4024169abb20	1	248633821	248930189	143	0.0386
45d6205e-0dfe-4332-b08b-4024169abb20	2	12784	34492416	24114	0.0106
45d6205e-0dfe-4332-b08b-4024169abb20	2	34492601	34511990	21	-0.9122
45d6205e-0dfe-4332-b08b-4024169abb20	2	34512096	41011095	4806	0.0037
45d6205e-0dfe-4332-b08b-4024169abb20	2	41011303	41015728	17	-1.7489
45d6205e-0dfe-4332-b08b-4024169abb20	2	41015808	52527743	8188	0.0053
45d6205e-0dfe-4332-b08b-4024169abb20	2	52531615	52554404	33	-0.92
45d6205e-0dfe-4332-b08b-4024169abb20	2	52560811	75650524	14897	0.0093
45d6205e-0dfe-4332-b08b-4024169abb20	2	75650686	75654151	4	1.7987
45d6205e-0dfe-4332-b08b-4024169abb20	2	75654702	81981496	4298	0.0047
45d6205e-0dfe-4332-b08b-4024169abb20	2	81981747	82087496	65	0.6039
45d6205e-0dfe-4332-b08b-4024169abb20	2	82090732	107233792	10791	0.0086
45d6205e-0dfe-4332-b08b-4024169abb20	2	107233901	107234699	2	-1.9603
45d6205e-0dfe-4332-b08b-4024169abb20	2	107238909	121817275	8245	0.0073
45d6205e-0dfe-4332-b08b-4024169abb20	2	121819002	121820716	3	-1.985
45d6205e-0dfe-4332-b08b-4024169abb20	2	121821058	125518139	2469	-0.0135
45d6205e-0dfe-4332-b08b-4024169abb20	2	125520549	125522119	2	2.3242
45d6205e-0dfe-4332-b08b-4024169abb20	2	125522815	188703060	38400	0.0034
45d6205e-0dfe-4332-b08b-4024169abb20	2	188703229	188712256	20	-0.9636
45d6205e-0dfe-4332-b08b-4024169abb20	2	188712527	242147305	33124	0.0073
