GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
83c11990-435b-4733-99a2-dc02e7da2a48	1	3301765	201358308	99794	0.0171
83c11990-435b-4733-99a2-dc02e7da2a48	1	201358967	201362251	3	-1.3385
83c11990-435b-4733-99a2-dc02e7da2a48	1	201362536	247650984	30001	0.0177
83c11990-435b-4733-99a2-dc02e7da2a48	2	480597	241537572	132251	0.0157
83c11990-435b-4733-99a2-dc02e7da2a48	3	2170634	174381714	95082	0.0172
83c11990-435b-4733-99a2-dc02e7da2a48	3	174382618	174390905	9	-1.1251
83c11990-435b-4733-99a2-dc02e7da2a48	3	174396338	197812401	12124	0.0177
83c11990-435b-4733-99a2-dc02e7da2a48	4	1059384	43422435	26019	0.0187
83c11990-435b-4733-99a2-dc02e7da2a48	4	43422913	43423145	3	-1.1534
83c11990-435b-4733-99a2-dc02e7da2a48	4	43426409	187842528	77503	0.02
83c11990-435b-4733-99a2-dc02e7da2a48	5	914118	55397149	28962	0.0176
83c11990-435b-4733-99a2-dc02e7da2a48	5	55397286	55398773	3	-1.2432
83c11990-435b-4733-99a2-dc02e7da2a48	5	55401576	180934240	72173	0.0168
83c11990-435b-4733-99a2-dc02e7da2a48	6	1011760	170596889	97194	0.0172
83c11990-435b-4733-99a2-dc02e7da2a48	7	664936	84543591	43417	0.0188
83c11990-435b-4733-99a2-dc02e7da2a48	7	84546077	84689680	54	-0.9536
83c11990-435b-4733-99a2-dc02e7da2a48	7	84696464	158592540	38484	0.0146
83c11990-435b-4733-99a2-dc02e7da2a48	8	667625	144182542	82251	0.0192
83c11990-435b-4733-99a2-dc02e7da2a48	9	789794	138044505	68506	0.0183
83c11990-435b-4733-99a2-dc02e7da2a48	10	366509	133411599	81309	0.0184
83c11990-435b-4733-99a2-dc02e7da2a48	11	456012	134272740	77591	0.0141
83c11990-435b-4733-99a2-dc02e7da2a48	12	780472	54593761	28183	0.0152
83c11990-435b-4733-99a2-dc02e7da2a48	12	54596679	54602088	7	-0.9058
83c11990-435b-4733-99a2-dc02e7da2a48	12	54603588	132605822	46171	0.0162
83c11990-435b-4733-99a2-dc02e7da2a48	13	18874255	109725116	54590	0.0192
83c11990-435b-4733-99a2-dc02e7da2a48	13	109731283	109742298	4	-0.8708
83c11990-435b-4733-99a2-dc02e7da2a48	13	109742385	114226675	2422	0.021
83c11990-435b-4733-99a2-dc02e7da2a48	14	20033191	51490946	16395	0.0163
83c11990-435b-4733-99a2-dc02e7da2a48	14	51491738	51491817	2	-1.4795
83c11990-435b-4733-99a2-dc02e7da2a48	14	51492171	105533894	33402	0.0126
83c11990-435b-4733-99a2-dc02e7da2a48	15	23437561	101344124	44793	0.0178
83c11990-435b-4733-99a2-dc02e7da2a48	16	603333	83760390	38529	0.0171
83c11990-435b-4733-99a2-dc02e7da2a48	16	83760392	83760401	2	-1.8454
83c11990-435b-4733-99a2-dc02e7da2a48	16	83760419	89317317	2697	0.0275
83c11990-435b-4733-99a2-dc02e7da2a48	17	1074619	47230327	18289	0.018
83c11990-435b-4733-99a2-dc02e7da2a48	17	47230562	47235447	3	-1.3022
83c11990-435b-4733-99a2-dc02e7da2a48	17	47236989	82959812	19001	0.0153
83c11990-435b-4733-99a2-dc02e7da2a48	18	326691	79349796	42976	0.0158
83c11990-435b-4733-99a2-dc02e7da2a48	19	283868	45244986	18756	0.0163
83c11990-435b-4733-99a2-dc02e7da2a48	19	45245096	45245997	2	-1.6299
83c11990-435b-4733-99a2-dc02e7da2a48	19	45253118	50600126	2059	0.0129
83c11990-435b-4733-99a2-dc02e7da2a48	19	50606536	50610660	2	-1.2857
83c11990-435b-4733-99a2-dc02e7da2a48	19	50621474	58370362	3344	0.0132
83c11990-435b-4733-99a2-dc02e7da2a48	20	472817	63588502	37572	0.0163
83c11990-435b-4733-99a2-dc02e7da2a48	21	13974127	46262057	20609	0.0184
83c11990-435b-4733-99a2-dc02e7da2a48	22	16934932	48940621	17092	0.0167
83c11990-435b-4733-99a2-dc02e7da2a48	X	3236359	155677414	63976	0.0187
