GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8630bc05-d028-470f-a089-aab073e399b6	1	3301765	247650984	129772	0.0117
8630bc05-d028-470f-a089-aab073e399b6	2	480597	85105322	49502	0.0086
8630bc05-d028-470f-a089-aab073e399b6	2	85105337	85106283	2	-1.7659
8630bc05-d028-470f-a089-aab073e399b6	2	85106853	213412835	65540	0.0088
8630bc05-d028-470f-a089-aab073e399b6	2	213413897	213416736	7	-1.1915
8630bc05-d028-470f-a089-aab073e399b6	2	213420115	220528700	4400	0.0124
8630bc05-d028-470f-a089-aab073e399b6	2	220528954	220529671	2	-1.3495
8630bc05-d028-470f-a089-aab073e399b6	2	220534682	241537572	12771	0.0014
8630bc05-d028-470f-a089-aab073e399b6	3	2170634	25447827	13851	0.0043
8630bc05-d028-470f-a089-aab073e399b6	3	25449153	25449233	5	-1.1513
8630bc05-d028-470f-a089-aab073e399b6	3	25453694	105059129	43381	0.0027
8630bc05-d028-470f-a089-aab073e399b6	3	105063306	105067700	4	-1.0864
8630bc05-d028-470f-a089-aab073e399b6	3	105067877	153788049	27443	0.002
8630bc05-d028-470f-a089-aab073e399b6	3	153788261	153789637	2	-1.5999
8630bc05-d028-470f-a089-aab073e399b6	3	153790428	197812401	22524	0.0009
8630bc05-d028-470f-a089-aab073e399b6	4	1059384	124538250	69559	0.0034
8630bc05-d028-470f-a089-aab073e399b6	4	124539196	124541780	3	-1.3958
8630bc05-d028-470f-a089-aab073e399b6	4	124541870	183378972	31926	0.0045
8630bc05-d028-470f-a089-aab073e399b6	4	183379780	183379867	2	1.3892
8630bc05-d028-470f-a089-aab073e399b6	4	183380896	187842528	2034	-0.0042
8630bc05-d028-470f-a089-aab073e399b6	5	913983	68636781	36865	0.0074
8630bc05-d028-470f-a089-aab073e399b6	5	68637920	68667520	26	0.588
8630bc05-d028-470f-a089-aab073e399b6	5	68667642	180934240	64229	0.0045
8630bc05-d028-470f-a089-aab073e399b6	6	1011760	170596889	97182	0.0028
8630bc05-d028-470f-a089-aab073e399b6	7	664936	158592540	81964	0.0065
8630bc05-d028-470f-a089-aab073e399b6	8	667625	144182542	82224	0.0086
8630bc05-d028-470f-a089-aab073e399b6	9	789794	27643055	17224	0.0123
8630bc05-d028-470f-a089-aab073e399b6	9	27646559	27646699	2	-1.3884
8630bc05-d028-470f-a089-aab073e399b6	9	27646994	70833139	8190	0.0066
8630bc05-d028-470f-a089-aab073e399b6	9	70836876	70837585	3	-1.8341
8630bc05-d028-470f-a089-aab073e399b6	9	70839367	138044505	43069	0.0106
8630bc05-d028-470f-a089-aab073e399b6	10	366509	133411599	81303	0.0094
8630bc05-d028-470f-a089-aab073e399b6	11	456012	40536147	25442	0.0077
8630bc05-d028-470f-a089-aab073e399b6	11	40537264	40537295	2	-1.9068
8630bc05-d028-470f-a089-aab073e399b6	11	40538165	134272740	52143	0.0048
8630bc05-d028-470f-a089-aab073e399b6	12	780472	125659763	71293	0.0052
8630bc05-d028-470f-a089-aab073e399b6	12	125661549	125661713	2	-1.7245
8630bc05-d028-470f-a089-aab073e399b6	12	125661768	132605822	3065	0.0073
8630bc05-d028-470f-a089-aab073e399b6	13	18874255	114226675	57011	0.003
8630bc05-d028-470f-a089-aab073e399b6	14	20033191	105533894	49805	0.0079
8630bc05-d028-470f-a089-aab073e399b6	15	23437561	101344124	44803	0.0126
8630bc05-d028-470f-a089-aab073e399b6	16	603333	89317317	41215	0.0162
8630bc05-d028-470f-a089-aab073e399b6	17	1074619	82959812	37294	0.0137
8630bc05-d028-470f-a089-aab073e399b6	18	326691	54722849	29173	0.0064
8630bc05-d028-470f-a089-aab073e399b6	18	54724343	54726513	2	-1.7875
8630bc05-d028-470f-a089-aab073e399b6	18	54726933	61420245	4364	0.0098
8630bc05-d028-470f-a089-aab073e399b6	18	61422139	61427165	3	-1.3148
8630bc05-d028-470f-a089-aab073e399b6	18	61427754	79349796	9430	0.0043
8630bc05-d028-470f-a089-aab073e399b6	19	283868	58370362	24160	0.0111
8630bc05-d028-470f-a089-aab073e399b6	20	472817	63588502	37559	0.0146
8630bc05-d028-470f-a089-aab073e399b6	21	13974127	19546896	3563	0.0022
8630bc05-d028-470f-a089-aab073e399b6	21	19553566	19553908	2	1.4017
8630bc05-d028-470f-a089-aab073e399b6	21	19556922	35048091	9937	0.0066
8630bc05-d028-470f-a089-aab073e399b6	21	35048489	35048578	2	-2.0808
8630bc05-d028-470f-a089-aab073e399b6	21	35048776	46262057	7099	-0.0008
8630bc05-d028-470f-a089-aab073e399b6	22	16934932	48940621	17092	0.0134
8630bc05-d028-470f-a089-aab073e399b6	X	3236359	155677414	63986	0.007
