GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a396e68c-d78a-435d-9d79-c8c66aaea595	1	3301765	53148956	26512	0.0071
a396e68c-d78a-435d-9d79-c8c66aaea595	1	53149208	53152370	3	-1.137
a396e68c-d78a-435d-9d79-c8c66aaea595	1	53152863	83123032	19384	0.0166
a396e68c-d78a-435d-9d79-c8c66aaea595	1	83124400	119874537	22114	0.0062
a396e68c-d78a-435d-9d79-c8c66aaea595	1	119877425	155260831	2597	-0.0249
a396e68c-d78a-435d-9d79-c8c66aaea595	1	155261512	160230633	2923	0.0037
a396e68c-d78a-435d-9d79-c8c66aaea595	1	160231455	161688868	725	-0.0507
a396e68c-d78a-435d-9d79-c8c66aaea595	1	161688990	168891017	5555	0.0127
a396e68c-d78a-435d-9d79-c8c66aaea595	1	168895885	168895926	2	-1.0619
a396e68c-d78a-435d-9d79-c8c66aaea595	1	168896238	171531889	1828	0.002
a396e68c-d78a-435d-9d79-c8c66aaea595	1	171537669	175313983	2218	-0.0321
a396e68c-d78a-435d-9d79-c8c66aaea595	1	175314056	189911089	9016	0.0196
a396e68c-d78a-435d-9d79-c8c66aaea595	1	189911405	199664908	5667	-0.0077
a396e68c-d78a-435d-9d79-c8c66aaea595	1	199665274	202596543	1854	0.0244
a396e68c-d78a-435d-9d79-c8c66aaea595	1	202597143	207866710	3309	-0.0087
a396e68c-d78a-435d-9d79-c8c66aaea595	1	207869857	247650984	25944	0.0156
a396e68c-d78a-435d-9d79-c8c66aaea595	2	480597	6610561	3626	0.0452
a396e68c-d78a-435d-9d79-c8c66aaea595	2	6611267	120472510	60029	0.0134
a396e68c-d78a-435d-9d79-c8c66aaea595	2	120473495	133075373	5858	0.0379
a396e68c-d78a-435d-9d79-c8c66aaea595	2	133076094	209403680	42984	0.0094
a396e68c-d78a-435d-9d79-c8c66aaea595	2	209406866	224145080	9246	0.0266
a396e68c-d78a-435d-9d79-c8c66aaea595	2	224150454	230048317	3569	0.0151
a396e68c-d78a-435d-9d79-c8c66aaea595	2	230048437	232555262	1167	-0.0291
a396e68c-d78a-435d-9d79-c8c66aaea595	2	232555342	241537572	5576	0.0162
a396e68c-d78a-435d-9d79-c8c66aaea595	3	2170634	14867506	7785	0.0236
a396e68c-d78a-435d-9d79-c8c66aaea595	3	14867873	19748496	2782	-0.0151
a396e68c-d78a-435d-9d79-c8c66aaea595	3	19754214	28216801	4823	0.0229
a396e68c-d78a-435d-9d79-c8c66aaea595	3	28217212	31974717	2541	-0.0137
a396e68c-d78a-435d-9d79-c8c66aaea595	3	31975115	41283371	5791	0.0227
a396e68c-d78a-435d-9d79-c8c66aaea595	3	41287983	53114439	5484	-0.0047
a396e68c-d78a-435d-9d79-c8c66aaea595	3	53116180	56672500	2593	0.0395
a396e68c-d78a-435d-9d79-c8c66aaea595	3	56674097	57000455	211	-0.0106
a396e68c-d78a-435d-9d79-c8c66aaea595	3	57001286	57004339	2	0.9877
a396e68c-d78a-435d-9d79-c8c66aaea595	3	57006494	59652761	1495	-0.0062
a396e68c-d78a-435d-9d79-c8c66aaea595	3	59653636	67037007	4673	0.0342
a396e68c-d78a-435d-9d79-c8c66aaea595	3	67037024	72330511	3719	-0.0028
a396e68c-d78a-435d-9d79-c8c66aaea595	3	72331130	101831425	13351	0.022
a396e68c-d78a-435d-9d79-c8c66aaea595	3	101833628	115287140	7614	0.0006
a396e68c-d78a-435d-9d79-c8c66aaea595	3	115287922	186055213	37701	0.0176
a396e68c-d78a-435d-9d79-c8c66aaea595	3	186055354	189429957	2462	-0.0102
a396e68c-d78a-435d-9d79-c8c66aaea595	3	189448219	194937785	3389	0.0189
a396e68c-d78a-435d-9d79-c8c66aaea595	3	194938217	194956363	3	-0.9044
a396e68c-d78a-435d-9d79-c8c66aaea595	3	194957286	197812401	683	-0.0134
a396e68c-d78a-435d-9d79-c8c66aaea595	4	1059384	15490829	8744	0.0281
a396e68c-d78a-435d-9d79-c8c66aaea595	4	15493130	15495432	6	-1.0922
a396e68c-d78a-435d-9d79-c8c66aaea595	4	15498974	184200401	92752	0.0183
a396e68c-d78a-435d-9d79-c8c66aaea595	4	184200563	184200580	2	-2.4417
a396e68c-d78a-435d-9d79-c8c66aaea595	4	184202241	187842528	1862	0.0309
a396e68c-d78a-435d-9d79-c8c66aaea595	5	913983	32810903	19222	0.0315
a396e68c-d78a-435d-9d79-c8c66aaea595	5	32811456	56123092	10063	0.0136
a396e68c-d78a-435d-9d79-c8c66aaea595	5	56124045	57031650	728	-0.0417
a396e68c-d78a-435d-9d79-c8c66aaea595	5	57033375	77784902	11267	0.0115
a396e68c-d78a-435d-9d79-c8c66aaea595	5	77787557	77787972	3	-0.9675
a396e68c-d78a-435d-9d79-c8c66aaea595	5	77788196	160486311	47399	0.0112
a396e68c-d78a-435d-9d79-c8c66aaea595	5	160486596	179914731	11862	0.0261
a396e68c-d78a-435d-9d79-c8c66aaea595	5	179915960	179916729	2	-1.1396
a396e68c-d78a-435d-9d79-c8c66aaea595	5	179919466	180934240	473	0.0109
a396e68c-d78a-435d-9d79-c8c66aaea595	6	1011760	19876219	13360	0.011
a396e68c-d78a-435d-9d79-c8c66aaea595	6	19877626	19883816	3	-1.0708
a396e68c-d78a-435d-9d79-c8c66aaea595	6	19883994	22903102	2179	0.0227
a396e68c-d78a-435d-9d79-c8c66aaea595	6	22905088	22905603	4	0.7465
a396e68c-d78a-435d-9d79-c8c66aaea595	6	22909104	24544104	1153	0.0257
a396e68c-d78a-435d-9d79-c8c66aaea595	6	24544739	38953278	6167	-0.0237
a396e68c-d78a-435d-9d79-c8c66aaea595	6	38953464	40354039	1026	0.0444
