GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	62920	259407	14	-0.3456
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	259422	3318992	744	0.0941
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	3319477	13326062	5773	0.0103
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	13338980	13339386	2	-1.7626
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	13362275	17931398	2882	0.0172
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	17932749	18029086	115	0.5347
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	18029598	25256850	4490	0.0119
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	25266637	25320198	22	-1.7255
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	25320253	30265508	2391	0.0028
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	30265585	30268809	8	-0.7245
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	30269103	72297687	26333	0.0072
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	72302735	72345465	48	-0.9627
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	72346221	89009572	10937	0.0012
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	89012275	89012522	2	-2.3027
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	89015841	109690352	12667	-0.0008
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	109690415	109697556	12	-1.3249
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	109702376	112147704	1950	0.006
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	112153343	112163496	30	-0.3005
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	112163506	143748012	5251	0.0135
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	143748074	143760271	20	0.7545
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	143762042	152583230	2325	0.0176
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	152583291	152613762	30	-1.7152
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	152613802	169247699	11484	0.0035
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	169264736	169272528	7	-2.2082
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	1	169273163	248930189	54035	0.0036
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	2	12784	34466002	24090	0.0044
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	2	34474248	34511990	46	-0.3892
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	2	34512096	40102143	4026	-0.0054
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	2	40102263	40109500	7	-0.8695
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	2	40110927	52511902	8960	0.0012
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	2	52511964	52554274	41	0.3487
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	2	52554359	86710564	21915	-0.0006
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	2	86725947	86726731	2	-1.6566
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	2	86743283	128880904	20900	0.0047
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	2	128880928	128882741	14	-0.5893
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	2	128882755	207486030	47394	0.0031
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	2	207490188	207494425	17	-0.6139
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	2	207494612	242147305	22070	0.0063
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	3	20930	182919	154	-0.0092
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	3	188339	201405	13	-0.5626
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	3	205771	37935926	27448	0.0009
7b48cc22-59b9-4925-9c3a-ba1d1917d3da	3	37940617	37945437	18	-0.7449
