GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4b23b5e1-813b-4975-8594-627aadcd3f92	1	62920	915307	59	-0.2457
4b23b5e1-813b-4975-8594-627aadcd3f92	1	939522	3286332	672	-0.415
4b23b5e1-813b-4975-8594-627aadcd3f92	1	3291811	3692443	183	-0.9577
4b23b5e1-813b-4975-8594-627aadcd3f92	1	3697916	8099030	3071	-0.4411
4b23b5e1-813b-4975-8594-627aadcd3f92	1	8101790	8127151	23	0.3408
4b23b5e1-813b-4975-8594-627aadcd3f92	1	8127240	14679867	3463	-0.4728
4b23b5e1-813b-4975-8594-627aadcd3f92	1	14683951	16604834	1122	-0.1947
4b23b5e1-813b-4975-8594-627aadcd3f92	1	16605031	16689764	31	-0.7094
4b23b5e1-813b-4975-8594-627aadcd3f92	1	16718963	16767532	10	-1.4311
4b23b5e1-813b-4975-8594-627aadcd3f92	1	16767571	16958425	70	-0.4534
4b23b5e1-813b-4975-8594-627aadcd3f92	1	16959715	23573752	4305	-0.1574
4b23b5e1-813b-4975-8594-627aadcd3f92	1	23580944	23619093	29	-3.3288
4b23b5e1-813b-4975-8594-627aadcd3f92	1	23622466	23634378	7	-1.2279
4b23b5e1-813b-4975-8594-627aadcd3f92	1	23642429	25256850	896	-0.1408
4b23b5e1-813b-4975-8594-627aadcd3f92	1	25266637	25320198	22	-1.2467
4b23b5e1-813b-4975-8594-627aadcd3f92	1	25320253	30254028	2376	-0.1786
4b23b5e1-813b-4975-8594-627aadcd3f92	1	30258675	30266452	11	-1.0093
4b23b5e1-813b-4975-8594-627aadcd3f92	1	30266949	30940106	519	-0.1602
4b23b5e1-813b-4975-8594-627aadcd3f92	1	30943162	30957585	4	-2.8073
4b23b5e1-813b-4975-8594-627aadcd3f92	1	30958329	32869438	831	-0.1579
4b23b5e1-813b-4975-8594-627aadcd3f92	1	32877136	32899144	13	0.6079
4b23b5e1-813b-4975-8594-627aadcd3f92	1	32905234	36256784	1912	-0.1571
4b23b5e1-813b-4975-8594-627aadcd3f92	1	36257187	36267399	7	-1.644
4b23b5e1-813b-4975-8594-627aadcd3f92	1	36270000	39186518	1767	-0.1586
4b23b5e1-813b-4975-8594-627aadcd3f92	1	39192650	46408231	3986	0.2011
