GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	62920	266187	17	0.4488
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	462795	12823233	6494	0.0022
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	12832455	13326062	17	0.39
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	13338980	13362275	3	-1.2078
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	13383455	15822848	1798	-0.0035
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	15823420	15841285	13	0.483
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	15841304	25256850	5670	-0.0069
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	25266637	25320198	22	0.5552
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	25320253	72302815	28731	0
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	72303233	72345450	45	-1.0012
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	72345465	89009572	10933	-0.0013
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	89012275	89012522	2	-3.6806
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	89015841	98698000	5955	0.0084
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	98698634	98701090	2	-1.5569
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	98701125	103616762	3130	0.0005
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	103620877	103717410	5	1.0931
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	103717617	105476583	919	-0.0244
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	105476614	105479753	16	1.0682
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	105481433	108187137	1938	-0.0028
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	108191613	108194874	3	-4.1406
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	108196482	109677464	689	-0.0093
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	109677968	109697533	17	-0.4122
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	109697556	112147704	1950	-0.0035
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	112153343	112154591	22	-0.5708
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	112154619	119984738	5044	-0.0064
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	119984772	144442098	252	0.1188
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	144442342	152787202	2509	0.0105
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	152789447	152796224	37	0.347
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	152801429	196761905	29458	0.0019
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	196762480	196762956	2	-2.2314
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	196769493	196843377	55	0.2513
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	196843400	196846661	2	2.2266
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	196847600	215318153	12515	-0.002
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	215320126	215325761	7	-0.9935
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	215327688	223263567	5434	-0.003
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	223267838	223268720	3	-1.0385
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	223270345	223516735	233	0.0069
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	223519820	223521393	4	0.8346
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	223525207	234865427	7725	0.001
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	234869375	234869763	2	-1.2577
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	234871309	240196819	3974	0.0013
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	240203040	240204222	7	-0.7228
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	240204475	241188894	784	0.0061
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	241199481	241203687	5	-0.9616
1dd444cf-e7b9-4380-be32-4913fe6738e6	1	241212366	248930189	5110	-0.0063
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	12784	24384085	17932	0.0013
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	24384113	24388259	14	-0.7238
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	24388858	32759370	4805	0.0039
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	32760006	32760381	2	1.221
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	32766328	34295406	1234	-0.0156
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	34298911	34300513	2	-2.0141
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	34300900	34476668	101	-0.0162
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	34483565	34502784	37	0.4158
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	34502800	35750907	875	0.0163
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	35752724	35762850	6	-2.1844
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	35762881	49305903	9846	0.0001
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	49308629	49314051	5	-1.2684
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	49317902	52527330	2272	-0.0047
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	52527342	52554404	39	-0.6796
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	52560811	89025976	22704	0.0058
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	89027904	89085826	10	0.5653
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	89092541	97210040	1109	0.011
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	97210463	97211069	3	-1.1275
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	97211264	97359885	15	0.0313
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	97524284	97545726	9	0.7776
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	97550415	140789964	26139	0.0011
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	140792459	140800456	4	-1.1811
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	140803121	188254196	28993	0.0045
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	188255201	188264331	5	-1.0313
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	188264452	188714602	212	-0.0004
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	188715812	188715816	2	1.2001
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	188716515	207485315	11017	0.0026
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	207485467	207485538	3	1.001
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	207485595	211906109	2767	0.0088
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	211906909	211906945	2	-1.3383
1dd444cf-e7b9-4380-be32-4913fe6738e6	2	211910216	242147305	19329	0.0034
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	20930	11081913	9383	-0.0102
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	11083082	11083241	2	-1.3967
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	11086063	16197556	3508	-0.0021
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	16199049	16199672	6	-0.7404
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	16199818	29395914	9032	-0.0022
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	29396150	29396889	2	-1.6102
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	29396917	60545976	19333	-0.0013
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	60546702	60558399	13	-0.4769
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	60558730	65200174	4030	0.0013
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	65202778	65224777	53	-0.5977
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	65230674	69124033	2776	0.0002
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	69124224	69132032	3	-1.0485
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	69132401	75511375	4584	0.0009
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	75511394	75559488	12	0.6501
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	75564023	85288131	5369	-0.0008
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	85289069	85289204	2	-1.4138
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	85296469	98180575	5003	-0.0019
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	98189826	98195973	4	0.9816
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	98197104	130044855	19329	0.0004
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	130047743	130087393	37	-0.4672
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	130088081	137314218	4499	0.0031
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	137314418	137314421	3	1.7764
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	137314580	162790480	15754	0.0012
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	162794869	162908207	70	-1.5941
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	162908784	169012392	3439	-0.0051
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	169015614	169020840	2	-2.1412
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	169022039	189372316	13001	0.0001
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	189372662	189380938	6	-0.7998
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	189384112	189642965	211	0.0059
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	189645889	189653225	13	-0.923
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	189654562	193156958	2487	-0.0024
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	193160113	193168958	27	0.4068
1dd444cf-e7b9-4380-be32-4913fe6738e6	3	193168971	198169247	2685	0.0068
1dd444cf-e7b9-4380-be32-4913fe6738e6	4	68929	4163608	1634	0.0071
1dd444cf-e7b9-4380-be32-4913fe6738e6	4	4164791	4165406	4	-1.5704
1dd444cf-e7b9-4380-be32-4913fe6738e6	4	4169608	34777432	21073	-0.0024
1dd444cf-e7b9-4380-be32-4913fe6738e6	4	34784878	34823103	38	-0.89
1dd444cf-e7b9-4380-be32-4913fe6738e6	4	34828250	39415971	3192	-0.0036
1dd444cf-e7b9-4380-be32-4913fe6738e6	4	39423161	39426675	6	-0.8904
1dd444cf-e7b9-4380-be32-4913fe6738e6	4	39427510	68478894	16257	-0.001
1dd444cf-e7b9-4380-be32-4913fe6738e6	4	68494770	68620261	68	-1.5269
1dd444cf-e7b9-4380-be32-4913fe6738e6	4	68623617	97250644	17574	-0.0004
