GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
85f0bf61-0b3b-473f-919f-c74f28796f5b	1	3301765	238691981	124471	0.0011
85f0bf61-0b3b-473f-919f-c74f28796f5b	1	238692338	238692794	3	-1.4283
85f0bf61-0b3b-473f-919f-c74f28796f5b	1	238699149	247650984	5290	-0.0014
85f0bf61-0b3b-473f-919f-c74f28796f5b	2	480597	121817275	64533	0.0008
85f0bf61-0b3b-473f-919f-c74f28796f5b	2	121819002	121819211	2	-2.7324
85f0bf61-0b3b-473f-919f-c74f28796f5b	2	121820716	241537572	67677	0.0007
85f0bf61-0b3b-473f-919f-c74f28796f5b	3	2170634	197812401	107190	-0.0001
85f0bf61-0b3b-473f-919f-c74f28796f5b	4	1059384	112120533	62509	0.001
85f0bf61-0b3b-473f-919f-c74f28796f5b	4	112124421	112129953	7	-0.9739
85f0bf61-0b3b-473f-919f-c74f28796f5b	4	112133919	152742612	22017	-0.0022
85f0bf61-0b3b-473f-919f-c74f28796f5b	4	152747176	152787147	29	0.5567
85f0bf61-0b3b-473f-919f-c74f28796f5b	4	152795365	187842528	18956	-0.0047
85f0bf61-0b3b-473f-919f-c74f28796f5b	5	914118	86528466	46239	0
85f0bf61-0b3b-473f-919f-c74f28796f5b	5	86533335	86533642	2	1.5822
85f0bf61-0b3b-473f-919f-c74f28796f5b	5	86540715	155004474	38892	-0.0018
85f0bf61-0b3b-473f-919f-c74f28796f5b	5	155005071	155005465	2	-1.4606
85f0bf61-0b3b-473f-919f-c74f28796f5b	5	155005493	180934240	15991	-0.0025
85f0bf61-0b3b-473f-919f-c74f28796f5b	6	1011760	170596889	97170	0.0015
85f0bf61-0b3b-473f-919f-c74f28796f5b	7	664936	46886471	26952	-0.0037
85f0bf61-0b3b-473f-919f-c74f28796f5b	7	46889731	46950199	59	0.4777
85f0bf61-0b3b-473f-919f-c74f28796f5b	7	46952726	158592540	54937	-0.0035
85f0bf61-0b3b-473f-919f-c74f28796f5b	8	667625	144182542	82238	0.0012
85f0bf61-0b3b-473f-919f-c74f28796f5b	9	789794	138044505	68493	0.0018
85f0bf61-0b3b-473f-919f-c74f28796f5b	10	366509	133411599	81303	0.0001
85f0bf61-0b3b-473f-919f-c74f28796f5b	11	456012	40180505	25202	-0.0005
85f0bf61-0b3b-473f-919f-c74f28796f5b	11	40183534	40183591	2	1.5171
85f0bf61-0b3b-473f-919f-c74f28796f5b	11	40183641	134272740	52372	0.0002
85f0bf61-0b3b-473f-919f-c74f28796f5b	12	780472	132605822	74353	0
85f0bf61-0b3b-473f-919f-c74f28796f5b	13	18874255	114226675	57008	0.0027
85f0bf61-0b3b-473f-919f-c74f28796f5b	14	20033191	105533894	49791	0.0023
85f0bf61-0b3b-473f-919f-c74f28796f5b	15	23437561	30959578	2798	0.0062
85f0bf61-0b3b-473f-919f-c74f28796f5b	15	30962538	30963061	3	-1.3175
85f0bf61-0b3b-473f-919f-c74f28796f5b	15	30967418	101344124	41998	0.0006
85f0bf61-0b3b-473f-919f-c74f28796f5b	16	603333	89317317	41218	-0.0009
85f0bf61-0b3b-473f-919f-c74f28796f5b	17	1074619	57743579	24541	0.0002
85f0bf61-0b3b-473f-919f-c74f28796f5b	17	57747588	57748464	12	-0.5664
85f0bf61-0b3b-473f-919f-c74f28796f5b	17	57748922	82959812	12734	0.001
85f0bf61-0b3b-473f-919f-c74f28796f5b	18	326691	79349796	42960	0.0104
85f0bf61-0b3b-473f-919f-c74f28796f5b	19	283868	58370362	24142	0.0025
85f0bf61-0b3b-473f-919f-c74f28796f5b	20	472817	63588502	37562	0.0006
85f0bf61-0b3b-473f-919f-c74f28796f5b	21	13974127	46262057	20596	0.0032
85f0bf61-0b3b-473f-919f-c74f28796f5b	22	16934932	48940621	17092	0.0013
85f0bf61-0b3b-473f-919f-c74f28796f5b	X	3236359	155677414	63960	0
