GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
037b8a48-b345-4971-9226-dc9199a29d82	1	62920	3093405	652	0.0043
037b8a48-b345-4971-9226-dc9199a29d82	1	3094022	3301765	84	-0.2942
037b8a48-b345-4971-9226-dc9199a29d82	1	3302046	7492401	2914	-0.0147
037b8a48-b345-4971-9226-dc9199a29d82	1	7492530	7494922	2	-2.1764
037b8a48-b345-4971-9226-dc9199a29d82	1	7497092	16525019	4986	-0.0331
037b8a48-b345-4971-9226-dc9199a29d82	1	16542868	16689764	37	0.4283
037b8a48-b345-4971-9226-dc9199a29d82	1	16718963	16766762	7	1.4201
037b8a48-b345-4971-9226-dc9199a29d82	1	16766922	16949746	69	0.5878
037b8a48-b345-4971-9226-dc9199a29d82	1	16951445	25256850	5261	-0.0286
037b8a48-b345-4971-9226-dc9199a29d82	1	25266637	25284961	14	0.7635
037b8a48-b345-4971-9226-dc9199a29d82	1	25289805	55266060	16495	-0.0203
037b8a48-b345-4971-9226-dc9199a29d82	1	55276537	56680204	1112	-0.9047
037b8a48-b345-4971-9226-dc9199a29d82	1	56682696	58016357	1197	0.0334
037b8a48-b345-4971-9226-dc9199a29d82	1	58016644	58017548	6	-0.9306
037b8a48-b345-4971-9226-dc9199a29d82	1	58018605	61810248	2741	0.0396
037b8a48-b345-4971-9226-dc9199a29d82	1	61813922	61815313	2	-1.4451
037b8a48-b345-4971-9226-dc9199a29d82	1	61818594	61818832	4	0.4592
037b8a48-b345-4971-9226-dc9199a29d82	1	61819031	68363944	4838	0.0278
037b8a48-b345-4971-9226-dc9199a29d82	1	68364014	72303233	2342	0.0761
037b8a48-b345-4971-9226-dc9199a29d82	1	72303253	72345465	45	-1.1711
037b8a48-b345-4971-9226-dc9199a29d82	1	72346221	80803827	5319	0.0664
037b8a48-b345-4971-9226-dc9199a29d82	1	80806353	80806831	4	-0.9775
037b8a48-b345-4971-9226-dc9199a29d82	1	80813835	89009572	5620	0.0615
037b8a48-b345-4971-9226-dc9199a29d82	1	89012275	89012522	2	-2.9272
037b8a48-b345-4971-9226-dc9199a29d82	1	89015841	109679105	12665	0.0442
037b8a48-b345-4971-9226-dc9199a29d82	1	109684695	109702376	16	2.2938
037b8a48-b345-4971-9226-dc9199a29d82	1	109703504	119984772	7014	0.023
037b8a48-b345-4971-9226-dc9199a29d82	1	120002553	121389102	42	0.5076
037b8a48-b345-4971-9226-dc9199a29d82	1	121413668	121601998	76	0.0272
037b8a48-b345-4971-9226-dc9199a29d82	1	121705338	143928045	128	1.1631
037b8a48-b345-4971-9226-dc9199a29d82	1	143942271	152500786	2241	0.8956
037b8a48-b345-4971-9226-dc9199a29d82	1	152502390	152583230	75	1.0754
037b8a48-b345-4971-9226-dc9199a29d82	1	152583291	152618018	35	1.6177
037b8a48-b345-4971-9226-dc9199a29d82	1	152618089	152645255	46	0.8779
037b8a48-b345-4971-9226-dc9199a29d82	1	152646068	152646823	4	-0.8965
037b8a48-b345-4971-9226-dc9199a29d82	1	152651950	152790191	129	0.8717
037b8a48-b345-4971-9226-dc9199a29d82	1	152790286	152796224	24	1.4402
037b8a48-b345-4971-9226-dc9199a29d82	1	152801429	153028238	172	0.9404
037b8a48-b345-4971-9226-dc9199a29d82	1	153028502	156446864	1709	0.85
037b8a48-b345-4971-9226-dc9199a29d82	1	156447664	186990013	21094	0.9199
037b8a48-b345-4971-9226-dc9199a29d82	1	186990558	196829513	6551	0.9755
037b8a48-b345-4971-9226-dc9199a29d82	1	196829534	196846661	11	1.8408
037b8a48-b345-4971-9226-dc9199a29d82	1	196847600	199731024	1782	0.9843
037b8a48-b345-4971-9226-dc9199a29d82	1	199740258	222847162	15959	0.9265
037b8a48-b345-4971-9226-dc9199a29d82	1	222849581	222850262	2	-1.7125
037b8a48-b345-4971-9226-dc9199a29d82	1	222850427	223458267	367	0.949
037b8a48-b345-4971-9226-dc9199a29d82	1	223458360	229027586	3281	0.8922
037b8a48-b345-4971-9226-dc9199a29d82	1	229029057	240228440	8572	0.94
037b8a48-b345-4971-9226-dc9199a29d82	1	240230715	240230839	6	-0.1987
037b8a48-b345-4971-9226-dc9199a29d82	1	240232805	248424525	5656	0.9413
037b8a48-b345-4971-9226-dc9199a29d82	1	248429571	248471839	15	1.4858
037b8a48-b345-4971-9226-dc9199a29d82	1	248473963	248574146	18	0.8848
037b8a48-b345-4971-9226-dc9199a29d82	1	248585893	248645808	34	-0.6842
037b8a48-b345-4971-9226-dc9199a29d82	1	248646068	248930189	139	0.9758
037b8a48-b345-4971-9226-dc9199a29d82	2	12784	4158097	2986	0.0401
037b8a48-b345-4971-9226-dc9199a29d82	2	4166274	4187192	44	-0.3521
037b8a48-b345-4971-9226-dc9199a29d82	2	4187794	8088466	3351	0.0647
037b8a48-b345-4971-9226-dc9199a29d82	2	8089354	12259113	3026	0.0148
037b8a48-b345-4971-9226-dc9199a29d82	2	12261797	14562225	1622	0.065
037b8a48-b345-4971-9226-dc9199a29d82	2	14563383	14563399	2	1.6113
037b8a48-b345-4971-9226-dc9199a29d82	2	14563508	22990257	6019	0.0503
037b8a48-b345-4971-9226-dc9199a29d82	2	22990274	25031729	1236	0.0121
037b8a48-b345-4971-9226-dc9199a29d82	2	25033579	25033651	2	-1.4959
037b8a48-b345-4971-9226-dc9199a29d82	2	25034308	34458223	5794	0.0121
037b8a48-b345-4971-9226-dc9199a29d82	2	34460213	34498136	38	-0.3929
037b8a48-b345-4971-9226-dc9199a29d82	2	34498234	49401323	10810	0.0251
037b8a48-b345-4971-9226-dc9199a29d82	2	49408543	50693734	957	0.0873
037b8a48-b345-4971-9226-dc9199a29d82	2	50694332	50698390	6	-0.7414
037b8a48-b345-4971-9226-dc9199a29d82	2	50698702	52527743	1248	0.089
037b8a48-b345-4971-9226-dc9199a29d82	2	52531615	52554404	33	0.6145
037b8a48-b345-4971-9226-dc9199a29d82	2	52560811	53382225	697	0.0863
037b8a48-b345-4971-9226-dc9199a29d82	2	53382838	54431097	711	-0.0456
037b8a48-b345-4971-9226-dc9199a29d82	2	54432037	65488310	6838	0.0362
037b8a48-b345-4971-9226-dc9199a29d82	2	65489482	65496822	8	-1.2405
037b8a48-b345-4971-9226-dc9199a29d82	2	65498670	76701930	7363	0.0189
037b8a48-b345-4971-9226-dc9199a29d82	2	76708905	76722438	16	-0.7683
037b8a48-b345-4971-9226-dc9199a29d82	2	76729368	88828606	6959	0.0498
037b8a48-b345-4971-9226-dc9199a29d82	2	88829551	94669081	385	0.2657
037b8a48-b345-4971-9226-dc9199a29d82	2	94675825	97107704	819	0.012
037b8a48-b345-4971-9226-dc9199a29d82	2	97110486	97211436	47	0.4205
037b8a48-b345-4971-9226-dc9199a29d82	2	97310327	128880504	18988	0.0319
037b8a48-b345-4971-9226-dc9199a29d82	2	128880904	128882741	15	-2.751
037b8a48-b345-4971-9226-dc9199a29d82	2	128882755	130031187	873	0.0604
037b8a48-b345-4971-9226-dc9199a29d82	2	130031201	130116915	15	0.6579
037b8a48-b345-4971-9226-dc9199a29d82	2	130117303	152930971	13754	0.0541
037b8a48-b345-4971-9226-dc9199a29d82	2	152939554	152940270	3	-1.6562
037b8a48-b345-4971-9226-dc9199a29d82	2	152944055	179196928	16069	0.0572
037b8a48-b345-4971-9226-dc9199a29d82	2	179202465	179211936	2	-1.8241
037b8a48-b345-4971-9226-dc9199a29d82	2	179214417	195936485	9766	0.0771
037b8a48-b345-4971-9226-dc9199a29d82	2	195936772	207485467	6917	0.0368
037b8a48-b345-4971-9226-dc9199a29d82	2	207485523	207494612	23	0.444
037b8a48-b345-4971-9226-dc9199a29d82	2	207494752	208355026	498	-0.0222
037b8a48-b345-4971-9226-dc9199a29d82	2	208355249	215863228	4847	0.0816
037b8a48-b345-4971-9226-dc9199a29d82	2	215864043	219731662	2384	0.0226
037b8a48-b345-4971-9226-dc9199a29d82	2	219731758	223286925	2478	0.0625
037b8a48-b345-4971-9226-dc9199a29d82	2	223287317	223745529	320	-0.8238
037b8a48-b345-4971-9226-dc9199a29d82	2	223750241	242147305	11542	0.027
037b8a48-b345-4971-9226-dc9199a29d82	3	20930	6604856	5814	0.0561
037b8a48-b345-4971-9226-dc9199a29d82	3	6609441	6611645	23	-0.7974
037b8a48-b345-4971-9226-dc9199a29d82	3	6613391	8551575	1694	0.0695
037b8a48-b345-4971-9226-dc9199a29d82	3	8553377	15998990	5201	0.011
037b8a48-b345-4971-9226-dc9199a29d82	3	16000088	16813823	636	0.0446
037b8a48-b345-4971-9226-dc9199a29d82	3	16814357	31435595	10157	0.0734
037b8a48-b345-4971-9226-dc9199a29d82	3	31435790	47024000	9808	0.0274
037b8a48-b345-4971-9226-dc9199a29d82	3	47026843	52868439	2311	-0.0271
037b8a48-b345-4971-9226-dc9199a29d82	3	52877600	59750573	4672	0.0324
037b8a48-b345-4971-9226-dc9199a29d82	3	59750788	59751763	4	-1.1981
037b8a48-b345-4971-9226-dc9199a29d82	3	59754489	60322792	692	0.0348
037b8a48-b345-4971-9226-dc9199a29d82	3	60323811	60326837	8	-0.7268
037b8a48-b345-4971-9226-dc9199a29d82	3	60329307	60546719	253	0.0605
037b8a48-b345-4971-9226-dc9199a29d82	3	60549998	60552266	7	-0.6837
037b8a48-b345-4971-9226-dc9199a29d82	3	60552596	65196604	4030	0.0572
037b8a48-b345-4971-9226-dc9199a29d82	3	65200174	65224777	54	-0.5291
037b8a48-b345-4971-9226-dc9199a29d82	3	65230674	68697594	2429	0.0584
037b8a48-b345-4971-9226-dc9199a29d82	3	68697672	68698262	8	-0.795
037b8a48-b345-4971-9226-dc9199a29d82	3	68699607	73363853	3496	0.0498
037b8a48-b345-4971-9226-dc9199a29d82	3	73368912	75342608	1366	0.0792
037b8a48-b345-4971-9226-dc9199a29d82	3	75342786	75343222	3	-1.2624
037b8a48-b345-4971-9226-dc9199a29d82	3	75344579	75420058	33	0.0912
037b8a48-b345-4971-9226-dc9199a29d82	3	75420342	75868353	112	0.3817
037b8a48-b345-4971-9226-dc9199a29d82	3	75869718	99218940	10902	0.0937
037b8a48-b345-4971-9226-dc9199a29d82	3	99225614	99230068	24	0.4884
037b8a48-b345-4971-9226-dc9199a29d82	3	99230187	104513138	2997	0.0718
037b8a48-b345-4971-9226-dc9199a29d82	3	104513819	119276836	9414	0.061
037b8a48-b345-4971-9226-dc9199a29d82	3	119278221	134065875	8983	0.0258
037b8a48-b345-4971-9226-dc9199a29d82	3	134066144	134067873	2	-1.8063
037b8a48-b345-4971-9226-dc9199a29d82	3	134073705	136300257	1395	0.0368
037b8a48-b345-4971-9226-dc9199a29d82	3	136304109	136306584	2	-2.3115
037b8a48-b345-4971-9226-dc9199a29d82	3	136319699	142235858	3476	0.0279
037b8a48-b345-4971-9226-dc9199a29d82	3	142238234	145686059	2202	0.0637
037b8a48-b345-4971-9226-dc9199a29d82	3	145688534	145693873	3	-1.4328
037b8a48-b345-4971-9226-dc9199a29d82	3	145694234	151812333	3882	0.0718
037b8a48-b345-4971-9226-dc9199a29d82	3	151812525	151819316	9	-0.7059
037b8a48-b345-4971-9226-dc9199a29d82	3	151819929	162419812	6396	0.0622
037b8a48-b345-4971-9226-dc9199a29d82	3	162419865	162426460	14	0.6055
037b8a48-b345-4971-9226-dc9199a29d82	3	162426600	162795361	261	0.0635
037b8a48-b345-4971-9226-dc9199a29d82	3	162795671	162908207	66	-1.5185
037b8a48-b345-4971-9226-dc9199a29d82	3	162908784	166797236	2235	0.1063
037b8a48-b345-4971-9226-dc9199a29d82	3	166805059	166813155	7	0.8824
037b8a48-b345-4971-9226-dc9199a29d82	3	166816643	170805933	2330	0.0706
037b8a48-b345-4971-9226-dc9199a29d82	3	170808109	170810879	3	-1.1877
037b8a48-b345-4971-9226-dc9199a29d82	3	170812378	182915750	7576	0.067
037b8a48-b345-4971-9226-dc9199a29d82	3	182915939	186550936	2152	0.0047
037b8a48-b345-4971-9226-dc9199a29d82	3	186553200	191238072	3504	0.0578
037b8a48-b345-4971-9226-dc9199a29d82	3	191239018	191243869	7	-0.9954
037b8a48-b345-4971-9226-dc9199a29d82	3	191249990	193160113	1349	0.0718
037b8a48-b345-4971-9226-dc9199a29d82	3	193160173	193165114	19	-1.0822
037b8a48-b345-4971-9226-dc9199a29d82	3	193168646	198169247	2694	0.0332
037b8a48-b345-4971-9226-dc9199a29d82	4	68929	3873169	1566	-0.0018
037b8a48-b345-4971-9226-dc9199a29d82	4	3876063	4182970	81	0.335
037b8a48-b345-4971-9226-dc9199a29d82	4	4183221	10208670	4055	0.0287
037b8a48-b345-4971-9226-dc9199a29d82	4	10208766	10233542	34	-0.684
037b8a48-b345-4971-9226-dc9199a29d82	4	10233558	10272578	52	0.074
037b8a48-b345-4971-9226-dc9199a29d82	4	10273002	10274843	6	-0.7316
037b8a48-b345-4971-9226-dc9199a29d82	4	10275319	25960166	11430	0.0585
037b8a48-b345-4971-9226-dc9199a29d82	4	25961519	25973177	6	-0.7429
037b8a48-b345-4971-9226-dc9199a29d82	4	25973489	27397717	901	0.0444
037b8a48-b345-4971-9226-dc9199a29d82	4	27397756	34760144	4567	0.0978
037b8a48-b345-4971-9226-dc9199a29d82	4	34763188	34819718	51	0.4115
037b8a48-b345-4971-9226-dc9199a29d82	4	34822561	35603087	520	0.1041
037b8a48-b345-4971-9226-dc9199a29d82	4	35604603	42904725	4840	0.0381
037b8a48-b345-4971-9226-dc9199a29d82	4	42905004	42960771	47	0.1484
037b8a48-b345-4971-9226-dc9199a29d82	4	42960976	42962044	3	-0.9348
037b8a48-b345-4971-9226-dc9199a29d82	4	42963530	43143380	119	0.2133
037b8a48-b345-4971-9226-dc9199a29d82	4	43143414	43154418	11	-0.5548
037b8a48-b345-4971-9226-dc9199a29d82	4	43154422	43295577	109	0.2422
037b8a48-b345-4971-9226-dc9199a29d82	4	43295610	44978246	968	0.098
037b8a48-b345-4971-9226-dc9199a29d82	4	44980021	44989501	7	-0.1682
037b8a48-b345-4971-9226-dc9199a29d82	4	44992586	44993763	4	-0.917
037b8a48-b345-4971-9226-dc9199a29d82	4	44994816	47388448	1284	0.0933
037b8a48-b345-4971-9226-dc9199a29d82	4	47388803	48205131	640	0.0506
037b8a48-b345-4971-9226-dc9199a29d82	4	48207041	48288216	70	-0.2738
037b8a48-b345-4971-9226-dc9199a29d82	4	48291178	49087342	340	0.0791
037b8a48-b345-4971-9226-dc9199a29d82	4	49087357	49618868	26	0.7258
037b8a48-b345-4971-9226-dc9199a29d82	4	49641746	57672535	3965	0.0421
037b8a48-b345-4971-9226-dc9199a29d82	4	57672824	63828222	3607	0.0936
037b8a48-b345-4971-9226-dc9199a29d82	4	63831751	63842540	28	0.4691
037b8a48-b345-4971-9226-dc9199a29d82	4	63850713	67849313	2530	0.1028
037b8a48-b345-4971-9226-dc9199a29d82	4	67852768	67985580	110	0.0237
037b8a48-b345-4971-9226-dc9199a29d82	4	67986638	67997937	5	-0.8026
037b8a48-b345-4971-9226-dc9199a29d82	4	67999724	68478894	226	0.0929
037b8a48-b345-4971-9226-dc9199a29d82	4	68494770	68620261	67	-1.5149
037b8a48-b345-4971-9226-dc9199a29d82	4	68623617	69067612	207	0.1191
037b8a48-b345-4971-9226-dc9199a29d82	4	69072107	69420610	188	0.2468
037b8a48-b345-4971-9226-dc9199a29d82	4	69421960	114252544	27298	0.0724
037b8a48-b345-4971-9226-dc9199a29d82	4	114254167	114261019	23	0.8396
037b8a48-b345-4971-9226-dc9199a29d82	4	114263073	123998584	5793	0.0863
037b8a48-b345-4971-9226-dc9199a29d82	4	123998688	124002972	2	-1.487
037b8a48-b345-4971-9226-dc9199a29d82	4	124003041	129141596	2926	0.0871
037b8a48-b345-4971-9226-dc9199a29d82	4	129146391	129151425	4	-1.2066
037b8a48-b345-4971-9226-dc9199a29d82	4	129152368	138690286	5649	0.1069
037b8a48-b345-4971-9226-dc9199a29d82	4	138690591	154593788	9487	0.0627
037b8a48-b345-4971-9226-dc9199a29d82	4	154594021	154881396	183	0.131
037b8a48-b345-4971-9226-dc9199a29d82	4	154881853	154881926	3	1.104
037b8a48-b345-4971-9226-dc9199a29d82	4	154882047	156378331	1073	0.1031
037b8a48-b345-4971-9226-dc9199a29d82	4	156380587	156384770	13	-0.5861
037b8a48-b345-4971-9226-dc9199a29d82	4	156386889	160959660	2843	0.0876
037b8a48-b345-4971-9226-dc9199a29d82	4	160959754	160963756	11	-0.5988
037b8a48-b345-4971-9226-dc9199a29d82	4	160963767	171448195	6667	0.0904
037b8a48-b345-4971-9226-dc9199a29d82	4	171453733	171456293	8	1.4932
037b8a48-b345-4971-9226-dc9199a29d82	4	171456307	172066777	399	0.1268
037b8a48-b345-4971-9226-dc9199a29d82	4	172067997	172068382	12	1.012
037b8a48-b345-4971-9226-dc9199a29d82	4	172074828	172501371	231	0.0877
037b8a48-b345-4971-9226-dc9199a29d82	4	172503796	172507492	7	0.9866
037b8a48-b345-4971-9226-dc9199a29d82	4	172519981	178431951	3626	0.0901
037b8a48-b345-4971-9226-dc9199a29d82	4	178432148	178439843	2	-1.3381
037b8a48-b345-4971-9226-dc9199a29d82	4	178442005	178591266	116	0.0227
037b8a48-b345-4971-9226-dc9199a29d82	4	178591465	178619459	27	-0.2787
037b8a48-b345-4971-9226-dc9199a29d82	4	178619882	181617816	2255	0.1042
037b8a48-b345-4971-9226-dc9199a29d82	4	181617984	181618071	2	-1.2512
037b8a48-b345-4971-9226-dc9199a29d82	4	181618764	182750815	936	0.1121
037b8a48-b345-4971-9226-dc9199a29d82	4	182750871	182823136	56	-0.0131
037b8a48-b345-4971-9226-dc9199a29d82	4	182824168	182829397	3	-1.3602
037b8a48-b345-4971-9226-dc9199a29d82	4	182840274	188299352	3670	0.0482
037b8a48-b345-4971-9226-dc9199a29d82	4	188299749	190106768	1149	0.1251
037b8a48-b345-4971-9226-dc9199a29d82	5	15532	3118780	2060	0.0227
037b8a48-b345-4971-9226-dc9199a29d82	5	3121576	3121614	2	-2.2141
037b8a48-b345-4971-9226-dc9199a29d82	5	3121683	3657673	543	0.0279
037b8a48-b345-4971-9226-dc9199a29d82	5	3670522	3671100	6	-0.7973
037b8a48-b345-4971-9226-dc9199a29d82	5	3671236	10871266	6206	0.0519
037b8a48-b345-4971-9226-dc9199a29d82	5	10874532	10881970	8	-0.8304
037b8a48-b345-4971-9226-dc9199a29d82	5	10883400	11078846	186	0.0002
037b8a48-b345-4971-9226-dc9199a29d82	5	11084600	12815753	1179	0.0747
037b8a48-b345-4971-9226-dc9199a29d82	5	12819201	12838421	12	1.1372
037b8a48-b345-4971-9226-dc9199a29d82	5	12849089	17515692	3174	0.0459
037b8a48-b345-4971-9226-dc9199a29d82	5	17601444	17607658	8	-0.943
037b8a48-b345-4971-9226-dc9199a29d82	5	17608130	30214708	7481	0.0973
037b8a48-b345-4971-9226-dc9199a29d82	5	30215391	83044617	29757	0.0522
037b8a48-b345-4971-9226-dc9199a29d82	5	83045932	104515520	12002	0.08
037b8a48-b345-4971-9226-dc9199a29d82	5	104524672	104524903	4	-1.3707
037b8a48-b345-4971-9226-dc9199a29d82	5	104525348	130845902	17473	0.0738
037b8a48-b345-4971-9226-dc9199a29d82	5	130846792	139684143	5209	0.0227
037b8a48-b345-4971-9226-dc9199a29d82	5	139685565	139767667	44	-0.3011
037b8a48-b345-4971-9226-dc9199a29d82	5	139768440	156049910	10719	0.042
037b8a48-b345-4971-9226-dc9199a29d82	5	156049988	156055719	12	-2.2428
037b8a48-b345-4971-9226-dc9199a29d82	5	156068240	160823431	3270	0.0329
037b8a48-b345-4971-9226-dc9199a29d82	5	160825174	168068999	4833	0.0873
037b8a48-b345-4971-9226-dc9199a29d82	5	168069858	172126829	3089	0.03
037b8a48-b345-4971-9226-dc9199a29d82	5	172127469	172144507	12	-0.5492
037b8a48-b345-4971-9226-dc9199a29d82	5	172145894	176033084	2873	0.0122
037b8a48-b345-4971-9226-dc9199a29d82	5	176038686	176042504	2	-2.5531
037b8a48-b345-4971-9226-dc9199a29d82	5	176043321	177771448	724	-0.0161
037b8a48-b345-4971-9226-dc9199a29d82	5	177800550	177805604	3	3.0125
037b8a48-b345-4971-9226-dc9199a29d82	5	177827964	180947523	1792	-0.0037
037b8a48-b345-4971-9226-dc9199a29d82	5	180951710	180991103	19	0.6189
037b8a48-b345-4971-9226-dc9199a29d82	5	181006225	181363319	170	-0.0006
037b8a48-b345-4971-9226-dc9199a29d82	6	149661	336218	145	0.0657
037b8a48-b345-4971-9226-dc9199a29d82	6	336809	366333	49	0.3817
037b8a48-b345-4971-9226-dc9199a29d82	6	373453	29581484	21256	0.0367
037b8a48-b345-4971-9226-dc9199a29d82	6	29581666	29882603	227	-0.0307
037b8a48-b345-4971-9226-dc9199a29d82	6	29903859	29940692	17	-1.023
037b8a48-b345-4971-9226-dc9199a29d82	6	29946443	30125587	108	-0.0543
037b8a48-b345-4971-9226-dc9199a29d82	6	30125967	30134407	4	-1.1245
037b8a48-b345-4971-9226-dc9199a29d82	6	30135272	31488057	691	-0.0314
037b8a48-b345-4971-9226-dc9199a29d82	6	31489856	31959565	113	-0.3898
037b8a48-b345-4971-9226-dc9199a29d82	6	31962574	32098400	31	0.0936
037b8a48-b345-4971-9226-dc9199a29d82	6	32098988	32377275	126	-0.2032
037b8a48-b345-4971-9226-dc9199a29d82	6	32377309	32437082	52	0.0535
037b8a48-b345-4971-9226-dc9199a29d82	6	32439291	32460338	15	-0.7475
037b8a48-b345-4971-9226-dc9199a29d82	6	32461817	44572541	7598	-0.0147
037b8a48-b345-4971-9226-dc9199a29d82	6	44573245	57341687	8164	0.0581
037b8a48-b345-4971-9226-dc9199a29d82	6	57347009	61811425	772	0.1686
037b8a48-b345-4971-9226-dc9199a29d82	6	61813251	67209953	3385	0.0859
037b8a48-b345-4971-9226-dc9199a29d82	6	67213266	78252909	6991	-0.8013
037b8a48-b345-4971-9226-dc9199a29d82	6	78253157	78332092	120	-0.2708
037b8a48-b345-4971-9226-dc9199a29d82	6	78336049	79454602	678	-0.8212
037b8a48-b345-4971-9226-dc9199a29d82	6	79455961	79471226	19	-1.5111
037b8a48-b345-4971-9226-dc9199a29d82	6	79471639	79670296	119	-0.8305
037b8a48-b345-4971-9226-dc9199a29d82	6	79671808	79671870	2	-2.9132
037b8a48-b345-4971-9226-dc9199a29d82	6	79671892	82040038	1634	-0.7991
037b8a48-b345-4971-9226-dc9199a29d82	6	82040306	82040358	2	-3.3499
037b8a48-b345-4971-9226-dc9199a29d82	6	82043291	88575020	3948	-0.82
037b8a48-b345-4971-9226-dc9199a29d82	6	88575292	88588871	10	-2.0761
037b8a48-b345-4971-9226-dc9199a29d82	6	88589781	90835247	1431	-0.8616
037b8a48-b345-4971-9226-dc9199a29d82	6	90835292	90835779	2	-3.5525
037b8a48-b345-4971-9226-dc9199a29d82	6	90835836	91659597	547	-0.8392
037b8a48-b345-4971-9226-dc9199a29d82	6	91659977	104884357	8024	-0.7879
037b8a48-b345-4971-9226-dc9199a29d82	6	104885045	110073703	3212	-0.8814
