GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
90093514-415c-45d5-bcb3-58412189bb1d	1	62920	86341	11	-1.256
90093514-415c-45d5-bcb3-58412189bb1d	1	98588	877938	41	-0.2232
90093514-415c-45d5-bcb3-58412189bb1d	1	883206	1532186	142	0.1605
90093514-415c-45d5-bcb3-58412189bb1d	1	1538223	1575421	16	-0.1076
90093514-415c-45d5-bcb3-58412189bb1d	1	1696479	1741164	16	0.8789
90093514-415c-45d5-bcb3-58412189bb1d	1	1756148	1956754	97	-0.0567
90093514-415c-45d5-bcb3-58412189bb1d	1	1956930	3825693	684	0.0956
90093514-415c-45d5-bcb3-58412189bb1d	1	3826755	72303253	41741	-0.0078
90093514-415c-45d5-bcb3-58412189bb1d	1	72305460	72345465	44	-0.9078
90093514-415c-45d5-bcb3-58412189bb1d	1	72346221	105476583	20936	0.0031
90093514-415c-45d5-bcb3-58412189bb1d	1	105476614	105479753	16	0.4995
90093514-415c-45d5-bcb3-58412189bb1d	1	105481433	109684695	2631	0.0031
90093514-415c-45d5-bcb3-58412189bb1d	1	109684893	109697533	13	0.8408
90093514-415c-45d5-bcb3-58412189bb1d	1	109697556	121561051	7117	-0.0003
90093514-415c-45d5-bcb3-58412189bb1d	1	121562160	144432083	142	-0.6165
90093514-415c-45d5-bcb3-58412189bb1d	1	144432313	179361393	20433	-0.0034
90093514-415c-45d5-bcb3-58412189bb1d	1	179362247	179364180	3	-1.6767
90093514-415c-45d5-bcb3-58412189bb1d	1	179370071	196745692	11556	0.0021
90093514-415c-45d5-bcb3-58412189bb1d	1	196745743	196832525	58	0.4332
90093514-415c-45d5-bcb3-58412189bb1d	1	196832720	209897717	8780	-0.0027
90093514-415c-45d5-bcb3-58412189bb1d	1	209908268	209913207	4	1.0562
90093514-415c-45d5-bcb3-58412189bb1d	1	209920149	248930189	27003	0.0006
90093514-415c-45d5-bcb3-58412189bb1d	2	12784	242147305	149383	0.0101
90093514-415c-45d5-bcb3-58412189bb1d	3	20930	141230	112	0.0743
90093514-415c-45d5-bcb3-58412189bb1d	3	142563	143853	3	1.2648
90093514-415c-45d5-bcb3-58412189bb1d	3	144336	26570673	19889	0.0029
90093514-415c-45d5-bcb3-58412189bb1d	3	26570674	26570675	2	1.3871
90093514-415c-45d5-bcb3-58412189bb1d	3	26571710	46751887	13158	-0.0003
90093514-415c-45d5-bcb3-58412189bb1d	3	46760327	46808099	40	-0.8105
90093514-415c-45d5-bcb3-58412189bb1d	3	46817989	65202778	12078	0.0038
90093514-415c-45d5-bcb3-58412189bb1d	3	65203560	65224777	52	-0.5964
90093514-415c-45d5-bcb3-58412189bb1d	3	65230674	68697108	2424	0.0017
90093514-415c-45d5-bcb3-58412189bb1d	3	68697133	68698262	13	-1.2126
90093514-415c-45d5-bcb3-58412189bb1d	3	68699607	75372019	4865	-0.0028
90093514-415c-45d5-bcb3-58412189bb1d	3	75377956	75590356	74	-0.6566
90093514-415c-45d5-bcb3-58412189bb1d	3	75596233	130044855	29692	0.0066
90093514-415c-45d5-bcb3-58412189bb1d	3	130047743	130087393	37	-1.613
90093514-415c-45d5-bcb3-58412189bb1d	3	130088081	133306023	2117	-0.0123
90093514-415c-45d5-bcb3-58412189bb1d	3	133306038	133306053	2	1.5255
90093514-415c-45d5-bcb3-58412189bb1d	3	133306168	162822221	18152	0.0061
90093514-415c-45d5-bcb3-58412189bb1d	3	162822685	162822702	2	-2.1494
90093514-415c-45d5-bcb3-58412189bb1d	3	162827928	162908192	47	0.2312
90093514-415c-45d5-bcb3-58412189bb1d	3	162908207	162908815	3	-1.4929
90093514-415c-45d5-bcb3-58412189bb1d	3	162910826	162996729	69	-0.0417
90093514-415c-45d5-bcb3-58412189bb1d	3	162999939	163001774	2	-1.706
90093514-415c-45d5-bcb3-58412189bb1d	3	163008371	187877506	15253	0.0026
90093514-415c-45d5-bcb3-58412189bb1d	3	187877590	187877925	2	1.5923
90093514-415c-45d5-bcb3-58412189bb1d	3	187877952	197322591	6118	0.0077
90093514-415c-45d5-bcb3-58412189bb1d	3	197327674	197327756	2	-1.5473
90093514-415c-45d5-bcb3-58412189bb1d	3	197330101	198111467	400	-0.0214
90093514-415c-45d5-bcb3-58412189bb1d	3	198111566	198169247	18	-0.5129
90093514-415c-45d5-bcb3-58412189bb1d	4	68929	10208766	5697	0.026
90093514-415c-45d5-bcb3-58412189bb1d	4	10221792	10229625	27	-1.6464
90093514-415c-45d5-bcb3-58412189bb1d	4	10229874	69257792	36830	0.0057
90093514-415c-45d5-bcb3-58412189bb1d	4	69261926	69366406	56	-0.3874
90093514-415c-45d5-bcb3-58412189bb1d	4	69370433	87845856	11542	0.0039
90093514-415c-45d5-bcb3-58412189bb1d	4	87848780	87849248	8	0.8593
90093514-415c-45d5-bcb3-58412189bb1d	4	87849407	103824414	9459	0.0078
90093514-415c-45d5-bcb3-58412189bb1d	4	103830473	103830480	5	1.1389
90093514-415c-45d5-bcb3-58412189bb1d	4	103830487	114258196	6307	0.0057
90093514-415c-45d5-bcb3-58412189bb1d	4	114258272	114263110	15	0.5099
90093514-415c-45d5-bcb3-58412189bb1d	4	114263154	161025607	28021	0.0072
90093514-415c-45d5-bcb3-58412189bb1d	4	161031076	161082067	42	0.4969
90093514-415c-45d5-bcb3-58412189bb1d	4	161082114	190106768	19053	0.0135
90093514-415c-45d5-bcb3-58412189bb1d	5	15532	231650	116	0.0137
90093514-415c-45d5-bcb3-58412189bb1d	5	232609	819817	228	0.1079
90093514-415c-45d5-bcb3-58412189bb1d	5	819921	874903	20	0.5552
90093514-415c-45d5-bcb3-58412189bb1d	5	882950	1567231	363	0.1032
90093514-415c-45d5-bcb3-58412189bb1d	5	1568140	10831395	8046	0.0243
90093514-415c-45d5-bcb3-58412189bb1d	5	10832059	10832159	2	-1.379
90093514-415c-45d5-bcb3-58412189bb1d	5	10833592	17515692	4588	0.008
90093514-415c-45d5-bcb3-58412189bb1d	5	17601444	17625524	11	-0.8041
90093514-415c-45d5-bcb3-58412189bb1d	5	17629411	26789387	5459	0.0116
90093514-415c-45d5-bcb3-58412189bb1d	5	26797651	26797735	2	-1.726
90093514-415c-45d5-bcb3-58412189bb1d	5	26803775	45339141	11515	0.0096
90093514-415c-45d5-bcb3-58412189bb1d	5	45343071	46271828	298	-0.0898
90093514-415c-45d5-bcb3-58412189bb1d	5	46272419	46273400	5	-2.2091
90093514-415c-45d5-bcb3-58412189bb1d	5	46278110	50277308	49	-0.3626
90093514-415c-45d5-bcb3-58412189bb1d	5	50278780	152190586	62688	0.0039
90093514-415c-45d5-bcb3-58412189bb1d	5	152193383	152198646	6	-0.262
90093514-415c-45d5-bcb3-58412189bb1d	5	152199363	152203849	5	-1.3048
90093514-415c-45d5-bcb3-58412189bb1d	5	152205566	160890277	5925	0.0057
90093514-415c-45d5-bcb3-58412189bb1d	5	160890569	160890810	2	-1.3468
90093514-415c-45d5-bcb3-58412189bb1d	5	160891031	177771448	11476	0.0031
90093514-415c-45d5-bcb3-58412189bb1d	5	177800550	177805604	3	1.1564
90093514-415c-45d5-bcb3-58412189bb1d	5	177827964	177959312	21	0.0553
90093514-415c-45d5-bcb3-58412189bb1d	5	177963074	177974394	11	-1.1452
90093514-415c-45d5-bcb3-58412189bb1d	5	177982825	180947523	1762	0.0131
90093514-415c-45d5-bcb3-58412189bb1d	5	180951710	180991103	19	-1.9431
90093514-415c-45d5-bcb3-58412189bb1d	5	181006225	181363319	170	-0.0141
90093514-415c-45d5-bcb3-58412189bb1d	6	149661	254283	101	-0.1188
90093514-415c-45d5-bcb3-58412189bb1d	6	257353	294837	23	-0.6903
90093514-415c-45d5-bcb3-58412189bb1d	6	302306	23057409	17557	0.0045
90093514-415c-45d5-bcb3-58412189bb1d	6	23060763	23064026	4	-1.4601
90093514-415c-45d5-bcb3-58412189bb1d	6	23067417	26749330	2521	-0.0037
90093514-415c-45d5-bcb3-58412189bb1d	6	26749405	26759781	2	1.7601
90093514-415c-45d5-bcb3-58412189bb1d	6	26831719	31313046	2089	0.0123
90093514-415c-45d5-bcb3-58412189bb1d	6	31318499	31349920	14	0.8551
90093514-415c-45d5-bcb3-58412189bb1d	6	31350387	32463515	492	-0.0202
90093514-415c-45d5-bcb3-58412189bb1d	6	32463775	32612840	43	-0.3952
90093514-415c-45d5-bcb3-58412189bb1d	6	32614061	32633540	10	0.4835
90093514-415c-45d5-bcb3-58412189bb1d	6	32634330	65678535	18622	-0.0046
90093514-415c-45d5-bcb3-58412189bb1d	6	65678932	65684197	6	0.3634
90093514-415c-45d5-bcb3-58412189bb1d	6	65689589	65693959	23	-0.6058
90093514-415c-45d5-bcb3-58412189bb1d	6	65697234	70922353	3496	0.0065
90093514-415c-45d5-bcb3-58412189bb1d	6	70922679	70940519	7	0.6741
90093514-415c-45d5-bcb3-58412189bb1d	6	70941682	73882142	1928	-0.0054
90093514-415c-45d5-bcb3-58412189bb1d	6	73882509	73884847	5	0.8258
90093514-415c-45d5-bcb3-58412189bb1d	6	73885018	76719978	1773	0.016
90093514-415c-45d5-bcb3-58412189bb1d	6	76720013	76742956	22	0.3312
90093514-415c-45d5-bcb3-58412189bb1d	6	76742972	78252333	969	-0.0159
90093514-415c-45d5-bcb3-58412189bb1d	6	78252347	78325310	119	0.2655
90093514-415c-45d5-bcb3-58412189bb1d	6	78325457	104449598	16239	0.0043
90093514-415c-45d5-bcb3-58412189bb1d	6	104461140	104481736	21	0.49
90093514-415c-45d5-bcb3-58412189bb1d	6	104495548	110074988	3470	0.0116
90093514-415c-45d5-bcb3-58412189bb1d	6	110075473	110092034	17	-0.9777
90093514-415c-45d5-bcb3-58412189bb1d	6	110094225	163051649	34532	0.0052
90093514-415c-45d5-bcb3-58412189bb1d	6	163051924	170741917	5358	0.0472
90093514-415c-45d5-bcb3-58412189bb1d	7	43355	9551005	5693	0.0198
90093514-415c-45d5-bcb3-58412189bb1d	7	9551025	9551774	3	-1.9202
90093514-415c-45d5-bcb3-58412189bb1d	7	9553014	26092670	13103	0.0008
90093514-415c-45d5-bcb3-58412189bb1d	7	26102772	26105793	4	-2.9024
90093514-415c-45d5-bcb3-58412189bb1d	7	26107599	39506174	9517	0.0051
90093514-415c-45d5-bcb3-58412189bb1d	7	39508562	39508799	2	-1.6016
90093514-415c-45d5-bcb3-58412189bb1d	7	39510390	57822636	12141	0.0113
90093514-415c-45d5-bcb3-58412189bb1d	7	57847011	63005615	171	-0.1996
90093514-415c-45d5-bcb3-58412189bb1d	7	63005790	67161024	1534	-0.0073
90093514-415c-45d5-bcb3-58412189bb1d	7	67161256	67290858	40	-0.3054
90093514-415c-45d5-bcb3-58412189bb1d	7	67293090	70955452	2357	0.003
90093514-415c-45d5-bcb3-58412189bb1d	7	70958264	70961155	2	-2.2421
90093514-415c-45d5-bcb3-58412189bb1d	7	70963257	159334314	53164	0.006
90093514-415c-45d5-bcb3-58412189bb1d	8	81254	645790	329	0.0453
90093514-415c-45d5-bcb3-58412189bb1d	8	645875	645908	3	1.5816
90093514-415c-45d5-bcb3-58412189bb1d	8	656117	3926665	3019	0.0278
90093514-415c-45d5-bcb3-58412189bb1d	8	3929538	3932584	24	-0.6099
90093514-415c-45d5-bcb3-58412189bb1d	8	3933696	4145783	334	0.0093
90093514-415c-45d5-bcb3-58412189bb1d	8	4145941	4145956	2	-2.3754
90093514-415c-45d5-bcb3-58412189bb1d	8	4146039	7396819	4035	0.0135
90093514-415c-45d5-bcb3-58412189bb1d	8	7397588	7941868	29	0.5107
90093514-415c-45d5-bcb3-58412189bb1d	8	7974123	12092042	3235	0.0209
90093514-415c-45d5-bcb3-58412189bb1d	8	12130217	12177488	8	0.8271
90093514-415c-45d5-bcb3-58412189bb1d	8	12323772	25116961	10442	0.0072
90093514-415c-45d5-bcb3-58412189bb1d	8	25117007	25122472	19	0.485
90093514-415c-45d5-bcb3-58412189bb1d	8	25126554	39373140	9013	0.0025
