GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5f59ae88-4484-416f-a5aa-ed447d03f195	1	62920	25256850	13956	0.0188
5f59ae88-4484-416f-a5aa-ed447d03f195	1	25266637	25320455	24	0.5676
5f59ae88-4484-416f-a5aa-ed447d03f195	1	25336819	34626073	4934	0.0191
5f59ae88-4484-416f-a5aa-ed447d03f195	1	34637053	34638890	20	-0.5903
5f59ae88-4484-416f-a5aa-ed447d03f195	1	34648667	72302735	23618	0.014
5f59ae88-4484-416f-a5aa-ed447d03f195	1	72302815	72345393	45	-0.4687
5f59ae88-4484-416f-a5aa-ed447d03f195	1	72345450	105470754	20781	0.0134
5f59ae88-4484-416f-a5aa-ed447d03f195	1	105476583	105479722	15	-0.4762
5f59ae88-4484-416f-a5aa-ed447d03f195	1	105479738	108071765	1830	0.0008
5f59ae88-4484-416f-a5aa-ed447d03f195	1	108072183	108072902	2	-1.4909
5f59ae88-4484-416f-a5aa-ed447d03f195	1	108072993	108217204	105	0.0316
5f59ae88-4484-416f-a5aa-ed447d03f195	1	108219804	108274557	4	0.8119
5f59ae88-4484-416f-a5aa-ed447d03f195	1	108310648	109684893	671	0.0168
5f59ae88-4484-416f-a5aa-ed447d03f195	1	109690352	109697556	13	0.9797
5f59ae88-4484-416f-a5aa-ed447d03f195	1	109702376	121549282	7081	0.0106
5f59ae88-4484-416f-a5aa-ed447d03f195	1	121549518	143748793	123	0.1863
5f59ae88-4484-416f-a5aa-ed447d03f195	1	143748826	152787202	2515	0.0072
5f59ae88-4484-416f-a5aa-ed447d03f195	1	152789447	152796224	37	-0.4168
5f59ae88-4484-416f-a5aa-ed447d03f195	1	152801429	174827267	14685	0.0144
5f59ae88-4484-416f-a5aa-ed447d03f195	1	174827418	174832716	17	-0.7531
5f59ae88-4484-416f-a5aa-ed447d03f195	1	174832734	245473108	47949	0.0161
5f59ae88-4484-416f-a5aa-ed447d03f195	1	245473737	245483602	11	-0.9333
5f59ae88-4484-416f-a5aa-ed447d03f195	1	245486349	248550567	1999	0.017
5f59ae88-4484-416f-a5aa-ed447d03f195	1	248572774	248633912	34	-0.609
5f59ae88-4484-416f-a5aa-ed447d03f195	1	248645563	248930189	139	0.0224
5f59ae88-4484-416f-a5aa-ed447d03f195	2	12784	3176105	2209	0.0083
5f59ae88-4484-416f-a5aa-ed447d03f195	2	3176122	3184340	8	0.5746
5f59ae88-4484-416f-a5aa-ed447d03f195	2	3184533	4158097	760	0.0213
5f59ae88-4484-416f-a5aa-ed447d03f195	2	4166274	4176429	42	-0.6892
5f59ae88-4484-416f-a5aa-ed447d03f195	2	4182472	34476327	20933	0.0155
5f59ae88-4484-416f-a5aa-ed447d03f195	2	34476516	34511990	44	0.3512
5f59ae88-4484-416f-a5aa-ed447d03f195	2	34512096	52527743	12902	0.0095
5f59ae88-4484-416f-a5aa-ed447d03f195	2	52531615	52554404	33	0.4648
5f59ae88-4484-416f-a5aa-ed447d03f195	2	52560811	53466481	764	0.0092
5f59ae88-4484-416f-a5aa-ed447d03f195	2	53467625	53467946	2	-1.5613
5f59ae88-4484-416f-a5aa-ed447d03f195	2	53467989	59520559	4055	0.0015
5f59ae88-4484-416f-a5aa-ed447d03f195	2	59522215	59529843	8	-0.9095
5f59ae88-4484-416f-a5aa-ed447d03f195	2	59532004	86910262	17015	0.0166
5f59ae88-4484-416f-a5aa-ed447d03f195	2	86934730	87082140	12	-0.5806
5f59ae88-4484-416f-a5aa-ed447d03f195	2	87082711	97359885	1849	0.0229
5f59ae88-4484-416f-a5aa-ed447d03f195	2	97524284	97545726	9	0.9548
5f59ae88-4484-416f-a5aa-ed447d03f195	2	97550415	242147305	87862	0.0145
5f59ae88-4484-416f-a5aa-ed447d03f195	3	20930	26559609	19853	0.0182
5f59ae88-4484-416f-a5aa-ed447d03f195	3	26560269	26570407	10	-0.5374
5f59ae88-4484-416f-a5aa-ed447d03f195	3	26570470	68682877	27608	0.0174
5f59ae88-4484-416f-a5aa-ed447d03f195	3	68697013	68698092	11	-0.6934
5f59ae88-4484-416f-a5aa-ed447d03f195	3	68698138	77693752	6130	0.0172
5f59ae88-4484-416f-a5aa-ed447d03f195	3	77693886	77694150	2	-1.5647
5f59ae88-4484-416f-a5aa-ed447d03f195	3	77694590	132270503	29749	0.018
5f59ae88-4484-416f-a5aa-ed447d03f195	3	132273893	132276840	4	-1.8146
5f59ae88-4484-416f-a5aa-ed447d03f195	3	132281633	162795304	18711	0.0163
5f59ae88-4484-416f-a5aa-ed447d03f195	3	162795361	162807070	9	0.7862
5f59ae88-4484-416f-a5aa-ed447d03f195	3	162810842	162822702	10	-0.6189
5f59ae88-4484-416f-a5aa-ed447d03f195	3	162827928	162908815	50	0.543
5f59ae88-4484-416f-a5aa-ed447d03f195	3	162910826	162996729	70	0.0437
5f59ae88-4484-416f-a5aa-ed447d03f195	3	162999939	163001774	2	1.3022
5f59ae88-4484-416f-a5aa-ed447d03f195	3	163008371	165323075	1238	0.0114
5f59ae88-4484-416f-a5aa-ed447d03f195	3	165323760	165364151	65	-0.7445
5f59ae88-4484-416f-a5aa-ed447d03f195	3	165367641	195559056	19159	0.0155
5f59ae88-4484-416f-a5aa-ed447d03f195	3	195656271	195720051	25	-0.8005
5f59ae88-4484-416f-a5aa-ed447d03f195	3	195728637	195973611	100	-0.0088
5f59ae88-4484-416f-a5aa-ed447d03f195	3	195974244	195991894	5	-1.1969
5f59ae88-4484-416f-a5aa-ed447d03f195	3	195998433	198142659	1070	0.0256
5f59ae88-4484-416f-a5aa-ed447d03f195	3	198169114	198169247	4	-0.8645
5f59ae88-4484-416f-a5aa-ed447d03f195	4	68929	9455251	5136	0.0208
5f59ae88-4484-416f-a5aa-ed447d03f195	4	9459504	9477699	6	-1.3584
5f59ae88-4484-416f-a5aa-ed447d03f195	4	9484440	10389091	739	0.0259
5f59ae88-4484-416f-a5aa-ed447d03f195	4	10390730	10398532	14	-0.6862
5f59ae88-4484-416f-a5aa-ed447d03f195	4	10398887	34777432	16663	0.0178
5f59ae88-4484-416f-a5aa-ed447d03f195	4	34784878	34819718	36	0.6217
5f59ae88-4484-416f-a5aa-ed447d03f195	4	34822561	45003835	6589	0.0115
5f59ae88-4484-416f-a5aa-ed447d03f195	4	45004175	45004318	3	-2.4665
5f59ae88-4484-416f-a5aa-ed447d03f195	4	45008952	114252544	40243	0.0152
5f59ae88-4484-416f-a5aa-ed447d03f195	4	114254167	114261019	23	-1.0074
5f59ae88-4484-416f-a5aa-ed447d03f195	4	114263073	148450114	20100	0.0137
5f59ae88-4484-416f-a5aa-ed447d03f195	4	148452206	148452236	2	-1.4679
