GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
17518254-3f6e-42d3-887d-c92c5a4943bb	1	62920	2013116	337	0.039
17518254-3f6e-42d3-887d-c92c5a4943bb	1	2016961	2934562	236	0.1541
17518254-3f6e-42d3-887d-c92c5a4943bb	1	2934673	10396090	4660	0.0239
17518254-3f6e-42d3-887d-c92c5a4943bb	1	10398321	10398382	2	-1.2876
17518254-3f6e-42d3-887d-c92c5a4943bb	1	10408661	16542868	3408	0.0128
17518254-3f6e-42d3-887d-c92c5a4943bb	1	16544783	16679239	31	0.4713
17518254-3f6e-42d3-887d-c92c5a4943bb	1	16679281	16956580	84	-0.3104
17518254-3f6e-42d3-887d-c92c5a4943bb	1	16958425	25256352	5252	0.0199
17518254-3f6e-42d3-887d-c92c5a4943bb	1	25256800	25292440	18	0.6947
17518254-3f6e-42d3-887d-c92c5a4943bb	1	25292549	34626073	4957	0.013
17518254-3f6e-42d3-887d-c92c5a4943bb	1	34637053	34638890	20	-2.7426
17518254-3f6e-42d3-887d-c92c5a4943bb	1	34648667	72305460	23756	0.0069
17518254-3f6e-42d3-887d-c92c5a4943bb	1	72305684	72345465	43	0.2813
17518254-3f6e-42d3-887d-c92c5a4943bb	1	72346221	94040635	13931	0.0058
17518254-3f6e-42d3-887d-c92c5a4943bb	1	94042636	94045251	8	-0.8616
17518254-3f6e-42d3-887d-c92c5a4943bb	1	94047337	95689161	1242	0.01
17518254-3f6e-42d3-887d-c92c5a4943bb	1	95689188	95690660	5	-0.9751
17518254-3f6e-42d3-887d-c92c5a4943bb	1	95690821	143494500	15554	0.0022
17518254-3f6e-42d3-887d-c92c5a4943bb	1	143541857	143927887	124	-0.665
17518254-3f6e-42d3-887d-c92c5a4943bb	1	143928045	152583230	2314	0.0228
17518254-3f6e-42d3-887d-c92c5a4943bb	1	152583291	152614064	32	-1.8667
17518254-3f6e-42d3-887d-c92c5a4943bb	1	152614100	196761905	29663	0.0011
17518254-3f6e-42d3-887d-c92c5a4943bb	1	196762480	196762956	2	-1.6331
17518254-3f6e-42d3-887d-c92c5a4943bb	1	196769493	196843377	55	0.1647
17518254-3f6e-42d3-887d-c92c5a4943bb	1	196843400	196846661	2	1.8518
17518254-3f6e-42d3-887d-c92c5a4943bb	1	196847600	199142235	1375	-0.0068
17518254-3f6e-42d3-887d-c92c5a4943bb	1	199142298	199144712	8	-0.7263
17518254-3f6e-42d3-887d-c92c5a4943bb	1	199145110	248930189	34399	0.0041
17518254-3f6e-42d3-887d-c92c5a4943bb	2	12784	7989207	6294	0.014
17518254-3f6e-42d3-887d-c92c5a4943bb	2	7990754	7996487	7	-0.9952
17518254-3f6e-42d3-887d-c92c5a4943bb	2	7999793	14563570	4728	0.0018
17518254-3f6e-42d3-887d-c92c5a4943bb	2	14564825	14569968	12	-0.9226
17518254-3f6e-42d3-887d-c92c5a4943bb	2	14570240	29420466	9600	0.0088
17518254-3f6e-42d3-887d-c92c5a4943bb	2	29421019	29421356	5	-0.8068
17518254-3f6e-42d3-887d-c92c5a4943bb	2	29421729	33121989	2385	0.0061
17518254-3f6e-42d3-887d-c92c5a4943bb	2	33122065	33123644	3	-1.352
17518254-3f6e-42d3-887d-c92c5a4943bb	2	33123793	34427804	1031	0.0083
17518254-3f6e-42d3-887d-c92c5a4943bb	2	34434869	34511990	57	0.3638
17518254-3f6e-42d3-887d-c92c5a4943bb	2	34512096	35750907	871	0.0006
17518254-3f6e-42d3-887d-c92c5a4943bb	2	35752724	35761650	4	-1.8985
17518254-3f6e-42d3-887d-c92c5a4943bb	2	35761842	41011095	3927	-0.0033
17518254-3f6e-42d3-887d-c92c5a4943bb	2	41011303	41024093	23	-0.7512
17518254-3f6e-42d3-887d-c92c5a4943bb	2	41024125	97534580	32039	0.0025
17518254-3f6e-42d3-887d-c92c5a4943bb	2	97535071	97545726	6	-1.1811
17518254-3f6e-42d3-887d-c92c5a4943bb	2	97550415	106266773	5572	0.0057
17518254-3f6e-42d3-887d-c92c5a4943bb	2	106266875	106268901	7	0.6481
