GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e44fc43f-4411-44b3-b218-f0227617c1ee	1	3301765	89762335	50184	0.0009
e44fc43f-4411-44b3-b218-f0227617c1ee	1	89766549	89767780	7	-0.8052
e44fc43f-4411-44b3-b218-f0227617c1ee	1	89767989	102698962	7787	0.0007
e44fc43f-4411-44b3-b218-f0227617c1ee	1	102699674	102699725	2	-1.6963
e44fc43f-4411-44b3-b218-f0227617c1ee	1	102700584	179640923	28443	-0.0004
e44fc43f-4411-44b3-b218-f0227617c1ee	1	179652797	179652946	2	-1.5334
e44fc43f-4411-44b3-b218-f0227617c1ee	1	179654109	247650984	43276	0.0005
e44fc43f-4411-44b3-b218-f0227617c1ee	2	480597	51133337	30498	0.0068
e44fc43f-4411-44b3-b218-f0227617c1ee	2	51136217	51136261	3	-2.3125
e44fc43f-4411-44b3-b218-f0227617c1ee	2	51143323	56461913	2845	0.0048
e44fc43f-4411-44b3-b218-f0227617c1ee	2	56462599	56467942	3	1.0411
e44fc43f-4411-44b3-b218-f0227617c1ee	2	56468462	241537572	98796	0.0072
e44fc43f-4411-44b3-b218-f0227617c1ee	3	2170634	197812401	107138	0.0009
e44fc43f-4411-44b3-b218-f0227617c1ee	4	1059384	187842528	103447	0.0023
e44fc43f-4411-44b3-b218-f0227617c1ee	5	913983	180934240	101050	0.0012
e44fc43f-4411-44b3-b218-f0227617c1ee	6	1011760	48482577	28816	0.0006
e44fc43f-4411-44b3-b218-f0227617c1ee	6	48489317	48491815	4	-1.1659
e44fc43f-4411-44b3-b218-f0227617c1ee	6	48491863	135014291	47028	0
e44fc43f-4411-44b3-b218-f0227617c1ee	6	135021116	135022100	2	-1.6185
e44fc43f-4411-44b3-b218-f0227617c1ee	6	135028432	148180808	7994	0.0007
e44fc43f-4411-44b3-b218-f0227617c1ee	6	148185476	148185808	2	-1.0767
e44fc43f-4411-44b3-b218-f0227617c1ee	6	148186119	170596889	13265	-0.0022
e44fc43f-4411-44b3-b218-f0227617c1ee	7	664936	158592540	81904	0.001
e44fc43f-4411-44b3-b218-f0227617c1ee	8	667625	18476480	9602	0.001
e44fc43f-4411-44b3-b218-f0227617c1ee	8	18479367	18499887	16	-1.012
e44fc43f-4411-44b3-b218-f0227617c1ee	8	18502033	144182542	72576	0.0007
e44fc43f-4411-44b3-b218-f0227617c1ee	9	789794	138044505	68432	-0.0004
e44fc43f-4411-44b3-b218-f0227617c1ee	10	366509	133411599	81248	0.0012
e44fc43f-4411-44b3-b218-f0227617c1ee	11	456012	101039277	55451	-0.001
e44fc43f-4411-44b3-b218-f0227617c1ee	11	101039683	101039961	7	-0.7073
e44fc43f-4411-44b3-b218-f0227617c1ee	11	101041591	134272740	22073	-0.0015
e44fc43f-4411-44b3-b218-f0227617c1ee	12	780472	22264397	12516	0.0008
e44fc43f-4411-44b3-b218-f0227617c1ee	12	22264407	22267576	2	-1.3328
e44fc43f-4411-44b3-b218-f0227617c1ee	12	22267663	83083696	32987	-0.0023
e44fc43f-4411-44b3-b218-f0227617c1ee	12	83084818	83084836	2	-1.7124
e44fc43f-4411-44b3-b218-f0227617c1ee	12	83086416	88322055	2811	-0.0026
e44fc43f-4411-44b3-b218-f0227617c1ee	12	88326719	88329192	2	-1.6086
e44fc43f-4411-44b3-b218-f0227617c1ee	12	88329573	132605822	25985	-0.0016
e44fc43f-4411-44b3-b218-f0227617c1ee	13	18874255	25397343	3239	-0.0051
e44fc43f-4411-44b3-b218-f0227617c1ee	13	25398342	25398358	2	-1.3705
e44fc43f-4411-44b3-b218-f0227617c1ee	13	25398673	84060458	34590	-0.0009
e44fc43f-4411-44b3-b218-f0227617c1ee	13	84064922	84171608	62	-0.9026
