GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
95aa9717-87dc-42e6-8149-251e9b743de8	1	62920	668210	21	0.3484
95aa9717-87dc-42e6-8149-251e9b743de8	1	771719	1715891	193	-0.0499
95aa9717-87dc-42e6-8149-251e9b743de8	1	1716055	1741164	12	-1.1249
95aa9717-87dc-42e6-8149-251e9b743de8	1	1756148	11777242	5728	0.0174
95aa9717-87dc-42e6-8149-251e9b743de8	1	11777763	11783110	3	-1.0317
95aa9717-87dc-42e6-8149-251e9b743de8	1	11783141	11783840	2	1.4632
95aa9717-87dc-42e6-8149-251e9b743de8	1	11786195	16679281	2720	0.0199
95aa9717-87dc-42e6-8149-251e9b743de8	1	16679483	16721984	10	-1.2886
95aa9717-87dc-42e6-8149-251e9b743de8	1	16766762	16864367	16	0.142
95aa9717-87dc-42e6-8149-251e9b743de8	1	16868660	16935752	53	-0.6676
95aa9717-87dc-42e6-8149-251e9b743de8	1	16949746	72302815	34029	0.0144
95aa9717-87dc-42e6-8149-251e9b743de8	1	72303233	72345465	46	-1.6132
95aa9717-87dc-42e6-8149-251e9b743de8	1	72346221	105470754	20953	0.0088
95aa9717-87dc-42e6-8149-251e9b743de8	1	105476583	105479753	17	1.0306
95aa9717-87dc-42e6-8149-251e9b743de8	1	105481433	109684893	2637	0.01
95aa9717-87dc-42e6-8149-251e9b743de8	1	109690352	109702376	14	1.2471
95aa9717-87dc-42e6-8149-251e9b743de8	1	109703504	110817313	820	0.0146
95aa9717-87dc-42e6-8149-251e9b743de8	1	110817923	110875595	91	0.1648
95aa9717-87dc-42e6-8149-251e9b743de8	1	110875664	118737596	5240	0.0065
95aa9717-87dc-42e6-8149-251e9b743de8	1	118739613	119650141	619	0.0611
95aa9717-87dc-42e6-8149-251e9b743de8	1	119650420	119758152	92	-0.0319
95aa9717-87dc-42e6-8149-251e9b743de8	1	119762883	119762902	2	-1.0193
95aa9717-87dc-42e6-8149-251e9b743de8	1	119763366	119984772	153	0.0074
95aa9717-87dc-42e6-8149-251e9b743de8	1	120002553	120064540	5	0.6255
95aa9717-87dc-42e6-8149-251e9b743de8	1	120089042	120414592	16	0.0616
95aa9717-87dc-42e6-8149-251e9b743de8	1	120885464	120885477	2	1.3577
95aa9717-87dc-42e6-8149-251e9b743de8	1	120954128	143494500	98	0.041
95aa9717-87dc-42e6-8149-251e9b743de8	1	143541857	152583051	2441	0.5153
95aa9717-87dc-42e6-8149-251e9b743de8	1	152583230	152614064	33	-1.9681
95aa9717-87dc-42e6-8149-251e9b743de8	1	152614100	152787202	169	0.5188
95aa9717-87dc-42e6-8149-251e9b743de8	1	152789447	152796224	37	-0.3203
95aa9717-87dc-42e6-8149-251e9b743de8	1	152801429	158896783	3613	0.5239
95aa9717-87dc-42e6-8149-251e9b743de8	1	158898711	158899969	2	-0.9219
95aa9717-87dc-42e6-8149-251e9b743de8	1	158905028	196745743	25856	0.5261
95aa9717-87dc-42e6-8149-251e9b743de8	1	196758720	196832525	57	1.1371
95aa9717-87dc-42e6-8149-251e9b743de8	1	196832720	215318153	12528	0.5304
95aa9717-87dc-42e6-8149-251e9b743de8	1	215320126	215325761	7	-1.2978
95aa9717-87dc-42e6-8149-251e9b743de8	1	215327688	247795257	22688	0.537
95aa9717-87dc-42e6-8149-251e9b743de8	1	247796487	247796976	2	-1.1683
95aa9717-87dc-42e6-8149-251e9b743de8	1	247802793	248546369	431	0.5536
95aa9717-87dc-42e6-8149-251e9b743de8	1	248550567	248645563	36	0.8389
95aa9717-87dc-42e6-8149-251e9b743de8	1	248645808	248930189	140	0.5094
95aa9717-87dc-42e6-8149-251e9b743de8	2	12784	4158097	2988	0.015
95aa9717-87dc-42e6-8149-251e9b743de8	2	4166274	4175577	36	-0.8225
95aa9717-87dc-42e6-8149-251e9b743de8	2	4175922	36108462	22270	0.0165
95aa9717-87dc-42e6-8149-251e9b743de8	2	36108463	36112411	14	-0.9012
95aa9717-87dc-42e6-8149-251e9b743de8	2	36123960	73625410	25424	0.0137
95aa9717-87dc-42e6-8149-251e9b743de8	2	73627796	73684396	32	-0.8337
95aa9717-87dc-42e6-8149-251e9b743de8	2	73692070	106263639	15855	0.0182
95aa9717-87dc-42e6-8149-251e9b743de8	2	106264257	106268901	11	-2.1515
95aa9717-87dc-42e6-8149-251e9b743de8	2	106270799	130036283	14278	0.017
95aa9717-87dc-42e6-8149-251e9b743de8	2	130036310	130116915	13	-0.5239
95aa9717-87dc-42e6-8149-251e9b743de8	2	130117303	185932330	34019	0.0106
95aa9717-87dc-42e6-8149-251e9b743de8	2	185942541	185942666	2	-1.3244
95aa9717-87dc-42e6-8149-251e9b743de8	2	185943131	212425811	15666	0.0031
95aa9717-87dc-42e6-8149-251e9b743de8	2	212432139	212500540	47	0.5251
