GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
571b4d10-ae8b-435c-82e7-bc725c7d45ca	1	3301765	18827270	8668	0.0055
571b4d10-ae8b-435c-82e7-bc725c7d45ca	1	18827475	18827571	2	-1.8075
571b4d10-ae8b-435c-82e7-bc725c7d45ca	1	18829475	189750106	84042	0.0034
571b4d10-ae8b-435c-82e7-bc725c7d45ca	1	189752676	189753481	5	-1.4324
571b4d10-ae8b-435c-82e7-bc725c7d45ca	1	189759961	247650984	36910	0.0059
571b4d10-ae8b-435c-82e7-bc725c7d45ca	2	480597	227619897	123911	0.011
571b4d10-ae8b-435c-82e7-bc725c7d45ca	2	227620125	227621328	2	-1.4552
571b4d10-ae8b-435c-82e7-bc725c7d45ca	2	227624468	241537572	8141	0.0102
571b4d10-ae8b-435c-82e7-bc725c7d45ca	3	2170634	197812401	107105	0.0147
571b4d10-ae8b-435c-82e7-bc725c7d45ca	4	1059384	73318435	40056	0.0091
571b4d10-ae8b-435c-82e7-bc725c7d45ca	4	73326871	73327091	3	-1.9001
571b4d10-ae8b-435c-82e7-bc725c7d45ca	4	73327375	79072668	3673	0.0295
571b4d10-ae8b-435c-82e7-bc725c7d45ca	4	79072883	79079627	2	-1.2646
571b4d10-ae8b-435c-82e7-bc725c7d45ca	4	79080556	85722704	3901	0.0218
571b4d10-ae8b-435c-82e7-bc725c7d45ca	4	85722755	85722949	2	-1.4984
571b4d10-ae8b-435c-82e7-bc725c7d45ca	4	85722977	143061722	31762	0.0196
571b4d10-ae8b-435c-82e7-bc725c7d45ca	4	143062693	143062723	2	-1.2489
571b4d10-ae8b-435c-82e7-bc725c7d45ca	4	143064630	157259355	7857	0.0168
571b4d10-ae8b-435c-82e7-bc725c7d45ca	4	157260685	157264760	4	-1.1793
571b4d10-ae8b-435c-82e7-bc725c7d45ca	4	157266004	187842528	16126	0.01
571b4d10-ae8b-435c-82e7-bc725c7d45ca	5	914118	4939391	2650	0.0112
571b4d10-ae8b-435c-82e7-bc725c7d45ca	5	4943913	4944167	4	0.9078
