GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	1	3301765	247650984	128001	0.0005
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	2	480597	207635609	110144	0.0031
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	2	207636221	207638827	2	-2.1998
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	2	207639869	241537572	20339	0.001
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	3	2170634	10585877	4800	-0.0034
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	3	10586009	10586019	2	-2.2766
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	3	10588023	62846555	29701	0.0028
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	3	62860321	62860434	2	-2.077
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	3	62861144	82706841	12526	-0.0071
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	3	82707026	82709592	2	-1.538
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	3	82712909	111516074	12823	-0.003
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	3	111516217	111516448	2	-1.9407
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	3	111518704	197812401	45865	0.0012
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	4	1059384	187842528	102150	-0.0016
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	5	913983	180934240	99770	-0.0002
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	6	1011760	170596889	95861	0.0002
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	7	665647	23995508	12150	0.0053
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	7	24000259	24000764	2	1.9385
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	7	24001198	75807789	25691	0.0041
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	7	75808367	75809462	3	-2.3121
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	7	75810378	158592540	43082	-0.0014
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	8	667625	144182542	81134	0.0033
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	9	789794	138044505	67446	-0.0002
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	10	366509	133411599	80158	-0.0037
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	11	456012	95882601	51244	0.0009
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	11	95887172	95887195	2	-2.0471
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	11	95890868	134272740	25190	0.0058
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	12	780472	132605822	73367	0.0002
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	13	18874255	114226675	56184	-0.0015
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	14	20033191	105533894	49066	0.0012
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	15	23437561	101344124	44175	0.0022
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	16	603333	89317317	40631	0.0005
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	17	1074619	82959812	36799	0.0016
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	18	326691	79349796	42374	-0.001
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	19	283868	58370362	23903	0.0093
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	20	472817	15663537	9343	0.0049
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	20	15663892	15669727	6	-1.0607
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	20	15670791	61953896	27056	0.0008
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	20	61957341	61958481	2	-1.7104
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	20	61958559	63588502	601	0.0241
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	21	13974127	46262057	20326	-0.0043
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	22	16934932	47437863	15615	0.0012
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	22	47438355	47439820	2	-1.5706
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	22	47440662	48940621	1238	0.0126
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	X	3236359	69754560	26442	0.003
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	X	69756750	69757074	2	-2.0337
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	X	69758008	86554995	6388	0.0156
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	X	86555092	86556020	3	1.5897
1f4826da-d83a-4b6e-af6c-fe9dafa314ab	X	86556365	155677414	30485	0.0043
