GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	62920	826738	36	0.3448
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	833413	12813243	6460	0.0093
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	12817195	12832455	4	1.1204
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	12850124	15822572	1821	0.0025
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	15822793	15828471	12	0.6145
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	15828515	16504325	293	-0.0209
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	16505368	16868660	63	0.3847
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	16877002	19668998	1986	-0.0144
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	19669700	19669739	2	-1.3002
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	19671415	21372846	1051	-0.0094
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	21376715	21451767	37	0.3325
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	21452015	25275368	2242	-0.002
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	25275481	25319693	14	0.8231
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	25320198	30264526	2386	0.0049
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	30265508	30265687	4	-1.8154
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	30266949	33756209	1867	0.0052
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	33756703	33763529	8	-1.7375
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	33765616	34190783	338	-0.0242
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	34191211	34191702	2	-1.8436
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	34196051	48766487	8369	-0.0019
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	48767122	48768704	3	-1.2683
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	48771052	65485503	11270	0.006
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	65486745	65487058	2	-1.3326
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	65487237	72303233	4461	0.0045
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	72303253	72345465	45	-0.7494
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	72346221	81422917	5768	0.0062
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	81422920	81423039	5	-0.8445
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	81423183	81426822	19	0.0903
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	81427880	81428427	7	0.7338
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	81430195	89009572	5127	0.0052
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	89012275	89012522	2	-2.5126
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	89015841	103697067	9082	0.0042
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	103697364	103760781	4	1.5082
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	103760879	109684893	3568	-0.0035
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	109690352	109697556	13	-0.8175
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	109702376	110836273	841	0.0148
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	110836443	110845604	33	-0.8275
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	110849445	112147704	1074	0.0118
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	112153343	112163576	35	-0.3464
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	112163583	113110026	608	0.0036
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	113112025	113112096	2	1.1947
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	113112609	119984772	4414	0.0077
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	120002553	120089042	6	0.7391
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	120095238	143541857	116	0.0786
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	143545399	143942271	125	-0.4867
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	144432083	152583230	2313	0.0189
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	152583291	152614064	32	-1.6162
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	152614100	152790564	188	0.0136
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	152790593	152795805	14	-0.5339
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	152795862	160166538	4443	-0.0021
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	160167548	160167712	2	-1.6539
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	160169050	189679027	20257	0.004
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	189679353	189679397	2	-2.0803
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	189682917	196762956	4742	0.002
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	196769493	196846661	57	-0.4112
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	196847600	199138574	1374	-0.0137
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	199142235	199143883	8	-1.0234
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	199144712	204051718	3227	0.0017
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	204052035	204060386	2	-1.2647
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	204060475	209897717	4160	-0.0075
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	209908268	209908720	2	-1.305
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	209910639	214471811	3099	0.0034
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	214471920	214471964	3	-1.1224
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	214471977	229673660	9926	0.0016
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	229675422	229691700	23	0.357
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	229691763	231779862	1485	-0.0039
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	231779959	231821590	32	0.296
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	231827591	242971405	8675	-0.0007
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	242971953	243119182	28	0.465
f5e4e365-7383-464e-b97a-77d30c2a2d9d	1	243129825	248930189	3721	0.0122
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	12784	4155990	2980	0.0129
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	4158097	4176429	43	0.3226
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	4182472	27216883	16300	0.0049
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	27218434	27218632	3	-1.4195
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	27219036	31406954	2834	0.0012
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	31407516	31412285	3	1.3262
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	31416979	34450400	1884	-0.0091
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	34456427	34483565	11	0.8152
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	34483583	34497523	26	0.4813
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	34497960	34502800	11	0.9254
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	34511446	88847066	35611	0.0026
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	88847124	94681256	363	0.1394
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	94682300	97124542	818	0.0098
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	97128607	97207299	35	0.4223
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	97210040	97310327	7	1.0264
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	97348052	139603816	25378	0.0035
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	139608522	139615765	2	-3.2123
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	139620979	155095579	9519	0.0003
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	155096158	155096417	2	-1.7236
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	155099897	185792113	18861	0.004
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	185792229	185796840	5	-0.9589
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	185798074	201558143	8913	-0.0067
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	201558672	201558981	3	1.2431
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	201561984	207490614	3658	0.0068
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	207490972	207491392	7	-1.1477
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	207493563	207495544	14	-0.3629
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	207496875	212297443	3002	0.0044
f5e4e365-7383-464e-b97a-77d30c2a2d9d	2	212297575	212316597	29	-0.2524
