GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	62920	86341	11	-0.3985
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	98588	3291811	723	0.2124
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	3296382	9247978	3920	0.0136
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	9255788	9342344	58	0.2888
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	9344634	10306654	444	0.0041
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	10307072	10317466	20	0.4193
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	10317925	12774437	1299	-0.0032
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	12775725	13326062	45	0.3956
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	13338980	15827041	1809	0.0073
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	15827259	15827430	4	-1.6609
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	15827706	16525019	299	-0.0005
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	16542868	16968717	121	0.5559
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	16971203	21370976	2978	0.0081
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	21372846	21451767	38	0.3224
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	21452015	25129034	2151	0.0294
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	25129044	25129401	2	2.0585
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	25129421	72303233	28818	0.0075
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	72303253	72345450	44	-0.7729
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	72345465	105476583	20921	-0.0034
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	105476614	105479753	16	0.6173
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	105481433	109684893	2632	-0.0095
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	109690352	109690415	2	-2.0542
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	109690431	109697556	11	-0.1824
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	109702376	109718120	18	0.442
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	109721990	119984772	6993	0.01
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	120002553	121275630	39	0.3194
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	121347642	121598439	78	-0.0431
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	121601998	144442092	133	0.7759
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	144442098	152583051	2308	0.017
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	152583230	152588065	9	-0.6789
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	152588392	152614064	24	-1.8721
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	152614100	152787202	169	-0.0104
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	152789447	152805967	40	0.3308
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	152806050	166215244	8950	0.0073
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	166215587	166215616	2	-1.6681
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	166215770	195256744	19512	0.0011
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	195258387	195415915	101	-0.2271
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	195416020	196745692	871	0.0127
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	196745743	196832312	57	0.4185
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	196832525	206050479	6037	0.0053
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	206053799	206058126	3	1.224
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	206061689	223446392	12030	-0.002
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	223454848	223457090	13	0.8108
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	223457275	223460064	8	0.0581
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	223460203	223470919	34	0.5272
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	223471064	223473439	6	0.9266
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	223473497	228347860	2893	0.0155
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	228355602	228449604	36	0.3708
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	228453329	242982291	10971	0.006
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	243000540	243119182	22	0.5371
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	243129825	243690894	356	-0.0071
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	243697622	243697759	5	-1.1192
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	243699806	246779076	2112	-0.0003
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	246779131	246795038	24	0.4749
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	1	246798440	248930189	1223	-0.0005
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	2	12784	26531762	18982	0.0036
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	2	26538351	26617624	55	-1.0058
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	2	26620815	50789973	16873	-0.004
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	2	50790192	50939838	84	-0.2767
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	2	50942108	52035986	763	-0.0134
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	2	52036024	52038525	6	-0.799
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	2	52039769	52514599	315	-0.063
d83abbea-e1bc-4b5b-b17f-8ad294a3e3c6	2	52516787	52653613	102	0.21
