GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	62920	16488499	8619	0.0025
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	16489035	16993283	142	-0.39
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	16997950	22010750	3319	0.0093
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	22011632	22015896	2	2.6519
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	22017709	46044681	13202	0.0116
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	46046603	46048154	2	3.2871
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	46053881	48371665	1403	0.0068
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	48376143	48378940	2	2.1751
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	48379809	61976080	8978	0.0131
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	61976129	61976797	8	0.9947
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	61976803	65432268	2526	0.0062
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	65432318	65440582	3	2.1208
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	65441079	70958755	3702	0.0227
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	70960577	70964183	2	2.6396
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	70967301	72284670	776	0.0028
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	72290430	72297687	8	-0.9018
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	72302735	72346221	49	0.9144
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	72346757	74720685	1439	0.0236
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	74721817	74723534	2	2.399
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	74725098	74803600	61	0.0031
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	74805388	74808182	2	2.6946
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	74808303	105079911	19207	0.0184
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	105080318	105080931	2	3.2276
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	105084196	108358141	2237	0.0191
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	108358744	108471686	6	1.4894
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	108479495	112153651	2586	0.0083
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	112153686	112163518	28	0.592
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	112163527	121445157	5080	0.0132
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	121445521	121450637	2	2.4617
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	121451744	143459641	64	0.0396
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	143494500	143710242	84	-0.7093
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	143710767	152588065	2365	0.0354
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	152588392	152602985	15	-1.366
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	152606973	152606992	2	3.5572
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	152607145	152613762	5	-1.7989
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	152613802	193186662	27239	0.019
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	193187149	193187218	4	2.2188
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	193190593	196745743	2394	0.0235
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	196758720	196780087	26	-1.4589
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	196780691	196832525	31	-0.3277
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	196832720	229675422	21803	0.0212
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	229681109	229684449	3	-2.9144
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	229684709	231645163	1408	0.015
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	231646457	231671106	14	0.0762
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	231671142	231676735	3	2.1168
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	231677572	231794210	97	0.0011
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	231800457	231801734	2	2.6168
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	231802753	241673783	7714	0.0188
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	241676590	241677296	2	2.3776
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	241678431	243139864	1004	0.026
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	243143622	243187175	15	1.2413
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	1	243189078	248930189	3698	0.0257
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	2	12784	14565932	11024	0.0059
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	2	14566145	14569968	10	-1.294
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	2	14570240	14903676	229	0.033
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	2	14908511	14908672	2	2.3585
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	2	14909886	28840879	8867	0.012
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	2	28843890	28845849	3	2.3559
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	2	28847939	32505822	2459	0.0095
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	2	32506851	32509219	2	3.2279
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	2	32510766	41306327	6539	0.0162
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	2	41307821	41307863	2	2.9531
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	2	41307995	52527362	7948	0.0168
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	2	52527423	52563355	40	0.826
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	2	52564986	146106861	53194	0.0138
55db4c0f-5abc-43e5-8ba6-fbc4da0f6c75	2	146106875	146120238	23	1.0151
