GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b358eb25-7a0b-4f76-8c9d-fa19b7712274	1	3301765	208856599	104596	-0.0063
b358eb25-7a0b-4f76-8c9d-fa19b7712274	1	208858185	208866160	2	3.7675
b358eb25-7a0b-4f76-8c9d-fa19b7712274	1	208868883	247650984	25118	-0.0013
b358eb25-7a0b-4f76-8c9d-fa19b7712274	2	480597	47132527	28394	-0.0067
b358eb25-7a0b-4f76-8c9d-fa19b7712274	2	47133563	47133882	2	3.5394
b358eb25-7a0b-4f76-8c9d-fa19b7712274	2	47144255	153612146	53080	-0.0071
b358eb25-7a0b-4f76-8c9d-fa19b7712274	2	153614702	153669029	2	4.9101
b358eb25-7a0b-4f76-8c9d-fa19b7712274	2	153675299	241537572	50661	-0.0083
b358eb25-7a0b-4f76-8c9d-fa19b7712274	3	2170634	41064574	23441	-0.0011
b358eb25-7a0b-4f76-8c9d-fa19b7712274	3	41065682	41065738	2	1.9163
b358eb25-7a0b-4f76-8c9d-fa19b7712274	3	41070448	61141148	10264	-0.0033
b358eb25-7a0b-4f76-8c9d-fa19b7712274	3	61141532	61141631	2	-2.1133
b358eb25-7a0b-4f76-8c9d-fa19b7712274	3	61142344	197812401	73406	-0.0006
b358eb25-7a0b-4f76-8c9d-fa19b7712274	4	1059384	187842528	103427	-0.0008
b358eb25-7a0b-4f76-8c9d-fa19b7712274	5	913983	180934240	101085	0.0012
b358eb25-7a0b-4f76-8c9d-fa19b7712274	6	1011760	170596889	97126	-0.0015
b358eb25-7a0b-4f76-8c9d-fa19b7712274	7	664936	158592540	81908	0.0013
b358eb25-7a0b-4f76-8c9d-fa19b7712274	8	667625	144182542	82174	-0.0016
b358eb25-7a0b-4f76-8c9d-fa19b7712274	9	789794	69068713	24157	-0.0011
b358eb25-7a0b-4f76-8c9d-fa19b7712274	9	69069453	69103291	35	0.6313
b358eb25-7a0b-4f76-8c9d-fa19b7712274	9	69103543	133106902	42324	-0.0092
b358eb25-7a0b-4f76-8c9d-fa19b7712274	9	133114559	133117261	2	2.1683
b358eb25-7a0b-4f76-8c9d-fa19b7712274	9	133125109	138044505	1933	-0.0207
b358eb25-7a0b-4f76-8c9d-fa19b7712274	10	366509	133411599	81241	-0.0045
b358eb25-7a0b-4f76-8c9d-fa19b7712274	11	456012	134272740	77539	-0.0034
b358eb25-7a0b-4f76-8c9d-fa19b7712274	12	780472	132605822	74317	-0.0053
b358eb25-7a0b-4f76-8c9d-fa19b7712274	13	18874255	114226675	56947	-0.0001
b358eb25-7a0b-4f76-8c9d-fa19b7712274	14	20033191	24701738	1843	-0.0083
b358eb25-7a0b-4f76-8c9d-fa19b7712274	14	24702444	24703250	2	-2.2853
b358eb25-7a0b-4f76-8c9d-fa19b7712274	14	24703423	83766000	34855	-0.0027
b358eb25-7a0b-4f76-8c9d-fa19b7712274	14	83766269	83771450	3	2.5674
b358eb25-7a0b-4f76-8c9d-fa19b7712274	14	83771751	105533894	13041	-0.0065
b358eb25-7a0b-4f76-8c9d-fa19b7712274	15	23437561	79704322	31853	-0.0081
b358eb25-7a0b-4f76-8c9d-fa19b7712274	15	79704472	79705954	3	1.6624
b358eb25-7a0b-4f76-8c9d-fa19b7712274	15	79706875	93890638	8291	-0.0064
b358eb25-7a0b-4f76-8c9d-fa19b7712274	15	93894006	93898678	4	1.5516
b358eb25-7a0b-4f76-8c9d-fa19b7712274	15	93901486	101344124	4618	-0.0025
b358eb25-7a0b-4f76-8c9d-fa19b7712274	16	603333	89317317	41195	-0.0053
b358eb25-7a0b-4f76-8c9d-fa19b7712274	17	1074619	82959812	37261	-0.0071
b358eb25-7a0b-4f76-8c9d-fa19b7712274	18	326691	79349796	42947	-0.0024
b358eb25-7a0b-4f76-8c9d-fa19b7712274	19	283868	58370362	24140	-0.0066
b358eb25-7a0b-4f76-8c9d-fa19b7712274	20	472817	63588502	37546	-0.0059
b358eb25-7a0b-4f76-8c9d-fa19b7712274	21	13974127	46262057	20581	-0.0026
b358eb25-7a0b-4f76-8c9d-fa19b7712274	22	16934932	48940621	17080	-0.0042
b358eb25-7a0b-4f76-8c9d-fa19b7712274	X	3236359	155677414	63945	-0.0015
