GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	62920	1027585	77	-0.2752
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	1052992	1716055	138	0.0984
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	1716451	1741164	11	-1.055
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	1756148	3301765	512	-0.0129
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	3302046	17265184	8249	-0.2213
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	17266821	17285053	19	0.4302
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	17287982	22323501	3318	-0.2296
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	22327057	22332234	4	1.0439
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	22338281	25266637	1682	-0.2073
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	25269390	25275368	6	-1.439
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	25275481	25277975	4	0.0918
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	25278567	25284961	3	-3.0099
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	25289805	30670351	2737	-0.211
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	30670681	30789990	83	0.1271
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	30793010	31507747	368	-0.265
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	31508188	31511698	7	0.5272
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	31511735	34622883	1755	-0.2503
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	34625857	34638226	15	0.2891
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	34638263	37350483	1462	-0.2297
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	37352476	37455082	53	0.1619
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	37455442	54752482	9622	-0.2286
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	54755221	54809957	41	0.222
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	54811139	72280898	12559	-0.2242
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	72284165	72297687	11	-0.9852
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	72302735	72343085	41	0.2247
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	72343689	85074675	8292	-0.2161
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	85075988	85076874	3	-2.286
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	85076937	107059990	13686	-0.2203
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	107060227	107920797	701	0.1361
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	107931912	108792740	441	-0.2432
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	108793611	112147589	2416	0.0892
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	112147626	112153651	6	-0.9926
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	112153686	113762492	985	0.095
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	113766234	152782154	6832	0.3513
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	152783832	152806082	49	1.0492
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	152806100	174827267	14801	0.3294
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	174827418	174833014	23	-0.2806
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	174833313	175506522	464	0.2567
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	175506933	175697541	179	0.4892
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	175697980	179197544	2283	0.3207
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	179199614	179200937	5	1.3571
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	179201013	183552201	2990	0.3267
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	183552761	200834897	11300	0.3645
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	200836486	205947395	3490	0.3224
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	205949558	207658012	909	0.0886
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	207665341	213090488	3954	0.3459
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	213095840	218758894	4087	0.1027
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	218760158	219896797	826	0.3567
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	219900189	228309769	5219	0.0915
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	228312480	228656037	97	0.3538
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	228657499	246043913	12958	0.0821
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	246043965	246044085	2	-2.4203
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	1	246044793	248930189	1723	0.1112
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	12784	4866110	3599	-0.2423
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	4866333	4869014	10	-1.3208
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	4869205	30214911	17655	-0.2521
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	30214920	30222160	3	-2.2468
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	30223083	33898141	2344	-0.2724
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	33899048	34295406	354	0.2678
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	34298911	34300513	2	-2.0184
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	34300900	52527330	13139	0.2678
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	52527342	52560811	40	-0.4183
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	52563002	54086649	1158	0.2746
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	54086699	54255827	120	0.5704
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	54259004	89251705	21478	0.2547
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	89251710	89254398	3	-1.4973
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	89254427	96673810	841	0.2144
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	96674044	97181113	209	-0.0081
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	97181150	97211069	16	-0.6743
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	97211264	106250044	5580	0.0371
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	106256280	106270952	23	0.592
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	106271414	111190770	2532	0.0261
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	111191232	114784071	1989	0.302
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	114784139	114784167	2	-2.1824
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	114784339	116624545	1097	0.302
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	116625329	117532971	552	-0.253
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	117539741	124381969	4493	0.0269
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	124388824	124390174	3	1.3845
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	124393146	124470196	44	0.1438
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	124479206	125242411	452	-0.1066
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	125242793	129026586	2339	0.0267
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	129027150	129031535	4	-1.5861
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	129031762	146107615	10306	0.0477
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	146107675	146109366	16	-1.2333
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	146120238	154646191	5246	0.069
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	154649549	154969723	178	0.6625
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	154971061	232375213	47372	0.0531
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	232376888	232377633	7	1.2491
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	232377647	235004582	1848	0.0066
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	235005538	235071979	46	0.3904
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	235075434	235949572	628	0.0383
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	235950057	235950274	2	1.6299
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	235953182	238910991	1900	0.0124
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	238911116	239090034	110	0.3267
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	239090914	239397060	195	0.0008
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	239397395	239411399	7	0.791
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	239415788	240671904	853	-0.0097
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	240686640	240764964	26	0.4954
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	240765045	241546809	397	0.0094
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	241546934	241573649	15	0.2473
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	241575466	241657903	14	0.6845
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	241666547	242054438	102	0.0279
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	242056363	242067200	9	0.5576
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	2	242068255	242147305	42	-0.1888
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	20930	182919	153	0.1543
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	188339	190956	3	-2.5214
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	191117	1790373	1423	0.2197
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	1791923	2088365	273	0.5846
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	2091062	25800717	17644	0.3408
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	25800835	26369159	360	0.2013
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	26371767	28924665	1705	0.3418
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	28925287	28940718	9	-0.4967
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	28941286	40191121	7526	0.3585
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	40196577	40857673	383	-0.7663
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	40858088	53420249	6477	-0.6681
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	53420653	68697133	11730	-0.736
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	68697295	68700106	21	0.4585
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	68700200	76247521	5179	-0.7256
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	76252218	76375363	44	-1.2968
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	76375601	84649532	4620	-0.72
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	84649683	84653449	23	0.0546
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	84657133	88598657	2160	-0.7485
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	88598737	88642066	23	-0.2237
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	88644311	89211124	338	0.1119
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	89211176	89211511	3	-1.1375
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	89211843	89331082	148	0.1395
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	89332003	89359237	33	-0.2325
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	89359253	89370231	29	0.2098
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	89370771	89376664	5	-0.9474
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	89376731	89503594	74	0.0976
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	89506877	91390926	304	0.3634
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	91462299	118152844	14595	-0.2363
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	118153037	118153755	4	-2.1504
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	118158563	130044016	6959	-0.2402
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	130044855	130087209	37	0.2685
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	130087393	146756541	10425	-0.2422
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	146758696	147585635	429	-0.3875
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	147590316	162795304	9391	-0.2389
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	162795361	162846267	28	-1.0587
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	162849883	166089784	1866	-0.2766
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	166094472	166149640	28	-0.8157
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	166149690	173444687	4436	-0.2466
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	173445369	173630700	128	-0.5374
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	173631571	175369828	1240	-0.2207
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	175369906	175946031	365	-0.4171
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	175949073	191743572	10134	-0.2329
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	3	191746660	198169247	3698	0.5661
90cc0bf8-5e04-4c34-bc2d-7d9d3b98569c	4	68929	857569	292	0.0791
