GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	62920	668210	21	-0.5965
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	771719	2646909	494	0.4986
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	2647902	15823420	7814	0.0702
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	15827002	15828515	10	0.6627
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	15839166	16010757	81	0.0373
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	16018169	16063907	12	0.503
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	16071582	16686246	240	0.0563
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	16689764	16884157	27	-0.3912
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	16886219	45890742	16533	0.064
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	45890905	67460343	14487	0.1084
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	67461297	68166696	559	0.1393
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	68169707	68170064	3	-1.5473
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	68173702	105476614	23426	0.1563
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	105476688	105479753	15	0.7839
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	105481433	109677464	2628	0.1505
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	109677968	109702376	19	1.0588
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	109703504	118132338	5780	0.1374
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	118133075	120370887	1246	0.4869
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	120385535	145670653	248	0.286
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	145674253	146044884	158	0.7603
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	146062439	146161924	3	-0.7544
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	146174153	152582700	2132	0.6837
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	152583051	152614118	36	1.6514
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	152618018	152787202	166	0.7206
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	152789447	152796224	37	-1.3965
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	152801429	158896783	3609	0.6939
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	158898711	158917512	15	0.2046
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	158917527	166205335	5329	0.7102
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	166205703	166227663	15	1.2191
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	166227818	175116397	5992	0.7073
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	175119946	178692760	2367	0.7571
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	178693005	186749185	5445	0.7148
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	186749246	196745743	6668	0.7476
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	196758720	196846661	61	-1.4618
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	196847600	196981143	88	0.6264
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	196983126	199138574	1283	0.7197
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	199142235	199145110	10	-0.3394
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	199145262	213696966	9884	0.7148
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	213698179	219648167	4349	0.7627
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	219648233	222193326	1775	0.7258
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	222201492	222203662	2	-1.0881
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	222208792	245621434	16321	0.7287
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	245621719	248524544	1898	0.5814
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	248524859	248633912	41	0.1163
380ab3e1-4711-4b6b-9914-8e826c2d58c0	1	248645563	248930189	140	0.6135
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	12784	75357	34	0.1639
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	78533	1194574	767	0.0205
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	1195003	1197933	2	-2.0215
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	1201160	6568590	4291	0.0384
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	6569261	12969473	4841	-0.006
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	12973349	23877223	7749	0.0349
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	23879047	32628638	4978	-0.0227
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	32629773	41011080	6244	0.0188
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	41011095	41018747	23	-0.6788
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	41024093	52516787	8170	-0.0015
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	52527330	52554157	32	0.6152
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	52554188	60382761	5548	0.012
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	60383578	61584635	604	0.3981
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	61590362	75699439	8780	0.2243
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	75704086	86710564	6969	0.0231
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	86725947	86726731	2	2.1817
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	86743283	88472088	491	-0.0026
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	88475261	89296555	362	0.4517
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	89305244	90224032	126	-0.5223
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	90228220	92078382	68	0.1983
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	94662162	95029329	116	0.4595
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	95040583	106266773	6341	0.1699
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	106266875	106268901	7	1.0446
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	106270799	110790058	2237	0.1815
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	110790410	110795938	3	-1.327
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	110796604	111331380	345	0.1832
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	111341356	111360747	3	-1.2174
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	111360870	125928914	9009	0.1917
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	125929169	146104517	12181	-0.2194
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	146106836	146120964	31	0.3528
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	146121077	177923761	19482	-0.2174
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	177930455	178213465	176	0.2947
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	178219680	213481090	21060	-0.2125
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	213486266	213490966	6	-1.4262
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	213495320	219667047	3823	-0.2234
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	219669746	219671260	2	-2.5026
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	219671367	228892290	6179	-0.2166
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	228894763	228895367	9	-1.3041
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	228895419	229767552	641	-0.2239
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	229768047	229787409	11	0.2065
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	229788926	229957599	71	-0.2375
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	229960400	241975583	7332	-0.2607
380ab3e1-4711-4b6b-9914-8e826c2d58c0	2	241976006	242147305	123	-0.1914
380ab3e1-4711-4b6b-9914-8e826c2d58c0	3	20930	23747411	17747	0.3355
380ab3e1-4711-4b6b-9914-8e826c2d58c0	3	23750164	30239910	4806	-0.1419
380ab3e1-4711-4b6b-9914-8e826c2d58c0	3	30241871	30241898	2	-1.9362
380ab3e1-4711-4b6b-9914-8e826c2d58c0	3	30245388	46380554	10319	-0.1654
