GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	62920	3345118	737	-1.0692
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	3350785	5323383	1417	-0.3104
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	5324268	5330620	8	-4.7266
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	5331289	9327300	2275	-0.2617
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	9327385	9342344	12	-4.6802
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	9344634	14583273	2618	-0.2284
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	14583587	15027903	348	-0.89
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	15028501	15455815	289	-0.0054
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	15457276	15502247	24	-3.668
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	15502267	16525019	463	0.0144
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	16542868	16988207	130	-1.4347
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	16993283	20539835	2372	-0.2361
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	20540022	20556929	13	-1.5126
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	20557010	20563656	9	-5.3884
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	20564785	20709085	104	-1.2054
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	20712487	29907289	4503	-0.0743
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	29908642	29947892	36	-2.2557
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	29948348	152583291	57430	-0.0717
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	152583319	152613242	26	2.5493
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	152613641	158046206	2956	-0.1158
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	158049472	158055621	6	-5.4013
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	158055664	159612265	1119	0.0292
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	159612313	159612614	3	-6.7292
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	159614116	175444750	10630	-0.0201
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	175445468	175519273	74	-1.4671
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	175519365	175661658	123	-0.0648
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	175661681	175673751	11	-3.5355
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	175673776	181910765	3975	-0.0892
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	181913025	181916624	6	-5.414
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	181916792	185372089	2236	-0.1102
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	185372119	200047233	9208	0.0656
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	200047332	204224646	2640	-0.1478
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	204224663	204230882	13	-3.685
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	204231132	225346566	13855	-0.1033
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	225347304	225869213	303	-0.8913
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	225870631	228347149	1365	-0.0067
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	228347663	228360200	10	-4.5051
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	228379911	240176846	8357	-0.047
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	240177316	240186616	7	-4.9722
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	240187941	245254863	3376	-0.0819
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	245255129	245259539	8	-4.6788
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	245260032	246146528	686	0.0417
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	246146904	246170634	12	-3.4642
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	246171428	246767262	342	0.0332
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	246768490	246779839	25	-2.616
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	246779998	248801908	1130	-0.0111
86c22622-a7fb-4c73-8d6a-40be9a307dbe	1	248805242	248930189	62	-0.9515
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	12784	3259105	2167	-0.3819
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	3261939	3265711	10	-4.9664
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	3267188	6874539	2885	-0.0989
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	6874885	6885044	12	-3.8558
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	6888521	7979266	872	-0.2272
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	7980369	8001470	18	-2.9672
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	8002428	8421565	310	-0.0426
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	8421609	8439175	23	-2.8622
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	8440486	31407516	14747	-0.1809
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	31409221	37777178	4200	0.0905
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	37777288	37780841	10	-4.0633
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	37781107	75865036	24456	-0.0501
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	75869666	75873438	5	-5.4671
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	75875578	84730358	5563	0.006
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	84733487	86792161	1110	-0.1544
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	86793481	88000106	198	-1.0155
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	88005291	120551706	14730	-0.1302
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	120552183	120581008	19	-2.9427
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	120581769	120934888	223	-0.3869
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	120934901	120974459	41	-2.1108
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	120974996	132540016	6469	-0.1361
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	132540428	132565146	20	-3.3749
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	132565175	136645225	2593	-0.1312
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	136647845	194775044	34091	-0.0148
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	194775623	195435081	386	0.6812
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	195435221	210823421	8901	-0.0482
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	210823652	210825782	4	-5.8265
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	210826193	217260384	4166	-0.0294
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	217264021	217428273	128	-0.2089
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	217428511	217465918	34	-2.2458
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	217466160	223024964	3326	-0.1288
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	223025069	223031844	9	-4.2557
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	223033654	232415091	5657	-0.1319
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	232415392	232422877	6	-4.9726
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	232423548	232554210	60	-0.5323
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	232554374	232557527	10	-4.064
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	232558986	237668590	3422	-0.2034
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	237669893	237677999	7	-5.0979
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	237680541	241557968	2173	-0.3524
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	241558352	242056966	125	-1.517
86c22622-a7fb-4c73-8d6a-40be9a307dbe	2	242059222	242147305	48	-0.2148
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	20930	100461	64	-0.5772
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	100502	1704897	1382	0.4749
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	1705247	1747516	37	-1.7559
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	1748468	2936153	960	0.3491
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	2937591	4226736	1173	0.0531
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	4227067	4231178	9	-4.0937
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	4231256	11997191	5832	-0.0183
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	11998325	12034301	18	-2.7688
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	12034708	12699720	497	-0.0132
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	12699846	17140741	2864	-0.4256
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	17140924	21786238	2702	-0.046
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	21788602	22276782	438	0.5696
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	22277308	28662734	4358	0.008
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	28663116	28672296	10	-3.6659
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	28673242	42062594	8550	-0.0487
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	42062649	42075633	11	-3.9157
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	42079986	56770653	7815	-0.1129
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	56771204	56796471	13	-3.4672
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	56796551	59737454	1703	-0.1367
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	59740125	60193194	556	0.3525
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	60193731	60198640	4	-5.4346
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	60203633	60813530	625	0.3755
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	60814994	61679272	712	-0.1148
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	61679932	61683249	3	-6.8233
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	61683599	89345576	17407	-0.0534
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	89345592	89355967	5	5.6507
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	89356604	126307500	19244	-0.056
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	126308588	126993915	383	-0.9057
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	126996578	138065980	6369	-0.1113
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	138068440	138072001	8	-4.4266
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	138076605	175441834	22329	-0.0442
86c22622-a7fb-4c73-8d6a-40be9a307dbe	3	175443714	175982369	313	0.6169
