GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	62920	15822848	8336	-0.2397
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	15823420	15839166	12	0.5468
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	15841285	16604834	302	-0.2651
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	16605031	16643961	25	-0.8597
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	16679239	16949746	82	-0.0976
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	16951445	25256800	5246	-0.7285
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	25256850	25320455	25	-0.0706
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	25336819	29274557	1633	-0.7259
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	29277795	72303233	27107	-0.2268
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	72303253	72345465	45	-1.4533
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	72346221	112615638	25949	-0.2214
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	112620816	121573287	4807	0.2415
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	121573699	148331533	971	0.5633
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	148333107	151927083	1075	0.479
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	151930019	152583051	408	0.535
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	152583230	152614118	35	1.6635
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	152618018	152789447	168	0.5044
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	152789463	152796224	36	1.0579
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	152801429	153558806	562	0.5439
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	153559644	156755161	1475	0.464
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	156755209	157508748	457	0.5234
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	157512664	157513157	2	-0.6842
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	157513483	161647641	2770	0.5142
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	161647657	161649268	8	-0.7574
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	161678447	167156843	4425	0.5351
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	167157013	167795598	471	0.2672
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	167796946	167797682	4	-0.7089
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	167799276	168032942	139	0.2116
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	168033734	169016577	778	0.5369
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	169017063	169017973	5	-0.4332
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	169020148	169247699	190	0.5301
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	169264736	169272528	7	1.5418
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	169273163	174827267	3519	0.5276
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	174827418	174832716	17	-0.6447
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	174832734	179470495	3151	0.5307
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	179476998	179478146	2	-1.0589
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	179478408	196745743	11496	0.5336
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	196758720	196762956	4	-1.8556
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	196769493	196788990	31	0.2522
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	196789019	196790158	4	-1.1424
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	196792690	200320466	2251	0.546
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	200320482	207579707	4649	0.5126
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	207580000	214464465	5009	0.5455
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	214465093	214465114	2	-0.6787
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	214465910	219147837	3365	0.5422
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	219152860	219226452	47	0.08
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	219229085	219229423	2	-4.5014
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	219231724	227237600	5157	0.0049
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	227238371	227238705	3	-3.9794
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	227241477	234521174	5187	0.0085
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	234521843	234521927	2	-1.7431
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	234524061	245512476	7996	0.0034
548f7871-ac2a-469a-8f4a-4bda2aaae71a	1	245520373	248930189	2170	0.559
548f7871-ac2a-469a-8f4a-4bda2aaae71a	2	12784	30143	10	-0.4209
548f7871-ac2a-469a-8f4a-4bda2aaae71a	2	33901	34346	3	-1.9399
548f7871-ac2a-469a-8f4a-4bda2aaae71a	2	36862	34466002	24078	-0.2129
548f7871-ac2a-469a-8f4a-4bda2aaae71a	2	34474248	34511990	46	-2.4152
548f7871-ac2a-469a-8f4a-4bda2aaae71a	2	34512096	35750907	872	-0.2086
548f7871-ac2a-469a-8f4a-4bda2aaae71a	2	35752724	35762881	7	0.8113
548f7871-ac2a-469a-8f4a-4bda2aaae71a	2	35772407	48810859	9460	-0.2147
548f7871-ac2a-469a-8f4a-4bda2aaae71a	2	48813994	48826572	14	-1.6777
548f7871-ac2a-469a-8f4a-4bda2aaae71a	2	48829828	52527590	2658	-0.2093
548f7871-ac2a-469a-8f4a-4bda2aaae71a	2	52527727	52554404	35	-1.0389
548f7871-ac2a-469a-8f4a-4bda2aaae71a	2	52560811	146104517	53260	-0.2144
548f7871-ac2a-469a-8f4a-4bda2aaae71a	2	146106836	146120890	29	0.5922
548f7871-ac2a-469a-8f4a-4bda2aaae71a	2	146120907	160696369	8819	-0.214
548f7871-ac2a-469a-8f4a-4bda2aaae71a	2	160696730	160696820	2	-2.1679
548f7871-ac2a-469a-8f4a-4bda2aaae71a	2	160700545	172690673	7262	-0.2054
548f7871-ac2a-469a-8f4a-4bda2aaae71a	2	172691152	172691308	2	-1.9078
548f7871-ac2a-469a-8f4a-4bda2aaae71a	2	172694340	207490231	20887	-0.2089
548f7871-ac2a-469a-8f4a-4bda2aaae71a	2	207490454	207494612	16	-0.9724
548f7871-ac2a-469a-8f4a-4bda2aaae71a	2	207494752	242147305	22077	-0.2088
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	20930	182919	154	0.3212
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	188339	191117	4	-0.871
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	193194	734637	449	0.3129
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	734948	736560	4	-0.9278
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	738461	7946618	6439	0.3336
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	7947169	8653144	577	0.3865
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	8653601	8654630	2	-0.6862
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	8655686	9078320	388	0.4048
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	9078743	26382217	11876	0.329
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	26382931	26397852	7	-0.4858
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	26404482	39709264	8928	0.3307
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	39721253	39736588	8	-0.6083
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	39737767	42785457	1998	0.2899
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	42800753	43033926	107	-0.7465
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	43036852	43042639	6	0.4683
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	43048478	43518004	306	-0.7336
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	43521095	43764701	120	0.3121
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	43765390	65210632	13954	-0.7233
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	65211204	65221269	30	-0.2843
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	65221656	68675541	2427	-0.7099
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	68676600	68698262	17	0.5589
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	68699607	75496671	4912	-0.718
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	75497579	75547095	17	0.0942
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	75559488	81944942	3607	-0.7179
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	81945354	81945791	2	-3.0689
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	81946010	84652985	1376	-0.704
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	84653010	84653449	5	0.3646
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	84657133	91462299	3128	-0.7062
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	93800634	99218119	2846	-0.1125
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	99218940	99269698	60	0.1143
548f7871-ac2a-469a-8f4a-4bda2aaae71a	3	99269996	130044855	18689	-0.1096
