GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	62920	259926	16	0.3171
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	266187	16721910	8671	0.0051
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	16721984	16931448	61	0.3099
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	16932568	20556710	2547	0.0186
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	20556929	20560274	6	-0.9524
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	20560287	25266637	2717	-0.002
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	25269390	25278567	11	0.8769
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	25284629	40130169	7959	0.0117
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	40133243	54624527	8054	-0.0251
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	54627618	54628716	2	-1.7725
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	54630777	56432185	1432	-0.0235
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	56437053	65039666	6554	0.0034
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	65042903	72303233	4741	-0.1256
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	72303253	72346757	47	-1.0547
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	72351072	75205272	1700	-0.1259
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	75208706	105470754	19246	0.0171
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	105476583	105479753	17	1.0096
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	105481433	109690949	2640	0.0218
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	109691609	109692006	4	-1.3012
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	109696900	112147704	1953	0.0195
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	112153343	112154375	17	-1.6168
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	112154390	143494500	5168	0.0173
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	143541857	143762042	117	-0.4651
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	143796140	144442342	14	0.0442
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	144445555	144487217	7	0.5064
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	144491166	152583291	2303	0.1678
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	152583319	152613802	30	0.7097
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	152614064	152795883	205	0.19
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	152796094	158896783	3613	0.125
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	158898711	158899969	2	2.3987
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	158905028	163068910	2838	0.1451
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	163074137	174657083	8268	0.1921
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	174664167	175236035	364	0.3925
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	175240742	178690874	2255	0.2019
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	178691010	178691099	2	1.7334
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	178691175	187746723	6155	0.1906
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	187748429	187752238	2	-1.7979
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	187755479	189407865	1042	0.209
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	189409301	189409595	2	2.1018
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	189409765	210842595	14500	0.2025
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	210843076	217155778	4342	0.0369
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	217162312	223876269	4540	0.172
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	1	223876411	248930189	17418	0.3059
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	2	12784	844736	576	0.0197
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	2	845101	1123366	182	0.4935
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	2	1123541	1615448	288	-0.0015
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	2	1615831	1857561	151	0.4833
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	2	1857776	34427804	22862	0.0179
f7aa01e5-56c8-4c23-94f5-c028f5b8057c	2	34434869	34511446	56	0.6693
