GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
23c38a57-6a93-4845-8c80-53d2fb835d37	1	62920	462894	19	-0.4069
23c38a57-6a93-4845-8c80-53d2fb835d37	1	599171	969227	48	0.5628
23c38a57-6a93-4845-8c80-53d2fb835d37	1	983193	1696479	144	0.8215
23c38a57-6a93-4845-8c80-53d2fb835d37	1	1696979	1756619	21	0.639
23c38a57-6a93-4845-8c80-53d2fb835d37	1	1756753	2647902	284	0.4178
23c38a57-6a93-4845-8c80-53d2fb835d37	1	2777898	2837947	24	0.1228
23c38a57-6a93-4845-8c80-53d2fb835d37	1	2843676	4362170	850	0.55
23c38a57-6a93-4845-8c80-53d2fb835d37	1	4363836	5092099	704	0.9378
23c38a57-6a93-4845-8c80-53d2fb835d37	1	5096185	6335675	862	0.5325
23c38a57-6a93-4845-8c80-53d2fb835d37	1	6339720	6768567	210	0.1067
23c38a57-6a93-4845-8c80-53d2fb835d37	1	6768948	8379997	1011	0.4127
23c38a57-6a93-4845-8c80-53d2fb835d37	1	8380230	10610834	1183	0.0485
23c38a57-6a93-4845-8c80-53d2fb835d37	1	10611363	10619664	3	-1.2352
23c38a57-6a93-4845-8c80-53d2fb835d37	1	10621749	10970785	168	0.0739
23c38a57-6a93-4845-8c80-53d2fb835d37	1	10972283	12867264	992	0.6555
23c38a57-6a93-4845-8c80-53d2fb835d37	1	12868035	15596141	1699	0.085
23c38a57-6a93-4845-8c80-53d2fb835d37	1	15606437	16504325	424	-0.4394
23c38a57-6a93-4845-8c80-53d2fb835d37	1	16505368	16935737	114	-0.8019
23c38a57-6a93-4845-8c80-53d2fb835d37	1	16935752	18048555	791	-0.4386
23c38a57-6a93-4845-8c80-53d2fb835d37	1	18051208	19175207	838	0.0757
23c38a57-6a93-4845-8c80-53d2fb835d37	1	19186019	24469459	3135	-0.4538
23c38a57-6a93-4845-8c80-53d2fb835d37	1	24477614	24483664	3	1.6134
23c38a57-6a93-4845-8c80-53d2fb835d37	1	24485999	24619164	74	-0.4598
23c38a57-6a93-4845-8c80-53d2fb835d37	1	24620695	24860251	131	1.3501
23c38a57-6a93-4845-8c80-53d2fb835d37	1	24864144	25126648	195	-0.4841
