GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	1	3301765	201915540	100107	0.0015
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	1	201915687	201915774	2	-1.6188
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	1	201917274	247650984	29620	0.0045
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	2	480597	236843202	129450	0.0081
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	2	236845171	236847307	2	-1.9382
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	2	236849207	241537572	2738	0.0074
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	3	2170634	11103164	5298	0.0025
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	3	11110819	11111823	2	-1.6079
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	3	11111927	197812401	101873	0.0004
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	4	1059384	187842528	103482	0.0027
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	5	913983	116199251	61792	0.0038
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	5	116201698	116201705	2	-1.7094
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	5	116201735	141444562	14428	0.0045
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	5	141447667	141450788	2	-1.7394
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	5	141453510	169219717	18287	-0.0025
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	5	169220500	169220596	2	-1.3834
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	5	169222617	180934240	6599	-0.0005
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	6	1011760	64984726	35801	0.0015
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	6	64987587	64995182	7	-1.227
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	6	64996680	78661494	7867	0.0042
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	6	78664338	78665008	2	-1.4867
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	6	78665459	170596889	53477	0.0044
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	7	664936	68180799	35021	-0.0006
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	7	68182287	68198224	12	-0.639
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	7	68200052	158592540	46904	0.0003
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	8	667625	56788833	30607	0.0017
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	8	56792889	56803180	13	-1.1601
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	8	56803378	144182542	51600	0
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	9	789794	138044505	68477	0.0006
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	10	366509	106449027	63555	-0.0028
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	10	106449197	106449658	2	-2.0813
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	10	106451727	133411599	17722	-0.003
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	11	456012	134272740	77567	0.0077
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	12	780472	73423989	39551	0.001
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	12	73424728	73429308	2	-1.4752
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	12	73431739	103010968	18188	0.0008
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	12	103023609	103023698	2	-1.7198
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	12	103026806	131390294	16177	0.0002
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	12	131391269	131401526	4	-1.5921
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	12	131407153	132605822	414	0.002
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	13	18874255	114226675	56986	-0.0013
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	14	20033191	105533894	49776	0.0011
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	15	23437561	73567147	28675	-0.0031
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	15	73567977	73568148	2	-1.2653
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	15	73571095	101344124	16100	-0.0037
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	16	603333	89317317	41207	-0.0064
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	17	1074619	82959812	37273	-0.0033
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	18	326691	79349796	42959	-0.0013
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	19	283868	30793899	11339	-0.0059
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	19	30797211	30797633	2	-1.3553
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	19	30799692	47652161	8366	-0.0031
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	19	47652937	47656457	2	-1.2266
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	19	47660375	58370362	4435	0.0055
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	20	472817	1807992	793	-0.0189
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	20	1809152	1835753	12	-0.4451
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	20	1836761	16098158	9099	-0.0037
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	20	16098361	16104299	3	-1.4482
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	20	16107676	22492060	4922	-0.0128
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	20	22493391	22494357	2	-1.1632
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	20	22494412	39060557	6136	-0.012
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	20	39060585	39061842	4	-1.2504
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	20	39062219	41896200	1891	-0.0075
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	20	41896343	41896459	2	-1.0755
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	20	41900120	46163333	2818	-0.0095
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	20	46163994	46164476	2	-1.3462
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	20	46169752	63588502	11859	-0.0069
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	21	13974127	46262057	20593	-0.0015
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	22	16934932	29256169	4660	-0.0003
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	22	29257420	29257430	2	-1.2682
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	22	29257717	48940621	12427	-0.003
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	X	3236359	153434981	63371	0.0027
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	X	153438628	153439859	2	1.4899
d13b39e8-9b86-4e34-8edb-af7edc5b11bc	X	153439980	155677414	389	0.0394
