GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
22d25b42-1b1e-4758-a192-6e3702414cc8	1	62920	462894	19	0.6231
22d25b42-1b1e-4758-a192-6e3702414cc8	1	599171	1731897	201	-0.1314
22d25b42-1b1e-4758-a192-6e3702414cc8	1	1731957	1732392	2	-2.9185
22d25b42-1b1e-4758-a192-6e3702414cc8	1	1737662	12779433	6232	-0.0537
22d25b42-1b1e-4758-a192-6e3702414cc8	1	12792599	12822696	23	-0.9279
22d25b42-1b1e-4758-a192-6e3702414cc8	1	12823233	16785682	2177	-0.0575
22d25b42-1b1e-4758-a192-6e3702414cc8	1	16787932	16935752	58	0.3043
22d25b42-1b1e-4758-a192-6e3702414cc8	1	16949746	25003287	5049	-0.043
22d25b42-1b1e-4758-a192-6e3702414cc8	1	25003500	25006916	4	-0.9886
22d25b42-1b1e-4758-a192-6e3702414cc8	1	25006925	25256850	188	-0.0488
22d25b42-1b1e-4758-a192-6e3702414cc8	1	25266637	25320253	23	0.4852
22d25b42-1b1e-4758-a192-6e3702414cc8	1	25320455	43495046	9936	-0.0461
22d25b42-1b1e-4758-a192-6e3702414cc8	1	43503250	54420652	5882	-0.4825
22d25b42-1b1e-4758-a192-6e3702414cc8	1	54421624	55074160	465	-0.0516
22d25b42-1b1e-4758-a192-6e3702414cc8	1	55076008	55111343	26	0.3809
22d25b42-1b1e-4758-a192-6e3702414cc8	1	55111489	55367890	183	-0.0086
22d25b42-1b1e-4758-a192-6e3702414cc8	1	55368449	55739245	332	1.1435
22d25b42-1b1e-4758-a192-6e3702414cc8	1	55739689	56071324	235	0.9884
22d25b42-1b1e-4758-a192-6e3702414cc8	1	56077524	56464946	314	-0.0053
22d25b42-1b1e-4758-a192-6e3702414cc8	1	56466121	56531069	49	-0.4727
22d25b42-1b1e-4758-a192-6e3702414cc8	1	56533526	56623541	62	-0.0503
22d25b42-1b1e-4758-a192-6e3702414cc8	1	56624941	56972743	291	-0.438
22d25b42-1b1e-4758-a192-6e3702414cc8	1	56974569	57356639	348	0.9985
22d25b42-1b1e-4758-a192-6e3702414cc8	1	57357195	58012690	573	1.1482
22d25b42-1b1e-4758-a192-6e3702414cc8	1	58013465	58354245	270	1.0141
22d25b42-1b1e-4758-a192-6e3702414cc8	1	58354727	58391297	36	-0.0526
22d25b42-1b1e-4758-a192-6e3702414cc8	1	58397172	61648334	2305	-0.4672
22d25b42-1b1e-4758-a192-6e3702414cc8	1	61648509	61652515	3	-2.1362
22d25b42-1b1e-4758-a192-6e3702414cc8	1	61654137	89009452	18087	-0.4361
22d25b42-1b1e-4758-a192-6e3702414cc8	1	89009547	89012522	4	-1.9525
22d25b42-1b1e-4758-a192-6e3702414cc8	1	89015841	103621165	9005	-0.4264
22d25b42-1b1e-4758-a192-6e3702414cc8	1	103697067	103717410	3	0.8839
22d25b42-1b1e-4758-a192-6e3702414cc8	1	103717617	105476583	907	-0.416
22d25b42-1b1e-4758-a192-6e3702414cc8	1	105476614	105479753	16	-1.4907
22d25b42-1b1e-4758-a192-6e3702414cc8	1	105481433	105569054	69	-0.4471
22d25b42-1b1e-4758-a192-6e3702414cc8	1	105569585	105616180	40	-0.0087
22d25b42-1b1e-4758-a192-6e3702414cc8	1	105616414	105820635	131	-0.4093
22d25b42-1b1e-4758-a192-6e3702414cc8	1	105823969	106083834	134	0.0077
22d25b42-1b1e-4758-a192-6e3702414cc8	1	106087328	106104431	18	0.4353
22d25b42-1b1e-4758-a192-6e3702414cc8	1	106104486	106218066	86	-0.0432
22d25b42-1b1e-4758-a192-6e3702414cc8	1	106218079	106293716	65	0.3318
22d25b42-1b1e-4758-a192-6e3702414cc8	1	106295084	106391079	62	0.0802
22d25b42-1b1e-4758-a192-6e3702414cc8	1	106391157	106426723	25	0.4106
22d25b42-1b1e-4758-a192-6e3702414cc8	1	106427428	106498154	36	-0.0106
22d25b42-1b1e-4758-a192-6e3702414cc8	1	106499917	106563038	41	1.1554
22d25b42-1b1e-4758-a192-6e3702414cc8	1	106563643	106672089	57	1.3801
22d25b42-1b1e-4758-a192-6e3702414cc8	1	106674686	108187137	1154	1.1626
22d25b42-1b1e-4758-a192-6e3702414cc8	1	108191613	108192255	2	-3.4386
22d25b42-1b1e-4758-a192-6e3702414cc8	1	108194874	109684893	693	1.1163
22d25b42-1b1e-4758-a192-6e3702414cc8	1	109690352	109697556	13	-0.9989
