GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	62920	259407	14	-0.6272
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	259422	16544783	8622	-0.0087
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	16569132	16721984	41	-0.2193
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	16766762	16863509	15	-0.9965
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	16864367	25269456	5312	-0.0069
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	25269914	25336853	23	-0.5177
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	25346663	72297687	28712	-0.0026
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	72302735	72313397	12	1.7324
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	72313408	72318539	7	-0.1634
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	72323013	72345465	29	1.7662
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	72346221	98223959	16630	0.0035
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	98224658	98233001	4	-2.1734
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	98241349	103560608	3354	0.0046
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	103566616	103621165	29	0.5508
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	103697067	105476583	920	-0.0016
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	105476614	105479753	16	-2.4011
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	105481433	110833598	3482	-0.0043
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	110834746	110845604	39	-0.8625
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	110849445	152583938	8703	0.0013
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	152587808	152613641	23	0.4841
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	152613762	152787202	172	-0.0026
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	152789447	152796224	37	-0.4725
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	152801429	196745743	29444	0.0015
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	196758720	196832720	58	-0.7582
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	196843377	240228440	29922	-0.0002
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	240230715	240230839	6	-2.0583
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	240232805	248574146	5682	-0.0149
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	248585893	248645563	33	-0.8239
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	1	248645808	248930189	140	-0.0614
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	2	12784	4866053	3601	-0.0092
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	2	4866110	4868309	8	-0.9678
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	2	4868357	24376380	14299	0.0029
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	2	24378642	24388259	19	-0.8609
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	2	24388858	34492416	6166	0
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	2	34492601	34512096	22	0.7254
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	2	34512489	35750907	870	-0.017
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	2	35752724	35762881	7	-1.8078
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	2	35772407	41011095	3925	-0.0025
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	2	41011303	41018747	22	-0.7228
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	2	41024093	52527743	8175	0.0016
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	2	52531615	52554404	33	0.4771
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	2	52560811	65675054	8381	-0.0031
71c82713-eb5e-4fa1-9033-9c88c6c1c28e	2	65677106	65677846	2	-1.9778
