GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	62920	259926	16	-0.0096
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	266187	668210	5	-1.0688
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	771719	5892195	2715	0.008
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	5897282	5900443	6	-0.9693
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	5901224	16685961	5934	0.0098
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	16686246	16766762	9	-1.2354
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	16766922	16935752	68	-0.4848
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	16949746	21313491	2942	0.0221
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	21313631	21313902	2	-2.5454
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	21314008	72284670	31049	0.0095
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	72290430	72297687	9	-1.2036
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	72302735	72345465	48	1.0093
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	72346221	75585159	1932	-0.0018
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	75589078	75589169	2	-1.9802
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	75593824	105470754	19006	0.0057
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	105476583	105479753	17	-0.6664
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	105481433	152784298	12415	0.0107
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	152784330	152795487	34	0.6523
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	152795783	189053842	24294	0.0063
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	189058092	189063349	8	-0.8054
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	189065103	199138574	6586	0.0105
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	199142235	199143883	8	-1.0714
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	199144712	248546369	34223	0.011
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	248550567	248645563	36	-0.6754
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	1	248645808	248930189	140	0.0151
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	2	12784	4158097	2985	-0.0016
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	2	4166274	4175577	36	-2.0229
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	2	4175922	4176429	6	-0.8847
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	2	4182472	34438291	21039	0.0094
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	2	34438376	34502800	51	-0.4173
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	2	34511446	46262993	8699	0.0081
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	2	46263662	46265133	2	-1.8741
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	2	46265543	52516787	4291	0.0056
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	2	52527330	52554188	33	-0.7209
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	2	52554236	86710564	21905	0.008
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	2	86725947	86726731	2	-1.9568
6ac8b55a-d38d-4b49-92dd-6567b93a00bf	2	86743283	87286164	129	0.0193
