GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fcda6645-67fd-47f4-ba95-e360eea88813	1	3301765	207373959	103240	0.003
fcda6645-67fd-47f4-ba95-e360eea88813	1	207377271	207381495	4	-1.531
fcda6645-67fd-47f4-ba95-e360eea88813	1	207382200	218525479	7761	0.0049
fcda6645-67fd-47f4-ba95-e360eea88813	1	218528952	218536460	13	-1.2408
fcda6645-67fd-47f4-ba95-e360eea88813	1	218537103	247650984	18409	0.0003
fcda6645-67fd-47f4-ba95-e360eea88813	2	480597	39541342	23268	-0.0033
fcda6645-67fd-47f4-ba95-e360eea88813	2	39542540	39542622	2	-3.1791
fcda6645-67fd-47f4-ba95-e360eea88813	2	39543640	86375191	26756	-0.0023
fcda6645-67fd-47f4-ba95-e360eea88813	2	86379959	86397718	15	-0.7367
fcda6645-67fd-47f4-ba95-e360eea88813	2	86398405	88356182	390	-0.0155
fcda6645-67fd-47f4-ba95-e360eea88813	2	88360069	88360088	2	-2.1882
fcda6645-67fd-47f4-ba95-e360eea88813	2	88365118	97999977	1063	0.0043
fcda6645-67fd-47f4-ba95-e360eea88813	2	98004829	98005494	2	-1.4042
fcda6645-67fd-47f4-ba95-e360eea88813	2	98008709	116714158	10158	-0.0019
fcda6645-67fd-47f4-ba95-e360eea88813	2	116714666	116718438	2	-1.6627
fcda6645-67fd-47f4-ba95-e360eea88813	2	117175447	137279780	10434	0.0007
fcda6645-67fd-47f4-ba95-e360eea88813	2	137287522	137308201	25	-0.9599
fcda6645-67fd-47f4-ba95-e360eea88813	2	137316225	142120023	2514	0.0039
fcda6645-67fd-47f4-ba95-e360eea88813	2	142125024	142125253	2	-1.9182
fcda6645-67fd-47f4-ba95-e360eea88813	2	142125638	163962768	12467	-0.0058
fcda6645-67fd-47f4-ba95-e360eea88813	2	163965626	164016621	38	0.5837
fcda6645-67fd-47f4-ba95-e360eea88813	2	164018815	241537572	44771	0.0005
fcda6645-67fd-47f4-ba95-e360eea88813	3	2170634	197812401	106910	-0.001
fcda6645-67fd-47f4-ba95-e360eea88813	4	1059384	187842528	103210	-0.0005
fcda6645-67fd-47f4-ba95-e360eea88813	5	913983	3766514	1750	0.0061
fcda6645-67fd-47f4-ba95-e360eea88813	5	3768379	3768824	2	-1.7038
fcda6645-67fd-47f4-ba95-e360eea88813	5	3769168	42836133	23167	0.0026
fcda6645-67fd-47f4-ba95-e360eea88813	5	42838076	42857942	16	-0.8666
fcda6645-67fd-47f4-ba95-e360eea88813	5	42859001	180934240	75908	-0.0013
fcda6645-67fd-47f4-ba95-e360eea88813	6	1011760	24321809	16508	-0.0015
fcda6645-67fd-47f4-ba95-e360eea88813	6	24325581	24326057	2	-2.3236
fcda6645-67fd-47f4-ba95-e360eea88813	6	24328478	24946443	418	-0.0082
fcda6645-67fd-47f4-ba95-e360eea88813	6	24947544	24947577	2	1.6702
fcda6645-67fd-47f4-ba95-e360eea88813	6	24950971	112591729	45638	0.0016
fcda6645-67fd-47f4-ba95-e360eea88813	6	112595825	112608034	7	-1.0555
fcda6645-67fd-47f4-ba95-e360eea88813	6	112608342	137121609	14532	-0.0015
fcda6645-67fd-47f4-ba95-e360eea88813	6	137122917	137122976	2	-1.8419
fcda6645-67fd-47f4-ba95-e360eea88813	6	137123666	170596889	19843	-0.0039
fcda6645-67fd-47f4-ba95-e360eea88813	7	665647	131970705	67451	0.0005
fcda6645-67fd-47f4-ba95-e360eea88813	7	131973372	131979256	8	-0.8522
fcda6645-67fd-47f4-ba95-e360eea88813	7	131994531	158592540	14284	0.0028
fcda6645-67fd-47f4-ba95-e360eea88813	8	667625	5037270	2345	-0.0037
fcda6645-67fd-47f4-ba95-e360eea88813	8	5037531	5038695	4	-1.4848
fcda6645-67fd-47f4-ba95-e360eea88813	8	5038829	20385422	8770	-0.0038
fcda6645-67fd-47f4-ba95-e360eea88813	8	20387678	20387748	2	-1.6032
fcda6645-67fd-47f4-ba95-e360eea88813	8	20387903	144182542	70927	0.0006
fcda6645-67fd-47f4-ba95-e360eea88813	9	789794	138044505	68307	0.0023
fcda6645-67fd-47f4-ba95-e360eea88813	10	366509	133411599	81114	0.0016
fcda6645-67fd-47f4-ba95-e360eea88813	11	456012	44959551	28442	0.003
fcda6645-67fd-47f4-ba95-e360eea88813	11	44960836	44961251	2	-5.1854
fcda6645-67fd-47f4-ba95-e360eea88813	11	44962021	134272740	48945	0.0042
