GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	62920	266187	17	0.5233
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	462795	1716055	198	-0.0602
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	1716451	1731957	7	1.5285
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	1732392	5185758	1939	-0.0518
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	5186566	5190437	4	-1.1873
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	5192144	5314123	119	-0.0571
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	5314624	5320461	2	1.1501
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	5320542	16686246	6395	-0.0798
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	16689764	16935752	76	-0.5645
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	16949746	22010750	3348	-0.0717
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	22011632	22015896	2	1.0046
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	22017709	25256850	1912	-0.0832
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	25266637	25320455	24	-1.7335
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	25336819	25384565	22	0.0742
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	25390817	29096439	1531	-0.1191
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	29100084	30712010	1212	-0.0504
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	30712031	32923042	1005	-0.1069
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	32927745	34622204	1172	-0.0579
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	34622496	34648667	27	0.2621
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	34649941	37433067	1500	-0.0721
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	37434572	37437511	6	0.6039
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	37455082	47180445	5391	-0.0803
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	47187626	50982487	2177	-0.0311
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	50982747	54647348	1976	-0.0732
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	54648183	60511630	4558	-0.0393
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	60517529	60518110	4	-1.0624
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	60519714	72284670	8141	-0.0396
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	72290430	72297687	9	-1.2708
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	72302735	72345450	47	0.2942
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	72345465	105470754	20953	-0.0322
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	105476583	105479753	17	0.5877
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	105481433	109684893	2634	-0.0404
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	109690352	109690949	6	-0.6238
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	109691609	109692006	4	-1.5948
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	109696900	112147704	1951	-0.0615
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	112153343	112163334	26	0.4879
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	112163438	143459641	5161	-0.0398
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	143494500	143890323	121	-0.4993
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	143893019	144442342	11	-0.0386
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	144445555	152583051	2309	0.3488
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	152583230	152614118	35	-1.4928
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	152618018	152787202	166	0.3334
2ee9b4c3-15a5-4766-b762-ad8a96dc08f8	1	152789447	152796224	37	-1.4024
