GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	62920	3285881	730	0.1384
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	3286332	8116566	3286	0.0053
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	8122528	8129225	9	-1.0686
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	8131732	25266637	9948	0.0097
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	25269390	25292440	15	-0.7514
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	25292549	34622883	4935	0.0044
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	34625857	34638890	24	-0.7713
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	34648667	53014871	9929	-0.0043
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	53015073	53024068	14	-0.5868
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	53026932	72303233	13722	0.0033
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	72303253	72345465	45	-1.6934
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	72346221	72647676	211	-0.0257
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	72648237	72648418	3	1.4202
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	72652042	106676768	21451	-0.0022
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	106679096	106680860	6	-0.9832
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	106682554	109644606	1838	0.0034
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	109650144	109692006	23	0.4449
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	109696900	110836788	848	-0.0118
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	110836933	110841350	22	-0.5889
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	110845562	112147704	1070	-0.0133
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	112153343	112154375	17	0.6519
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	112154390	152555333	7543	-0.0044
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	152557146	152583230	41	-1.2785
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	152583291	152614118	34	-2.1564
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	152618018	155210675	1540	0.0093
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	155219369	155231273	11	2.1426
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	155241876	158911534	2261	0.0022
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	158914729	158916988	3	-1.9286
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	158917418	196762956	25725	0.0014
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	196769493	196832525	53	-0.808
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	196832720	199142393	1373	0.0003
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	199142562	199143883	5	-1.3922
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	199144712	209897717	7377	0.0054
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	209908268	209908720	2	-1.7884
c7497fdf-c7b1-4698-a2cf-ee1434b82a75	1	209910639	219697934	6847	0.001
