GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	62920	15822848	8340	-0.0068
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	15823420	15827744	9	0.7823
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	15828471	21825701	3666	-0.0056
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	21833618	21833764	2	-1.4891
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	21837671	72302815	30773	-0.0045
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	72303233	72345465	46	-1.5459
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	72346221	105476748	20956	0.0017
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	105476861	105479753	13	-0.5723
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	105481433	109679105	2632	0.0039
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	109684695	109703504	17	-0.6392
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	109703508	112147704	1949	-0.0047
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	112153343	112163440	28	0.4191
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	112163460	121601998	5158	0.0037
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	121705338	143748826	105	-0.7864
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	143748872	143760271	14	-0.089
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	143762042	143942271	10	-0.7304
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	144432083	152789570	2520	-0.002
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	152789781	152795783	27	0.4283
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	152795805	192045187	26278	-0.0039
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	192046779	192057125	2	1.2402
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	192058802	196745743	3200	-0.0017
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	196758720	196846661	61	0.7754
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	196847600	206156036	6074	-0.0073
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	206157841	206165498	3	-1.1574
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	206166649	248585918	29576	-0.0025
722601a2-76fa-4791-bf9e-1f714cd09a1d	1	248586259	248646068	33	-0.559
