GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8a1ae20f-88a3-45d2-97e8-89f102733d50	1	3301765	60419201	31822	0.0047
8a1ae20f-88a3-45d2-97e8-89f102733d50	1	60420028	60422360	2	-1.6538
8a1ae20f-88a3-45d2-97e8-89f102733d50	1	60422424	73834305	8610	0.0079
8a1ae20f-88a3-45d2-97e8-89f102733d50	1	73834322	73834333	2	-1.373
8a1ae20f-88a3-45d2-97e8-89f102733d50	1	73839919	170197970	40471	0.0092
8a1ae20f-88a3-45d2-97e8-89f102733d50	1	170201942	170202405	3	-1.2054
8a1ae20f-88a3-45d2-97e8-89f102733d50	1	170202654	247650984	48916	0.0064
8a1ae20f-88a3-45d2-97e8-89f102733d50	2	480597	241537572	132259	0.0057
8a1ae20f-88a3-45d2-97e8-89f102733d50	3	2170634	9198706	4156	0.0062
8a1ae20f-88a3-45d2-97e8-89f102733d50	3	9199203	9200731	4	-0.9226
8a1ae20f-88a3-45d2-97e8-89f102733d50	3	9203225	28881716	11647	0.005
8a1ae20f-88a3-45d2-97e8-89f102733d50	3	28881852	28884364	7	-0.7682
8a1ae20f-88a3-45d2-97e8-89f102733d50	3	28886098	160456087	72438	0.0077
8a1ae20f-88a3-45d2-97e8-89f102733d50	3	160470171	160473638	6	0.9891
8a1ae20f-88a3-45d2-97e8-89f102733d50	3	160477941	169426118	4184	0.0107
8a1ae20f-88a3-45d2-97e8-89f102733d50	3	169426810	169426823	2	-1.264
8a1ae20f-88a3-45d2-97e8-89f102733d50	3	169428787	191559812	12156	0.0079
8a1ae20f-88a3-45d2-97e8-89f102733d50	3	191562314	191566911	3	-0.9968
8a1ae20f-88a3-45d2-97e8-89f102733d50	3	191567268	197812401	2615	0.0037
8a1ae20f-88a3-45d2-97e8-89f102733d50	4	1059384	187842528	103553	0.0071
8a1ae20f-88a3-45d2-97e8-89f102733d50	5	914118	58057758	30674	0.0101
8a1ae20f-88a3-45d2-97e8-89f102733d50	5	58063821	58064843	2	-1.3957
8a1ae20f-88a3-45d2-97e8-89f102733d50	5	58071766	180934240	70488	0.0047
8a1ae20f-88a3-45d2-97e8-89f102733d50	6	1011760	170596889	97212	0.0099
8a1ae20f-88a3-45d2-97e8-89f102733d50	7	664936	45437588	25951	0.0073
8a1ae20f-88a3-45d2-97e8-89f102733d50	7	45445978	45446625	2	-1.3892
8a1ae20f-88a3-45d2-97e8-89f102733d50	7	45453212	158592540	56034	0.0069
8a1ae20f-88a3-45d2-97e8-89f102733d50	8	667625	1265166	173	0.0217
8a1ae20f-88a3-45d2-97e8-89f102733d50	8	1265445	1268596	3	-1.1523
8a1ae20f-88a3-45d2-97e8-89f102733d50	8	1270024	57165988	30686	0.0081
8a1ae20f-88a3-45d2-97e8-89f102733d50	8	57168249	57168524	2	-1.5117
8a1ae20f-88a3-45d2-97e8-89f102733d50	8	57169026	144182542	51410	0.0075
8a1ae20f-88a3-45d2-97e8-89f102733d50	9	789794	138044505	68511	0.0077
8a1ae20f-88a3-45d2-97e8-89f102733d50	10	366509	133411599	81328	0.0077
8a1ae20f-88a3-45d2-97e8-89f102733d50	11	456012	24925485	15903	0.0022
8a1ae20f-88a3-45d2-97e8-89f102733d50	11	24933676	24941441	5	-0.8436
8a1ae20f-88a3-45d2-97e8-89f102733d50	11	24941974	58786269	16238	0.0096
8a1ae20f-88a3-45d2-97e8-89f102733d50	11	58790890	58795173	3	-1.0283
8a1ae20f-88a3-45d2-97e8-89f102733d50	11	58798903	79735971	10109	0.0048
8a1ae20f-88a3-45d2-97e8-89f102733d50	11	79736862	79738068	2	-1.2041
8a1ae20f-88a3-45d2-97e8-89f102733d50	11	79741300	86986618	4452	0.003
8a1ae20f-88a3-45d2-97e8-89f102733d50	11	86988644	86993054	4	-0.9873
8a1ae20f-88a3-45d2-97e8-89f102733d50	11	86997586	134272740	30898	0.0084
8a1ae20f-88a3-45d2-97e8-89f102733d50	12	780472	41396600	21274	0.007
8a1ae20f-88a3-45d2-97e8-89f102733d50	12	41400118	41407926	10	-0.4888
8a1ae20f-88a3-45d2-97e8-89f102733d50	12	41407939	104450927	37467	0.0052
8a1ae20f-88a3-45d2-97e8-89f102733d50	12	104453536	104453705	2	-1.6904
8a1ae20f-88a3-45d2-97e8-89f102733d50	12	104454631	114162158	5702	0.0008
8a1ae20f-88a3-45d2-97e8-89f102733d50	12	114164335	114164805	2	-1.2464
8a1ae20f-88a3-45d2-97e8-89f102733d50	12	114166136	132605822	9921	0.0076
8a1ae20f-88a3-45d2-97e8-89f102733d50	13	18874255	27853248	5043	0.0099
8a1ae20f-88a3-45d2-97e8-89f102733d50	13	27854835	27855510	4	-0.9823
8a1ae20f-88a3-45d2-97e8-89f102733d50	13	27859056	114226675	51979	0.0086
8a1ae20f-88a3-45d2-97e8-89f102733d50	14	20033191	105533894	49812	0.0047
8a1ae20f-88a3-45d2-97e8-89f102733d50	15	23437561	95251181	41055	0.0061
8a1ae20f-88a3-45d2-97e8-89f102733d50	15	95251861	95252286	2	-1.8524
