GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	62920	85936	8	0.1658
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	85998	259926	8	0.8241
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	266187	864351	32	-0.0625
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	869076	3301765	686	0.3655
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	3302046	5951541	2024	0.0196
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	5951845	5973808	10	0.4124
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	5973913	5984108	7	0.8404
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	5984962	5996669	6	0.5026
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	5997665	9244146	1825	0.0145
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	9244568	9339580	58	0.3686
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	9340475	12802116	1769	0.0179
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	12802195	13450361	53	0.3392
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	13460805	15820537	1756	0.0139
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	15820568	15844541	26	0.3952
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	15850269	16470247	270	0.0371
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	16471261	16689764	55	0.4771
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	16718963	16721910	5	1.2212
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	16721984	16785682	12	0.3466
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	16787932	21358903	2999	0.0175
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	21358952	21452015	49	0.4527
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	21453405	21970933	305	0.0059
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	21971792	22062412	38	0.4104
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	22062995	22188342	85	0.1251
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	22189927	24995482	1585	0.0071
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	24996286	25248216	190	0.1342
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	25256138	25275481	13	0.8346
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	25276376	30689681	2732	0.0215
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	30690609	30765649	56	0.2465
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	30768199	30789158	9	0.8098
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	30789990	30802156	7	0.2184
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	30803715	72303233	25571	-0.0009
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	72303253	72343085	38	0.643
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	72343689	143459641	30347	-0.0103
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	143494500	143754062	112	0.4327
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	143754077	169246873	13628	-0.0004
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	169264736	169272528	7	-2.5265
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	169273163	189308148	13027	-0.0034
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	189308416	189567882	155	-0.2004
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	189568201	196745743	4778	-0.021
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	196758720	196762956	4	-1.7196
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	196769493	196788990	31	0.3245
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	196789019	196847600	27	-0.3226
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	196854187	196936029	60	-1.0548
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	196940515	217506738	13887	-0.0014
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	217507194	217547993	26	0.3756
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	217558206	225786509	5310	-0.0126
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	225786784	225869213	51	0.2507
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	225870631	228344757	1411	0.0024
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	228346751	228512270	67	0.2271
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	228514917	231779862	2207	0.0027
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	231779959	231816487	24	0.5621
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	231818681	239960773	6233	-0.0016
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	239960890	239977686	29	0.3701
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	239981248	240228440	221	0
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	240230715	240230839	6	-1.5159
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	240232805	246667186	4482	0.0015
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	246674300	246720485	28	0.7835
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	246722279	246780385	52	0.0287
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	246782363	246806502	25	0.4605
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	246807871	246847432	27	0.1053
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	246847451	248585918	995	-0.0588
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	1	248586259	248930189	170	0.1321
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	12784	196973	109	0.1037
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	202993	224483	18	0.7807
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	226999	295136	51	0.1151
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	295255	296812	3	-1.3431
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	300879	1471635	809	0.0263
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	1471702	1908099	232	0.2292
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	1908136	3156438	952	0.0038
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	3157856	3204763	63	0.2701
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	3205050	7472831	3601	-0.0046
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	7473225	7508894	28	0.4418
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	7510595	34474248	17908	0.0088
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	34476327	34634605	124	-0.1828
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	34635159	34850040	161	-0.0417
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	34850935	34865803	9	-0.9962
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	34868226	35750907	615	-0.0507
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	35752724	35762850	6	-1.6416
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	35762881	36271223	414	-0.1239
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	36271473	50641413	10243	-0.0041
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	50641545	53334316	1954	-0.0755
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	53336115	60374241	4831	-0.0165
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	60375757	60412959	26	0.568
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	60413965	75018444	8634	0
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	75018789	83702069	5748	-0.0313
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	83702324	88165321	2067	0.0247
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	88165444	88192539	13	0.562
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	88193581	116748453	12743	0.0069
eeb628e7-da12-4e7e-9ca8-6e844f12e5d6	2	116753476	117104249	206	-0.1376
