GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2706a98f-609d-4a6e-8df2-5a104b361f95	1	3301765	247650984	129773	-0.0077
2706a98f-609d-4a6e-8df2-5a104b361f95	2	480597	69478790	41005	0.0071
2706a98f-609d-4a6e-8df2-5a104b361f95	2	69479720	69496900	15	-0.9815
2706a98f-609d-4a6e-8df2-5a104b361f95	2	69498768	114830489	19818	-0.0038
2706a98f-609d-4a6e-8df2-5a104b361f95	2	114833667	141623476	13585	0.0169
2706a98f-609d-4a6e-8df2-5a104b361f95	2	141623517	241537572	57806	-0.004
2706a98f-609d-4a6e-8df2-5a104b361f95	3	2170634	2176691	7	-0.6713
2706a98f-609d-4a6e-8df2-5a104b361f95	3	2177351	42501500	24267	-0.0001
2706a98f-609d-4a6e-8df2-5a104b361f95	3	42503585	52300577	4568	-0.0336
2706a98f-609d-4a6e-8df2-5a104b361f95	3	52315396	52331245	5	-1.8155
2706a98f-609d-4a6e-8df2-5a104b361f95	3	52332202	158799559	58446	0.0038
2706a98f-609d-4a6e-8df2-5a104b361f95	3	158808331	158811241	3	-1.5093
2706a98f-609d-4a6e-8df2-5a104b361f95	3	158811704	197812401	19901	0.0002
2706a98f-609d-4a6e-8df2-5a104b361f95	4	1059384	3586020	1009	-0.0045
2706a98f-609d-4a6e-8df2-5a104b361f95	4	3593370	3707900	58	0.6278
2706a98f-609d-4a6e-8df2-5a104b361f95	4	3711279	18534166	9810	0.0187
2706a98f-609d-4a6e-8df2-5a104b361f95	4	18537461	18546250	7	-0.9524
2706a98f-609d-4a6e-8df2-5a104b361f95	4	18558257	70132236	27529	0.0087
2706a98f-609d-4a6e-8df2-5a104b361f95	4	70133742	70146648	13	-1.036
2706a98f-609d-4a6e-8df2-5a104b361f95	4	70152086	187842528	65096	0.0066
2706a98f-609d-4a6e-8df2-5a104b361f95	5	913983	165406612	91788	0.0011
2706a98f-609d-4a6e-8df2-5a104b361f95	5	165409250	165419454	4	-1.2969
2706a98f-609d-4a6e-8df2-5a104b361f95	5	165419772	168412603	2116	0.0156
2706a98f-609d-4a6e-8df2-5a104b361f95	5	168414009	168417168	3	-1.0986
2706a98f-609d-4a6e-8df2-5a104b361f95	5	168417231	180934240	7233	0.0056
2706a98f-609d-4a6e-8df2-5a104b361f95	6	1011760	24912898	16943	0.0063
2706a98f-609d-4a6e-8df2-5a104b361f95	6	24918471	35162644	3575	-0.0585
2706a98f-609d-4a6e-8df2-5a104b361f95	6	35163155	45407391	6346	-0.0134
2706a98f-609d-4a6e-8df2-5a104b361f95	6	45409301	105006903	31182	0.0108
2706a98f-609d-4a6e-8df2-5a104b361f95	6	105008743	123159595	10371	-0.0045
2706a98f-609d-4a6e-8df2-5a104b361f95	6	123160766	123171133	7	-1.1399
2706a98f-609d-4a6e-8df2-5a104b361f95	6	123171220	146397797	14239	-0.0093
2706a98f-609d-4a6e-8df2-5a104b361f95	6	146400104	146400182	2	1.612
2706a98f-609d-4a6e-8df2-5a104b361f95	6	146400351	152435951	4218	0.0048
2706a98f-609d-4a6e-8df2-5a104b361f95	6	152437195	152440860	2	-1.562
2706a98f-609d-4a6e-8df2-5a104b361f95	6	152441454	156707823	2987	0.0025
2706a98f-609d-4a6e-8df2-5a104b361f95	6	156708104	159118181	1298	-0.0466
2706a98f-609d-4a6e-8df2-5a104b361f95	6	159118206	170596889	6025	0.0182
2706a98f-609d-4a6e-8df2-5a104b361f95	7	664936	39463565	22684	-0.0017
2706a98f-609d-4a6e-8df2-5a104b361f95	7	39463697	50407778	6669	0.0143
2706a98f-609d-4a6e-8df2-5a104b361f95	7	50408411	50408441	2	-1.3523
2706a98f-609d-4a6e-8df2-5a104b361f95	7	50409963	72897281	8331	0.0212
2706a98f-609d-4a6e-8df2-5a104b361f95	7	72898226	148654496	39290	-0.0014
2706a98f-609d-4a6e-8df2-5a104b361f95	7	148657286	151968933	1542	-0.0524
2706a98f-609d-4a6e-8df2-5a104b361f95	7	151976048	158592540	3441	0.0226
2706a98f-609d-4a6e-8df2-5a104b361f95	8	667625	97322166	54112	0.0082
2706a98f-609d-4a6e-8df2-5a104b361f95	8	97323848	97323873	2	-1.9497
2706a98f-609d-4a6e-8df2-5a104b361f95	8	97324318	123424956	15022	-0.0034
2706a98f-609d-4a6e-8df2-5a104b361f95	8	123425049	129515156	4274	-0.0456
2706a98f-609d-4a6e-8df2-5a104b361f95	8	129515527	144182542	8835	0.0057
2706a98f-609d-4a6e-8df2-5a104b361f95	9	789794	125420873	62006	0.01
2706a98f-609d-4a6e-8df2-5a104b361f95	9	125426440	133268030	4626	-0.0212
2706a98f-609d-4a6e-8df2-5a104b361f95	9	133268647	138044505	1861	0.0244
2706a98f-609d-4a6e-8df2-5a104b361f95	10	366509	3750621	1869	0.0338
2706a98f-609d-4a6e-8df2-5a104b361f95	10	3750652	123788948	73993	0.0029
2706a98f-609d-4a6e-8df2-5a104b361f95	10	123792415	133411599	5445	0.0342
2706a98f-609d-4a6e-8df2-5a104b361f95	11	456012	34892271	22075	0.005
2706a98f-609d-4a6e-8df2-5a104b361f95	11	34892332	34892401	2	-2.0648
2706a98f-609d-4a6e-8df2-5a104b361f95	11	34892590	128449511	51672	0.0021
2706a98f-609d-4a6e-8df2-5a104b361f95	11	128449521	128492668	138	-0.1592
2706a98f-609d-4a6e-8df2-5a104b361f95	11	128492699	133896406	3586	0.0201
2706a98f-609d-4a6e-8df2-5a104b361f95	11	133898991	133902940	2	-1.7451
2706a98f-609d-4a6e-8df2-5a104b361f95	11	133902943	134272740	107	0.0279
2706a98f-609d-4a6e-8df2-5a104b361f95	12	780472	6981863	3827	0.0113
2706a98f-609d-4a6e-8df2-5a104b361f95	12	6992806	12769870	2871	-0.0339
2706a98f-609d-4a6e-8df2-5a104b361f95	12	12770608	43918971	15790	0.0075
2706a98f-609d-4a6e-8df2-5a104b361f95	12	43919022	50588002	3576	-0.0378
2706a98f-609d-4a6e-8df2-5a104b361f95	12	50588698	50589782	2	-1.3636
2706a98f-609d-4a6e-8df2-5a104b361f95	12	50595664	57082440	3472	-0.0374
2706a98f-609d-4a6e-8df2-5a104b361f95	12	57092864	91053746	20445	0.0006
