GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	1	3302046	247650984	129816	0.0095
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	2	480597	5447909	2678	0.0124
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	2	5448487	5448621	2	-1.7896
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	2	5454791	216826491	114542	0.0042
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	2	216826519	216839480	3	-1.2211
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	2	216839996	241537572	15038	0.0007
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	3	2170634	16271715	8713	0.0053
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	3	16278038	16278853	2	-1.1253
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	3	16279392	19958303	1978	0.0113
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	3	19961680	19961736	2	-1.1841
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	3	19964543	56992816	21347	0.0056
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	3	56997441	56997788	2	-1.2356
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	3	56998213	65468915	5110	0.0062
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	3	65473622	65473770	2	-1.0359
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	3	65474970	76595907	7144	0.009
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	3	76596696	76596709	2	-1.1993
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	3	76596862	118083796	20649	0.005
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	3	118084048	118084727	2	-1.5134
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	3	118085307	197812401	42276	0.0043
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	4	1059384	187842528	103556	0.0048
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	5	914118	98753881	52641	0.0041
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	5	98755278	98760265	2	-1.7922
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	5	98765973	180934240	48528	0.0062
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	6	1011760	170596889	97208	0.0075
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	7	664936	52723483	31164	0.005
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	7	52724245	52747595	29	-1.1965
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	7	52754460	158592540	50790	0.0032
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	8	667625	11177350	4857	0.0055
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	8	11179290	11180394	5	-0.7953
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	8	11183219	144182542	77423	0.0066
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	9	789794	125984603	62371	0.0116
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	9	125985970	125986122	2	-2.5064
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	9	125992377	138044505	6146	0.0127
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	10	366509	25899217	18133	0.0071
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	10	25901593	25902310	4	-0.9182
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	10	25904499	119645034	54408	0.0063
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	10	119648469	119648559	2	-1.3875
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	10	119649612	133411599	8789	0.0079
95db43f8-c0ef-40c5-b2b9-90ce2a8069d6	11	456012	1368905	263	-0.0206
