GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6afb99b2-188d-4de2-9d42-821be341609d	1	62920	86341	11	-0.1566
6afb99b2-188d-4de2-9d42-821be341609d	1	98588	825988	24	0.6684
6afb99b2-188d-4de2-9d42-821be341609d	1	826738	1307088	131	0.1617
6afb99b2-188d-4de2-9d42-821be341609d	1	1307107	12777697	6312	0.0439
6afb99b2-188d-4de2-9d42-821be341609d	1	12778601	12850744	29	0.5098
6afb99b2-188d-4de2-9d42-821be341609d	1	12851243	16488499	2114	0.0431
6afb99b2-188d-4de2-9d42-821be341609d	1	16489035	16689764	46	0.7051
6afb99b2-188d-4de2-9d42-821be341609d	1	16718963	16721984	6	1.7021
6afb99b2-188d-4de2-9d42-821be341609d	1	16766762	16958425	74	0.6293
6afb99b2-188d-4de2-9d42-821be341609d	1	16959715	43875248	15465	0.0384
6afb99b2-188d-4de2-9d42-821be341609d	1	43876860	43877501	2	-2.1401
6afb99b2-188d-4de2-9d42-821be341609d	1	43878290	72284670	18470	0.0475
6afb99b2-188d-4de2-9d42-821be341609d	1	72290430	72297687	9	-0.7864
6afb99b2-188d-4de2-9d42-821be341609d	1	72302735	72307730	9	1.775
6afb99b2-188d-4de2-9d42-821be341609d	1	72307746	72313397	3	4.2946
6afb99b2-188d-4de2-9d42-821be341609d	1	72313408	72345450	35	1.7766
6afb99b2-188d-4de2-9d42-821be341609d	1	72345465	74431036	1223	0.0597
6afb99b2-188d-4de2-9d42-821be341609d	1	74431132	74434765	2	-1.5314
6afb99b2-188d-4de2-9d42-821be341609d	1	74435412	79748794	3399	0.0466
6afb99b2-188d-4de2-9d42-821be341609d	1	79752889	79757068	6	-1.2845
6afb99b2-188d-4de2-9d42-821be341609d	1	79761225	108187137	18213	0.0517
6afb99b2-188d-4de2-9d42-821be341609d	1	108191613	108194874	3	-2.5726
6afb99b2-188d-4de2-9d42-821be341609d	1	108196482	109690431	697	0.0495
6afb99b2-188d-4de2-9d42-821be341609d	1	109690640	109697556	10	1.4408
6afb99b2-188d-4de2-9d42-821be341609d	1	109702376	109709161	11	0.214
6afb99b2-188d-4de2-9d42-821be341609d	1	109709168	109714002	6	0.8902
6afb99b2-188d-4de2-9d42-821be341609d	1	109718120	112153651	1934	0.0564
