GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	3301765	31148580	15012	0.0149
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	31150820	31152499	2	-1.7632
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	31154252	247650984	114759	0.014
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	480597	241537572	132225	0.0151
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	2170634	79247708	45800	0.0152
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	79254093	79288920	16	-0.9582
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	79295247	197812401	61385	0.012
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	1059384	187842528	103522	0.0155
7dca5c4d-e241-47e1-9bd0-2916376f95a2	5	913983	180934240	101142	0.0169
7dca5c4d-e241-47e1-9bd0-2916376f95a2	6	1011760	170596889	97184	0.0143
7dca5c4d-e241-47e1-9bd0-2916376f95a2	7	664936	56544468	33491	0.0144
7dca5c4d-e241-47e1-9bd0-2916376f95a2	7	56545940	56546012	2	-2.927
7dca5c4d-e241-47e1-9bd0-2916376f95a2	7	56546393	56616238	42	-0.0055
7dca5c4d-e241-47e1-9bd0-2916376f95a2	7	56619180	56619187	2	-3.1396
7dca5c4d-e241-47e1-9bd0-2916376f95a2	7	56621064	158592540	48417	0.0143
7dca5c4d-e241-47e1-9bd0-2916376f95a2	8	667625	144182542	82248	0.0132
7dca5c4d-e241-47e1-9bd0-2916376f95a2	9	789794	138044505	68514	0.0147
7dca5c4d-e241-47e1-9bd0-2916376f95a2	10	366509	64367059	38286	0.0142
7dca5c4d-e241-47e1-9bd0-2916376f95a2	10	64367130	64384104	11	-1.2223
7dca5c4d-e241-47e1-9bd0-2916376f95a2	10	64390704	133411599	43013	0.0172
7dca5c4d-e241-47e1-9bd0-2916376f95a2	11	456012	25888185	16385	0.0196
7dca5c4d-e241-47e1-9bd0-2916376f95a2	11	25888251	25892459	4	-1.2431
7dca5c4d-e241-47e1-9bd0-2916376f95a2	11	25892590	134272740	61191	0.0156
7dca5c4d-e241-47e1-9bd0-2916376f95a2	12	780472	132605822	74356	0.0163
7dca5c4d-e241-47e1-9bd0-2916376f95a2	13	18874255	65911560	26894	0.0178
7dca5c4d-e241-47e1-9bd0-2916376f95a2	13	65911931	65912256	2	-1.5466
7dca5c4d-e241-47e1-9bd0-2916376f95a2	13	65912297	114226675	30104	0.0149
7dca5c4d-e241-47e1-9bd0-2916376f95a2	14	20033191	105533894	49798	0.016
7dca5c4d-e241-47e1-9bd0-2916376f95a2	15	23437561	101344124	44797	0.0191
7dca5c4d-e241-47e1-9bd0-2916376f95a2	16	603333	81339120	36309	0.017
7dca5c4d-e241-47e1-9bd0-2916376f95a2	16	81340884	81340899	2	-1.3539
7dca5c4d-e241-47e1-9bd0-2916376f95a2	16	81341723	89317317	4916	0.0205
7dca5c4d-e241-47e1-9bd0-2916376f95a2	17	1074619	82959812	37286	0.0187
7dca5c4d-e241-47e1-9bd0-2916376f95a2	18	326691	79349796	42975	0.0167
7dca5c4d-e241-47e1-9bd0-2916376f95a2	19	283868	58370362	24164	0.015
7dca5c4d-e241-47e1-9bd0-2916376f95a2	20	472817	63588502	37576	0.02
7dca5c4d-e241-47e1-9bd0-2916376f95a2	21	13974127	46262057	20604	0.018
7dca5c4d-e241-47e1-9bd0-2916376f95a2	22	16934932	48940621	17084	0.0188
7dca5c4d-e241-47e1-9bd0-2916376f95a2	X	3236359	155677414	63988	0.016
