GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
004bf993-1126-4c1d-b38f-53ac0ac1db67	1	3301765	94551657	52620	0.0147
004bf993-1126-4c1d-b38f-53ac0ac1db67	1	94551824	94554349	3	-1.371
004bf993-1126-4c1d-b38f-53ac0ac1db67	1	94554784	234853181	68232	0.0163
004bf993-1126-4c1d-b38f-53ac0ac1db67	1	234854757	234869375	2	-2.7548
004bf993-1126-4c1d-b38f-53ac0ac1db67	1	234869763	247650984	7969	0.0185
004bf993-1126-4c1d-b38f-53ac0ac1db67	2	480597	241537572	131295	0.0148
004bf993-1126-4c1d-b38f-53ac0ac1db67	3	2170634	197812401	106462	0.0148
004bf993-1126-4c1d-b38f-53ac0ac1db67	4	1059384	153896896	84600	0.0151
004bf993-1126-4c1d-b38f-53ac0ac1db67	4	153897370	153897695	2	-1.525
004bf993-1126-4c1d-b38f-53ac0ac1db67	4	153898360	187842528	18055	0.0185
004bf993-1126-4c1d-b38f-53ac0ac1db67	5	914118	180934240	100373	0.015
004bf993-1126-4c1d-b38f-53ac0ac1db67	6	1011760	170596889	96482	0.0155
004bf993-1126-4c1d-b38f-53ac0ac1db67	7	664936	53249136	31314	0.0194
004bf993-1126-4c1d-b38f-53ac0ac1db67	7	53250694	53251092	2	-1.8988
004bf993-1126-4c1d-b38f-53ac0ac1db67	7	53253990	158592540	50074	0.018
004bf993-1126-4c1d-b38f-53ac0ac1db67	8	667625	81375488	44827	0.0137
004bf993-1126-4c1d-b38f-53ac0ac1db67	8	81376232	81377315	2	-2.1066
004bf993-1126-4c1d-b38f-53ac0ac1db67	8	81381229	144182542	36826	0.0149
004bf993-1126-4c1d-b38f-53ac0ac1db67	9	789794	138044505	68042	0.0131
004bf993-1126-4c1d-b38f-53ac0ac1db67	10	366509	133411599	80782	0.0152
004bf993-1126-4c1d-b38f-53ac0ac1db67	11	456012	134272740	76994	0.0147
004bf993-1126-4c1d-b38f-53ac0ac1db67	12	780472	132605822	73809	0.0148
004bf993-1126-4c1d-b38f-53ac0ac1db67	13	18874255	52778906	20331	0.014
004bf993-1126-4c1d-b38f-53ac0ac1db67	13	52785718	52788848	4	-1.0913
004bf993-1126-4c1d-b38f-53ac0ac1db67	13	52789648	89308285	20042	0.0167
004bf993-1126-4c1d-b38f-53ac0ac1db67	13	89309306	89310481	2	-1.8622
004bf993-1126-4c1d-b38f-53ac0ac1db67	13	89311258	110228639	14082	0.0117
004bf993-1126-4c1d-b38f-53ac0ac1db67	13	110228712	110232291	5	-1.0571
004bf993-1126-4c1d-b38f-53ac0ac1db67	13	110232422	114226675	2047	0.0081
004bf993-1126-4c1d-b38f-53ac0ac1db67	14	20033191	105533894	49463	0.0148
004bf993-1126-4c1d-b38f-53ac0ac1db67	15	23437561	101344124	44505	0.0157
004bf993-1126-4c1d-b38f-53ac0ac1db67	16	603333	89317317	40981	0.0147
004bf993-1126-4c1d-b38f-53ac0ac1db67	17	1074619	82959812	37107	0.0177
004bf993-1126-4c1d-b38f-53ac0ac1db67	18	326691	79349796	42664	0.0127
004bf993-1126-4c1d-b38f-53ac0ac1db67	19	283868	51215611	20980	0.0171
004bf993-1126-4c1d-b38f-53ac0ac1db67	19	51216216	51223655	5	-1.1164
004bf993-1126-4c1d-b38f-53ac0ac1db67	19	51224066	58370362	3061	0.0144
004bf993-1126-4c1d-b38f-53ac0ac1db67	20	472817	63588502	37356	0.0134
004bf993-1126-4c1d-b38f-53ac0ac1db67	21	13974127	22849278	5538	0.0177
004bf993-1126-4c1d-b38f-53ac0ac1db67	21	22850940	22874307	2	-1.2783
004bf993-1126-4c1d-b38f-53ac0ac1db67	21	22874371	46262057	14914	0.0167
004bf993-1126-4c1d-b38f-53ac0ac1db67	22	16934932	48940621	17013	0.0189
004bf993-1126-4c1d-b38f-53ac0ac1db67	X	3236359	155677414	63594	0.0173
