GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	62920	98588	12	0.679
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	98602	15820537	8309	-0.1134
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	15820568	15844541	26	0.4538
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	15850269	16877002	352	-0.0699
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	16883108	16958425	56	-0.4346
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	16959715	30264526	7663	-0.1118
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	30265508	30272363	11	-1.3262
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	30274729	72297687	26326	-0.1158
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	72302735	72345465	48	-1.4889
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	72346221	76661137	2765	-0.169
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	76662744	76665935	5	-1.6857
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	76666906	81422771	3009	-0.1378
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	81422917	81422920	2	-2.2606
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	81422982	108937665	17465	-0.1255
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	108937759	109684893	355	0.0721
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	109690352	109692006	10	-1.6517
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	109696900	112153571	1955	0.0424
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	112153651	112163460	26	0.5925
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	112163496	120144552	5055	0.0552
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	120146498	121000674	10	-0.3498
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	121013779	121445521	28	0.3468
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	121450637	121573287	54	0.066
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	121573699	152582700	2452	0.384
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	152583051	152613762	32	1.8569
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	152613802	152789447	172	0.3308
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	152789463	152795783	31	0.9699
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	152795805	158545154	3292	0.3597
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	158545168	158545295	3	-0.8877
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	158547206	161647641	1968	0.34
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	161647657	161649268	8	-0.9171
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	161678447	164602134	2284	0.3641
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	164602346	164808192	172	0.7552
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	164810994	169247699	3554	0.3459
3e06faf7-1e08-4c15-9aee-8891de8cad5c	1	169264736	169269507	6	1.686
