GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	62920	3906704	1064	-0.0215
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	3937137	16480430	7503	-0.7256
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	16480729	16721910	55	-0.3024
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	16721984	16855942	15	-1.0621
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	16863509	16935752	55	0.0906
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	16949746	45620207	16287	-0.709
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	45621241	53079592	3897	-0.627
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	53080398	54804357	1118	-0.7361
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	54804395	65279924	7963	-0.6439
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	65280048	65280348	4	-2.4987
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	65280569	72284670	4567	-0.6163
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	72290430	72297687	9	-1.525
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	72302735	72345450	47	-0.1519
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	72345465	74435724	1229	-0.6003
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	74435756	85437210	7283	-0.4997
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	85438541	86273189	605	0.138
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	86287913	87815334	980	-0.5231
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	87815990	88609714	575	-0.2168
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	88612760	88671350	44	0.309
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	88677622	89620433	579	-0.2937
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	89622666	89737294	72	-0.5977
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	89745262	94546763	2880	-0.2696
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	94551119	105476583	6674	-0.5026
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	105476614	105479753	16	-2.1871
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	105481433	108071643	1841	-0.4837
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	108071765	108143240	71	-0.5655
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	108144823	109690352	718	0.0785
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	109690415	109697556	12	1.9633
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	109702376	110831471	832	0.0883
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	110832944	110840727	31	0.4108
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	110840759	112805948	1542	0.1119
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	112808307	112808752	2	-1.4143
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	112808779	116996751	2707	0.1146
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	116998432	149907993	3063	0.1559
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	149909846	151811260	917	0.0201
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	151811390	152582700	478	0.1223
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	152583051	152614100	35	-0.5887
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	152614118	152787202	168	0.1163
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	152789447	152796224	37	-0.7347
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	152801429	153561551	566	0.1172
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	153564432	156877337	1523	0.0129
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	156878001	160075727	2303	0.1052
d71a4ddd-13bd-4c7d-86c4-dd64b25450ac	1	160080602	161808904	991	0.0294
