GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	1	3301765	247650984	129512	0.0069
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	2	480597	83019942	48245	0.0053
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	2	83023449	83023673	2	-1.7476
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	2	83023875	241537572	83700	0.0053
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	3	2170634	197812401	106992	0.0063
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	4	1059384	187842528	103266	0.0079
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	5	913983	180934240	100905	0.0058
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	6	1011760	169433410	96531	0.0083
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	6	169433412	169433413	2	2.7014
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	6	169436587	170596889	440	-0.0029
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	7	664936	158592540	81788	0.0071
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	8	667625	59627587	32435	0.004
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	8	59631093	59636587	3	-1.4156
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	8	59641235	144182542	49647	0.009
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	9	789794	77650288	30095	0.0076
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	9	77651129	77651414	2	-1.9649
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	9	77654920	138044505	38280	0.0055
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	10	366509	133411599	81130	0.0043
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	11	456012	80901382	42992	0.0049
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	11	80903734	80916380	4	-1.1133
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	11	80916576	134272740	34429	0.0057
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	12	780472	132605822	74215	0.0082
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	13	18874255	25397343	3232	0.0068
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	13	25398342	25398358	2	-1.6507
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	13	25398673	114226675	53627	0.0066
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	14	20033191	105533894	49708	0.0053
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	15	23437561	63978896	23024	0.0021
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	15	63979064	63979085	2	-2.4528
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	15	63979461	101344124	21691	0.0067
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	16	603333	5779550	2164	0.0062
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	16	5780104	5782327	2	-1.5262
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	16	5782945	89317317	38995	0.0015
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	17	1074619	8137072	3389	0.0125
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	17	8144202	8158491	2	-1.5375
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	17	8164727	82959812	33857	0.0057
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	18	326691	79349796	42877	0.0046
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	19	283868	58370362	24130	0.0092
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	20	472817	63588502	37513	0.0037
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	21	13974127	46262057	20551	0.005
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	22	16934932	23670579	943	0.0068
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	22	23672042	23680070	4	-1.3337
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	22	23680444	25839627	970	0.0259
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	22	25839857	25841989	3	-1.1996
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	22	25842744	48940621	15160	0.0034
8a3e89d9-7f1e-48cb-beba-01af790fb3d6	X	3236359	155677414	63886	0.008
