GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e22edca1-493b-4d79-a311-3d5027d1e509	1	62920	1570600	207	-0.2312
e22edca1-493b-4d79-a311-3d5027d1e509	1	1570655	2461209	257	0.2555
e22edca1-493b-4d79-a311-3d5027d1e509	1	2465735	2647902	52	0.4526
e22edca1-493b-4d79-a311-3d5027d1e509	1	2777898	2872530	33	0.1675
e22edca1-493b-4d79-a311-3d5027d1e509	1	2872543	3634034	340	0.035
e22edca1-493b-4d79-a311-3d5027d1e509	1	3635887	4533554	686	0.1997
e22edca1-493b-4d79-a311-3d5027d1e509	1	4533603	6373069	1388	0.03
e22edca1-493b-4d79-a311-3d5027d1e509	1	6374079	6867870	247	0.3652
e22edca1-493b-4d79-a311-3d5027d1e509	1	6873021	6975929	62	0.7456
e22edca1-493b-4d79-a311-3d5027d1e509	1	6976742	7937960	657	0.3693
e22edca1-493b-4d79-a311-3d5027d1e509	1	7938957	8075687	74	-0.1683
e22edca1-493b-4d79-a311-3d5027d1e509	1	8075912	8548047	233	0.1961
e22edca1-493b-4d79-a311-3d5027d1e509	1	8549111	9118064	340	-0.1776
e22edca1-493b-4d79-a311-3d5027d1e509	1	9122874	9407475	181	0.623
e22edca1-493b-4d79-a311-3d5027d1e509	1	9409030	10007374	242	0.4847
e22edca1-493b-4d79-a311-3d5027d1e509	1	10008117	10189919	84	0.342
e22edca1-493b-4d79-a311-3d5027d1e509	1	10195198	10398321	141	0.6387
e22edca1-493b-4d79-a311-3d5027d1e509	1	10398382	10981907	301	0.3457
e22edca1-493b-4d79-a311-3d5027d1e509	1	10989197	12084377	562	-0.1909
e22edca1-493b-4d79-a311-3d5027d1e509	1	12087665	12245863	103	0.2129
e22edca1-493b-4d79-a311-3d5027d1e509	1	12247090	12807374	300	-0.2055
e22edca1-493b-4d79-a311-3d5027d1e509	1	12807507	12850124	11	0.027
e22edca1-493b-4d79-a311-3d5027d1e509	1	12850744	13810426	282	0.276
e22edca1-493b-4d79-a311-3d5027d1e509	1	13812729	14534249	622	0.0501
e22edca1-493b-4d79-a311-3d5027d1e509	1	14536310	15761822	870	-0.1799
e22edca1-493b-4d79-a311-3d5027d1e509	1	15770261	15896500	82	0.4708
e22edca1-493b-4d79-a311-3d5027d1e509	1	15900378	16080825	72	0.7036
e22edca1-493b-4d79-a311-3d5027d1e509	1	16082309	16157918	31	0.1773
e22edca1-493b-4d79-a311-3d5027d1e509	1	16158861	16570326	171	-0.1826
e22edca1-493b-4d79-a311-3d5027d1e509	1	16583114	16609512	4	-1.0762
e22edca1-493b-4d79-a311-3d5027d1e509	1	16617118	16782786	43	-0.2017
e22edca1-493b-4d79-a311-3d5027d1e509	1	16784801	16958425	66	-0.6483
e22edca1-493b-4d79-a311-3d5027d1e509	1	16959715	16975177	10	0.059
e22edca1-493b-4d79-a311-3d5027d1e509	1	16976074	17202816	168	-0.1608
e22edca1-493b-4d79-a311-3d5027d1e509	1	17205087	17207815	2	-1.65
e22edca1-493b-4d79-a311-3d5027d1e509	1	17208091	17626831	273	-0.1892
e22edca1-493b-4d79-a311-3d5027d1e509	1	17627818	17914967	181	-0.0147
e22edca1-493b-4d79-a311-3d5027d1e509	1	17915960	17931398	18	0.276
e22edca1-493b-4d79-a311-3d5027d1e509	1	17932749	18451435	478	0.8753
e22edca1-493b-4d79-a311-3d5027d1e509	1	18451599	18589987	103	0.3489
e22edca1-493b-4d79-a311-3d5027d1e509	1	18593065	18697624	67	-0.0128
e22edca1-493b-4d79-a311-3d5027d1e509	1	18701308	18896973	148	-0.2055
e22edca1-493b-4d79-a311-3d5027d1e509	1	18899793	18903769	2	0.8487
e22edca1-493b-4d79-a311-3d5027d1e509	1	18905539	20318259	939	-0.1763
e22edca1-493b-4d79-a311-3d5027d1e509	1	20318455	21424751	622	-0.0094
e22edca1-493b-4d79-a311-3d5027d1e509	1	21433302	21452015	6	-0.7509
e22edca1-493b-4d79-a311-3d5027d1e509	1	21453405	25269390	2237	-0.0036
e22edca1-493b-4d79-a311-3d5027d1e509	1	25269456	25278567	10	0.5439
e22edca1-493b-4d79-a311-3d5027d1e509	1	25284629	30670351	2739	-0.0059
e22edca1-493b-4d79-a311-3d5027d1e509	1	30670681	30965182	191	0.1218
e22edca1-493b-4d79-a311-3d5027d1e509	1	30967408	39516785	4692	0.0077
e22edca1-493b-4d79-a311-3d5027d1e509	1	39517829	39604843	40	0.3325
e22edca1-493b-4d79-a311-3d5027d1e509	1	39605797	39683488	30	0.5101
e22edca1-493b-4d79-a311-3d5027d1e509	1	39686445	40059018	209	0.2948
e22edca1-493b-4d79-a311-3d5027d1e509	1	40060084	40101544	31	0.4615
e22edca1-493b-4d79-a311-3d5027d1e509	1	40101630	40288313	86	0.2665
e22edca1-493b-4d79-a311-3d5027d1e509	1	40292969	40393153	43	0.4624
e22edca1-493b-4d79-a311-3d5027d1e509	1	40393488	40420462	26	0.2873
e22edca1-493b-4d79-a311-3d5027d1e509	1	40425708	40780629	191	0.0231
e22edca1-493b-4d79-a311-3d5027d1e509	1	40789448	41304640	283	0.2752
e22edca1-493b-4d79-a311-3d5027d1e509	1	41308682	41309583	2	-0.8818
e22edca1-493b-4d79-a311-3d5027d1e509	1	41317411	41690008	276	0.1796
e22edca1-493b-4d79-a311-3d5027d1e509	1	41694266	44171718	1518	0.3503
e22edca1-493b-4d79-a311-3d5027d1e509	1	44181708	44847195	390	0.0022
e22edca1-493b-4d79-a311-3d5027d1e509	1	44852877	45765823	396	0.5585
e22edca1-493b-4d79-a311-3d5027d1e509	1	45767963	47089593	674	0.3372
e22edca1-493b-4d79-a311-3d5027d1e509	1	47094941	51339059	2368	-0.0039
e22edca1-493b-4d79-a311-3d5027d1e509	1	51345652	53406815	1048	0.3202
e22edca1-493b-4d79-a311-3d5027d1e509	1	53407883	72303233	13488	0.182
e22edca1-493b-4d79-a311-3d5027d1e509	1	72303253	72346757	47	0.52
e22edca1-493b-4d79-a311-3d5027d1e509	1	72351072	74074190	1043	0.1599
e22edca1-493b-4d79-a311-3d5027d1e509	1	74075049	74563616	279	0.3204
e22edca1-493b-4d79-a311-3d5027d1e509	1	74563651	105476748	19609	0.1723
e22edca1-493b-4d79-a311-3d5027d1e509	1	105476861	105479468	10	-0.5395
e22edca1-493b-4d79-a311-3d5027d1e509	1	105479722	106604113	736	0.1664
e22edca1-493b-4d79-a311-3d5027d1e509	1	106605662	106936019	236	0.3064
e22edca1-493b-4d79-a311-3d5027d1e509	1	106936242	109684893	1666	0.1877
e22edca1-493b-4d79-a311-3d5027d1e509	1	109690352	109697556	13	-0.9674
e22edca1-493b-4d79-a311-3d5027d1e509	1	109702376	112147704	1947	0.1757
e22edca1-493b-4d79-a311-3d5027d1e509	1	112153343	112154754	24	-0.2033
e22edca1-493b-4d79-a311-3d5027d1e509	1	112154768	120146498	5060	0.1757
e22edca1-493b-4d79-a311-3d5027d1e509	1	120370887	120885477	5	-0.5395
e22edca1-493b-4d79-a311-3d5027d1e509	1	120954128	121597150	93	0.1453
e22edca1-493b-4d79-a311-3d5027d1e509	1	121598439	143748012	101	-0.5845
e22edca1-493b-4d79-a311-3d5027d1e509	1	143748074	143754798	18	-0.1149
e22edca1-493b-4d79-a311-3d5027d1e509	1	143759680	144451316	20	-0.4847
