GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	62920	969227	67	0.05
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	983193	1779975	181	0.3133
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	1783119	1948516	74	-0.0372
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	1956754	3302046	417	0.2747
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	3302359	12832455	5777	0.023
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	12850124	12851243	3	-1.407
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	12853248	16773735	2176	0.0187
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	16774382	16788139	7	-0.9849
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	16855942	25256850	5318	0.0216
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	25266637	25319167	20	-1.2178
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	25319693	109690352	52384	0.0094
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	109690415	109702376	13	0.9941
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	109703504	121593930	7125	0.0112
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	121597150	143796140	124	-0.6032
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	143811517	152580550	2318	0.0315
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	152582700	152618018	38	0.6184
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	152618089	152778324	157	0.0007
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	152778761	152806082	51	0.4586
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	152806100	178696814	17346	0.0115
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	178696898	178699557	8	-0.925
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	178699618	189679027	7360	0.0032
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	189679353	189679397	2	-2.9023
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	189682917	229675422	26626	0.0098
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	229681109	229684449	3	-3.0685
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	1	229684709	248930189	13975	0.0087
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	2	12784	1287127	841	0.0413
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	2	1287324	1289488	2	1.9496
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	2	1289899	17992651	12705	0.0171
4b09d6e9-cb23-4744-8b0b-e7a8358ee059	2	17994772	18024913	51	0.4615
