GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
14fcb503-6e74-444b-b410-75b2b3dac175	1	62920	86341	11	-1.003
14fcb503-6e74-444b-b410-75b2b3dac175	1	98588	34637053	18987	0.0054
14fcb503-6e74-444b-b410-75b2b3dac175	1	34637069	34638890	19	-0.6331
14fcb503-6e74-444b-b410-75b2b3dac175	1	34648667	72284670	23759	0.0051
14fcb503-6e74-444b-b410-75b2b3dac175	1	72290430	72346757	59	0.6378
14fcb503-6e74-444b-b410-75b2b3dac175	1	72351072	104115262	20227	0.0241
14fcb503-6e74-444b-b410-75b2b3dac175	1	104132654	104135396	2	-2.0635
14fcb503-6e74-444b-b410-75b2b3dac175	1	104136218	105470754	728	0.0221
14fcb503-6e74-444b-b410-75b2b3dac175	1	105476583	105479738	16	0.6425
14fcb503-6e74-444b-b410-75b2b3dac175	1	105479753	109679105	2637	0.0064
14fcb503-6e74-444b-b410-75b2b3dac175	1	109684695	109697556	15	0.9923
14fcb503-6e74-444b-b410-75b2b3dac175	1	109702376	112147704	1951	0.0004
14fcb503-6e74-444b-b410-75b2b3dac175	1	112153343	112163334	26	0.5267
14fcb503-6e74-444b-b410-75b2b3dac175	1	112163438	152534680	7548	0.0128
14fcb503-6e74-444b-b410-75b2b3dac175	1	152534815	152534872	2	-2.0203
14fcb503-6e74-444b-b410-75b2b3dac175	1	152535661	152578849	45	-0.0578
14fcb503-6e74-444b-b410-75b2b3dac175	1	152578988	152580015	4	-0.9039
14fcb503-6e74-444b-b410-75b2b3dac175	1	152580278	152583051	5	0.1543
14fcb503-6e74-444b-b410-75b2b3dac175	1	152583230	152614118	35	-1.4484
14fcb503-6e74-444b-b410-75b2b3dac175	1	152618018	248546369	65387	0.0149
14fcb503-6e74-444b-b410-75b2b3dac175	1	248550567	248633912	35	-0.7131
14fcb503-6e74-444b-b410-75b2b3dac175	1	248645563	248930189	141	0.0215
14fcb503-6e74-444b-b410-75b2b3dac175	2	12784	57167767	40543	0.0149
14fcb503-6e74-444b-b410-75b2b3dac175	2	57174909	57218336	69	0.6491
14fcb503-6e74-444b-b410-75b2b3dac175	2	57220263	99873679	21705	0.0126
14fcb503-6e74-444b-b410-75b2b3dac175	2	99873798	99874249	2	-2.3007
14fcb503-6e74-444b-b410-75b2b3dac175	2	99876004	178017457	47777	0.0212
14fcb503-6e74-444b-b410-75b2b3dac175	2	178017585	178018050	2	-2.3482
14fcb503-6e74-444b-b410-75b2b3dac175	2	178018466	183219425	3240	0.0372
14fcb503-6e74-444b-b410-75b2b3dac175	2	183220725	183224996	10	-0.8311
14fcb503-6e74-444b-b410-75b2b3dac175	2	183229270	195666307	7055	0.0538
14fcb503-6e74-444b-b410-75b2b3dac175	2	195666916	242147305	29165	0.0191
14fcb503-6e74-444b-b410-75b2b3dac175	3	20930	2049004	1828	0.0896
14fcb503-6e74-444b-b410-75b2b3dac175	3	2049117	63544601	42050	0.0148
14fcb503-6e74-444b-b410-75b2b3dac175	3	63544975	63546293	2	-2.3259
14fcb503-6e74-444b-b410-75b2b3dac175	3	63547146	68697013	3923	0.0109
14fcb503-6e74-444b-b410-75b2b3dac175	3	68697108	68699607	15	0.6857
14fcb503-6e74-444b-b410-75b2b3dac175	3	68699635	75372019	4869	0.0137
14fcb503-6e74-444b-b410-75b2b3dac175	3	75377956	75625217	79	-0.6172
14fcb503-6e74-444b-b410-75b2b3dac175	3	75625462	99225788	10972	0.0339
14fcb503-6e74-444b-b410-75b2b3dac175	3	99225919	99230187	18	-0.6589
14fcb503-6e74-444b-b410-75b2b3dac175	3	99230194	162790480	39039	0.0213
14fcb503-6e74-444b-b410-75b2b3dac175	3	162794869	162807070	12	0.8972
14fcb503-6e74-444b-b410-75b2b3dac175	3	162810842	162822702	10	-0.8925
14fcb503-6e74-444b-b410-75b2b3dac175	3	162827928	162908207	48	0.5543
14fcb503-6e74-444b-b410-75b2b3dac175	3	162908784	198169247	21889	0.0246
14fcb503-6e74-444b-b410-75b2b3dac175	4	68929	10208766	5706	-0.001
14fcb503-6e74-444b-b410-75b2b3dac175	4	10221792	10232642	30	2.0962
14fcb503-6e74-444b-b410-75b2b3dac175	4	10232984	34777432	16983	0.0152
14fcb503-6e74-444b-b410-75b2b3dac175	4	34784878	34823103	38	0.6517
14fcb503-6e74-444b-b410-75b2b3dac175	4	34828250	63826341	16565	0.0128
14fcb503-6e74-444b-b410-75b2b3dac175	4	63827261	63852325	33	0.4518
14fcb503-6e74-444b-b410-75b2b3dac175	4	63856498	69265191	3255	0.044
14fcb503-6e74-444b-b410-75b2b3dac175	4	69265628	69366081	49	-0.5751
14fcb503-6e74-444b-b410-75b2b3dac175	4	69366304	69523998	110	0.0564
14fcb503-6e74-444b-b410-75b2b3dac175	4	69524143	69525061	2	-2.9555
14fcb503-6e74-444b-b410-75b2b3dac175	4	69526170	171448195	61906	0.028
