GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f06d78a7-0c38-429e-a44c-a002d47cb638	1	3301765	247650984	129813	0.0018
f06d78a7-0c38-429e-a44c-a002d47cb638	2	480597	82173059	47906	0.0007
f06d78a7-0c38-429e-a44c-a002d47cb638	2	82177185	82208140	24	-1.0266
f06d78a7-0c38-429e-a44c-a002d47cb638	2	82214435	97669831	3540	-0.0017
f06d78a7-0c38-429e-a44c-a002d47cb638	2	97670306	97686090	9	0.4479
f06d78a7-0c38-429e-a44c-a002d47cb638	2	97689191	100065291	1277	-0.0034
f06d78a7-0c38-429e-a44c-a002d47cb638	2	100069711	100074721	5	-1.0232
f06d78a7-0c38-429e-a44c-a002d47cb638	2	100076470	241537572	79479	0.0013
f06d78a7-0c38-429e-a44c-a002d47cb638	3	2170634	99032539	53869	0.0025
f06d78a7-0c38-429e-a44c-a002d47cb638	3	99032577	99084948	45	-1.0372
f06d78a7-0c38-429e-a44c-a002d47cb638	3	99086559	168891220	38152	0.0028
f06d78a7-0c38-429e-a44c-a002d47cb638	3	168899622	168930251	29	-1.0525
f06d78a7-0c38-429e-a44c-a002d47cb638	3	168934289	197812401	15122	0.0016
f06d78a7-0c38-429e-a44c-a002d47cb638	4	1059384	187842528	103523	0.0019
f06d78a7-0c38-429e-a44c-a002d47cb638	5	913983	163582972	90732	0.0017
f06d78a7-0c38-429e-a44c-a002d47cb638	5	163587561	163595977	14	-0.9618
f06d78a7-0c38-429e-a44c-a002d47cb638	5	163599232	180934240	10414	0.0009
f06d78a7-0c38-429e-a44c-a002d47cb638	6	1011760	29844728	18942	-0.0005
f06d78a7-0c38-429e-a44c-a002d47cb638	6	29845030	29845239	3	-0.9407
f06d78a7-0c38-429e-a44c-a002d47cb638	6	29849329	71873868	20832	0.0011
f06d78a7-0c38-429e-a44c-a002d47cb638	6	71879993	71880375	4	-0.8226
f06d78a7-0c38-429e-a44c-a002d47cb638	6	71883648	72141484	172	-0.0042
f06d78a7-0c38-429e-a44c-a002d47cb638	6	72144075	72144091	2	-1.3789
f06d78a7-0c38-429e-a44c-a002d47cb638	6	72147012	97684573	13900	0.0028
f06d78a7-0c38-429e-a44c-a002d47cb638	6	97687707	97688389	5	-1.0389
f06d78a7-0c38-429e-a44c-a002d47cb638	6	97692809	104340743	3828	0.0069
f06d78a7-0c38-429e-a44c-a002d47cb638	6	104348241	104352492	4	-0.9876
f06d78a7-0c38-429e-a44c-a002d47cb638	6	104353393	170596889	39506	0.0003
f06d78a7-0c38-429e-a44c-a002d47cb638	7	664936	15287468	7302	0.0004
f06d78a7-0c38-429e-a44c-a002d47cb638	7	15289357	15294187	4	-1.2375
f06d78a7-0c38-429e-a44c-a002d47cb638	7	15294345	158592540	74659	0.0004
f06d78a7-0c38-429e-a44c-a002d47cb638	8	667625	144182542	82254	0.0011
f06d78a7-0c38-429e-a44c-a002d47cb638	9	789794	138044505	68524	0.0015
f06d78a7-0c38-429e-a44c-a002d47cb638	10	366509	112313150	67531	0.0015
f06d78a7-0c38-429e-a44c-a002d47cb638	10	112314423	112315734	6	-1.0172
f06d78a7-0c38-429e-a44c-a002d47cb638	10	112317251	117225974	3334	-0.0054
f06d78a7-0c38-429e-a44c-a002d47cb638	10	117226885	117227202	3	0.8961
f06d78a7-0c38-429e-a44c-a002d47cb638	10	117229218	124891959	5579	0.0022
f06d78a7-0c38-429e-a44c-a002d47cb638	10	124893322	124893415	3	-0.9311
f06d78a7-0c38-429e-a44c-a002d47cb638	10	124894452	133411599	4871	0.0103
f06d78a7-0c38-429e-a44c-a002d47cb638	11	456012	134272740	77603	0.0005
f06d78a7-0c38-429e-a44c-a002d47cb638	12	780472	55124926	28553	0.0025
f06d78a7-0c38-429e-a44c-a002d47cb638	12	55124948	55137316	8	-0.8404
f06d78a7-0c38-429e-a44c-a002d47cb638	12	55142885	132605822	45817	0.0015
f06d78a7-0c38-429e-a44c-a002d47cb638	13	18874255	114226675	57018	0.0023
f06d78a7-0c38-429e-a44c-a002d47cb638	14	20033191	105533894	49808	-0.0011
f06d78a7-0c38-429e-a44c-a002d47cb638	15	23437561	101344124	44808	0.0017
f06d78a7-0c38-429e-a44c-a002d47cb638	16	603333	49127048	15373	0.0032
f06d78a7-0c38-429e-a44c-a002d47cb638	16	49129211	49131584	4	-0.9318
f06d78a7-0c38-429e-a44c-a002d47cb638	16	49131807	89317317	25855	0.0017
f06d78a7-0c38-429e-a44c-a002d47cb638	17	1074619	82959812	37295	-0.0012
f06d78a7-0c38-429e-a44c-a002d47cb638	18	326691	79349796	42979	0.0019
f06d78a7-0c38-429e-a44c-a002d47cb638	19	283868	58370362	24159	0.0037
f06d78a7-0c38-429e-a44c-a002d47cb638	20	472817	63588502	37572	0.0019
f06d78a7-0c38-429e-a44c-a002d47cb638	21	13974127	46262057	20601	0.003
f06d78a7-0c38-429e-a44c-a002d47cb638	22	16934932	39190453	10884	0.0035
f06d78a7-0c38-429e-a44c-a002d47cb638	22	39193347	39196276	3	-0.8926
f06d78a7-0c38-429e-a44c-a002d47cb638	22	39198735	48940621	6213	0.006
f06d78a7-0c38-429e-a44c-a002d47cb638	X	3236359	27933103	10971	0.002
f06d78a7-0c38-429e-a44c-a002d47cb638	X	27936413	27937102	2	-1.5437
f06d78a7-0c38-429e-a44c-a002d47cb638	X	27937570	155677414	53012	0.0021
