GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	62920	10310529	5156	-0.0106
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	10310579	10317925	15	-0.6482
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	10321714	16542868	3457	-0.02
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	16544783	16766922	44	0.4907
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	16767520	21991690	3397	-0.0239
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	21992508	22011632	7	-1.1275
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	22015896	24550967	1455	-0.0046
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	24552300	24575535	6	-0.875
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	24575585	25269456	444	0.0137
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	25269914	25346663	24	0.6009
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	25351593	25373504	15	0.0552
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	25376228	25419576	11	0.5388
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	25423606	55257768	16406	0.0034
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	55258350	55258626	6	-2.1652
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	55263695	72303233	12211	-0.0014
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	72303253	72345450	44	-1.3631
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	72345465	95646165	15117	0.001
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	95647694	95653269	3	-2.9368
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	95653852	109684893	8424	0.008
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	109690352	109697556	13	0.9051
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	109702376	110833598	831	-0.0031
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	110834746	110841332	36	-0.8033
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	110841350	121601998	6244	0.0072
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	121705338	144932423	145	-0.728
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	145642976	152583051	2290	0.0189
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	152583230	152613762	31	-1.8008
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	152613802	166206806	9137	0.0093
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	166215244	166225133	10	0.6641
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	166226465	166579136	248	0.003
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	166582964	166583523	5	-1.3659
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	166583858	180965214	9633	0.008
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	180968919	180968981	3	-1.8402
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	180971239	196745743	10527	0.0028
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	196758720	196788990	35	-0.6106
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	196789019	238586809	28574	0.0047
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	238588320	238588637	5	-1.7429
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	238589096	240228440	1290	-0.0125
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	240230715	240230824	5	-2.3107
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	240230839	248546369	5670	0.0167
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	248550567	248633912	35	-2.1512
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	248645563	248646068	3	1.4819
b1be35e5-07c2-406a-87cb-d3fc602ff257	1	248661836	248930189	138	-0.0037
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	12784	34476558	24041	0.0038
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	34476604	34511446	41	0.4389
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	34511990	35742970	869	-0.0011
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	35750907	35762881	8	-1.6037
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	35772407	87117615	34061	0.0035
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	87134049	87203730	16	-0.6519
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	87207015	87218834	7	-1.9305
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	87221597	87696853	91	-0.5387
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	87725148	97192190	1700	0.0005
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	97199600	97211436	14	-0.811
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	97310327	124390174	16245	0.0072
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	124393146	124395253	2	-3.052
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	124395963	129787992	3444	0.0185
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	129791702	129801673	10	-0.8839
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	129802474	130486519	251	0.0106
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	130486635	130539652	3	1.0948
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	130560276	131451478	317	0.0352
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	131451620	131472300	12	-0.6328
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	131475891	146104517	9072	0.0046
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	146106836	146120827	26	0.5098
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	146120842	179553661	20422	0.0086
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	179553763	179564437	30	-0.6
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	179565342	207490188	16399	0.007
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	207490231	207494795	19	-0.5908
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	207494836	212316597	3032	0.0114
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	212321824	212325660	15	-1.3432
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	212325966	229453765	11218	0.0096
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	229454199	229462927	8	-1.0156
b1be35e5-07c2-406a-87cb-d3fc602ff257	2	229465183	242147305	7756	-0.0014
b1be35e5-07c2-406a-87cb-d3fc602ff257	3	20930	68682877	47616	0.0013
b1be35e5-07c2-406a-87cb-d3fc602ff257	3	68697013	68698262	15	1.2024
b1be35e5-07c2-406a-87cb-d3fc602ff257	3	68699607	82059630	8595	-0.0067
b1be35e5-07c2-406a-87cb-d3fc602ff257	3	82062201	82064038	3	-1.8596
b1be35e5-07c2-406a-87cb-d3fc602ff257	3	82064741	130067531	25979	0.0011
b1be35e5-07c2-406a-87cb-d3fc602ff257	3	130067896	130088081	30	0.7502
b1be35e5-07c2-406a-87cb-d3fc602ff257	3	130088155	197613975	41850	0.0022
b1be35e5-07c2-406a-87cb-d3fc602ff257	3	197621717	197627117	2	-2.1846
b1be35e5-07c2-406a-87cb-d3fc602ff257	3	197671345	198169247	240	-0.0229
b1be35e5-07c2-406a-87cb-d3fc602ff257	4	68929	10208766	5683	-0.0069
b1be35e5-07c2-406a-87cb-d3fc602ff257	4	10212536	10233542	34	1.2028
b1be35e5-07c2-406a-87cb-d3fc602ff257	4	10233558	34777382	16938	0.0024
b1be35e5-07c2-406a-87cb-d3fc602ff257	4	34777403	34817589	38	0.6147
b1be35e5-07c2-406a-87cb-d3fc602ff257	4	34819718	54635561	10789	0.004
b1be35e5-07c2-406a-87cb-d3fc602ff257	4	54635754	54639193	2	2.2493
b1be35e5-07c2-406a-87cb-d3fc602ff257	4	54639766	68494770	8615	0.0027
b1be35e5-07c2-406a-87cb-d3fc602ff257	4	68501424	68674307	74	0.367
b1be35e5-07c2-406a-87cb-d3fc602ff257	4	68686026	69254604	303	-0.0344
b1be35e5-07c2-406a-87cb-d3fc602ff257	4	69254981	69370433	62	-0.5491
b1be35e5-07c2-406a-87cb-d3fc602ff257	4	69374263	70104102	468	0.0024
b1be35e5-07c2-406a-87cb-d3fc602ff257	4	70108253	70119308	12	-0.8724
b1be35e5-07c2-406a-87cb-d3fc602ff257	4	70119484	114258196	26777	-0.0004
