GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	1	3301765	247650984	129641	0.012
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	2	480597	57586662	33889	0.0095
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	2	57597164	57598893	4	-1.823
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	2	57600501	241537572	98155	0.011
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	3	2170634	197812401	107102	0.0085
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	4	1059384	25465131	15361	0.008
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	4	25465555	25469542	2	-1.5231
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	4	25470246	65701338	21102	0.0039
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	4	65701461	65701480	2	-1.4224
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	4	65703050	187842528	66948	0.0092
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	5	914118	180934240	101056	0.0083
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	6	1011760	134581083	75529	0.0083
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	6	134583177	134583386	2	-1.3428
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	6	134583881	150789587	10041	0.0086
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	6	150791847	151095132	225	0.5699
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	6	151095755	170596889	11272	0.0073
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	7	664936	77845692	38962	0.01
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	7	77847535	77850032	2	-1.8207
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	7	77852722	149666917	38388	0.0046
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	7	149668212	149668324	2	-1.6073
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	7	149669500	157929111	4268	0.0053
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	7	157931756	157931787	2	-1.0612
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	7	157934600	158592540	231	0.0019
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	8	667625	144182542	82164	0.0094
c6d7fed2-e1b8-4367-99fa-62bfc648a9c8	9	789794	138044505	68393	0.0063
