GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	62920	259407	14	-0.9883
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	259422	1731499	206	0.0275
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	1731897	1732392	3	-1.1981
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	1737662	3680520	697	0.0546
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	3690956	3782383	60	0.3273
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	3782627	11605233	4891	0.0143
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	11607088	11743365	63	0.3767
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	11746794	11916901	96	0.5957
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	11919228	12022869	45	0.3037
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	12033527	15558263	2121	0.0154
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	15562377	15737698	86	0.3134
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	15739112	15823420	54	-0.0289
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	15827002	15827430	6	-1.9532
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	15827706	31148580	8692	0.0022
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	31150820	31152499	2	-2.1048
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	31152542	31428805	149	0.0296
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	31435322	31826337	201	0.3294
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	31826748	38940679	4007	-0.0044
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	38940972	39254509	138	0.2754
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	39257956	41251116	1036	-0.0176
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	41251474	41609259	240	0.3574
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	41609596	46158338	2584	-0.0083
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	46160246	46298732	46	0.3128
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	46306673	67407098	14279	-0.0086
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	67413135	69561133	1391	0.3202
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	69562123	72297687	1653	-0.0254
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	72302735	72345465	48	-1.6345
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	72346221	77007765	3038	-0.0279
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	77012109	77127401	58	1.5037
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	77131426	77216813	37	1.8373
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	77223068	77978026	438	0.9752
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	77985653	79478867	893	1.3488
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	79480528	81676980	1559	1.0926
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	81678658	83274841	1019	-0.0242
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	83275827	85088294	1263	0.336
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	85089452	85274763	114	0.6062
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	85275129	87911578	1795	0.3184
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	87914454	90147246	1415	-0.0337
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	90159810	90605574	299	0.3367
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	90606408	94876609	2693	-0.0134
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	94877259	95019262	106	0.3096
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	95019623	97138481	1314	-0.0074
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	97142554	97733965	344	1.5075
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	97734567	101440789	2303	-0.022
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	101441212	101474918	33	0.3187
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	101475087	105478582	2223	-0.017
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	105478597	105479722	9	0.7161
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	105479738	107606010	1494	-0.0017
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	107606064	107785756	158	0.2462
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	107786293	108186662	286	-0.0104
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	108187137	108192255	3	-1.0577
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	108194874	109684893	694	-0.0182
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	109690352	109692006	10	-1.2009
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	109696900	113555500	2842	-0.0031
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	113563587	113618494	41	0.3516
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	113623939	113647777	13	-0.0383
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	113656357	113729952	31	0.3138
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	113738095	121598439	4206	0.003
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	121601998	143710845	92	0.3872
0f1195ba-3464-497c-9c2f-9555f7af44b7	1	143713743	152789532	2556	-0.023
