GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
23776d54-0d92-4dc9-88ad-245854eeb8db	1	62920	1300442	158	-0.0121
23776d54-0d92-4dc9-88ad-245854eeb8db	1	1300464	1307138	12	0.6783
23776d54-0d92-4dc9-88ad-245854eeb8db	1	1307153	1791493	86	0.1404
23776d54-0d92-4dc9-88ad-245854eeb8db	1	1796285	1850623	37	-0.2071
23776d54-0d92-4dc9-88ad-245854eeb8db	1	1851123	3308094	457	0.1683
23776d54-0d92-4dc9-88ad-245854eeb8db	1	3308771	16641639	7914	0.0219
23776d54-0d92-4dc9-88ad-245854eeb8db	1	16641704	16855942	37	0.3603
23776d54-0d92-4dc9-88ad-245854eeb8db	1	16863509	16935302	52	-0.5593
23776d54-0d92-4dc9-88ad-245854eeb8db	1	16935393	34625857	10235	0.0191
23776d54-0d92-4dc9-88ad-245854eeb8db	1	34625993	34638890	23	-0.6425
23776d54-0d92-4dc9-88ad-245854eeb8db	1	34648667	72302815	23764	0.0163
23776d54-0d92-4dc9-88ad-245854eeb8db	1	72303233	72345450	45	-1.1826
23776d54-0d92-4dc9-88ad-245854eeb8db	1	72345465	72511042	97	0.0293
23776d54-0d92-4dc9-88ad-245854eeb8db	1	72514747	72515406	4	-1.1164
23776d54-0d92-4dc9-88ad-245854eeb8db	1	72515943	81235057	5534	0.0158
23776d54-0d92-4dc9-88ad-245854eeb8db	1	81238791	81238897	2	-2.3799
23776d54-0d92-4dc9-88ad-245854eeb8db	1	81239267	109690352	17967	0.0161
23776d54-0d92-4dc9-88ad-245854eeb8db	1	109690415	109697556	12	1.8586
23776d54-0d92-4dc9-88ad-245854eeb8db	1	109702376	110858171	885	0.0298
23776d54-0d92-4dc9-88ad-245854eeb8db	1	110858213	110859082	8	-0.8229
23776d54-0d92-4dc9-88ad-245854eeb8db	1	110859267	143459641	6241	0.0086
23776d54-0d92-4dc9-88ad-245854eeb8db	1	143494500	143710781	87	0.2239
23776d54-0d92-4dc9-88ad-245854eeb8db	1	143710798	144442342	45	-0.1072
23776d54-0d92-4dc9-88ad-245854eeb8db	1	144445555	144932423	11	-0.8719
23776d54-0d92-4dc9-88ad-245854eeb8db	1	145642976	147545754	543	0.026
23776d54-0d92-4dc9-88ad-245854eeb8db	1	147546663	147546759	2	-1.7968
23776d54-0d92-4dc9-88ad-245854eeb8db	1	147547174	152789447	1957	0.0146
23776d54-0d92-4dc9-88ad-245854eeb8db	1	152789463	152796224	36	-0.4013
23776d54-0d92-4dc9-88ad-245854eeb8db	1	152801429	160403281	4596	0.0189
23776d54-0d92-4dc9-88ad-245854eeb8db	1	160404022	160404167	2	-1.6829
23776d54-0d92-4dc9-88ad-245854eeb8db	1	160404718	161871226	829	0.0239
23776d54-0d92-4dc9-88ad-245854eeb8db	1	161872158	161872417	3	1.1558
23776d54-0d92-4dc9-88ad-245854eeb8db	1	161874316	174827267	9374	0.0153
23776d54-0d92-4dc9-88ad-245854eeb8db	1	174827418	174833014	23	-0.5122
23776d54-0d92-4dc9-88ad-245854eeb8db	1	174833313	193244080	12343	0.0134
23776d54-0d92-4dc9-88ad-245854eeb8db	1	193244261	193244344	4	2.5938
23776d54-0d92-4dc9-88ad-245854eeb8db	1	193252785	229849166	24320	0.0152
23776d54-0d92-4dc9-88ad-245854eeb8db	1	229849193	229849648	5	-1.4725
23776d54-0d92-4dc9-88ad-245854eeb8db	1	229852878	233823659	3090	0.0232
23776d54-0d92-4dc9-88ad-245854eeb8db	1	233827424	233828272	2	1.5637
23776d54-0d92-4dc9-88ad-245854eeb8db	1	233830577	235580692	1229	0.025
23776d54-0d92-4dc9-88ad-245854eeb8db	1	235582716	235583126	5	-0.7897
23776d54-0d92-4dc9-88ad-245854eeb8db	1	235584340	237094967	1096	-0.0051
23776d54-0d92-4dc9-88ad-245854eeb8db	1	237095284	237095547	3	-1.2675
23776d54-0d92-4dc9-88ad-245854eeb8db	1	237095946	243020002	4670	0.0149
23776d54-0d92-4dc9-88ad-245854eeb8db	1	243041087	243041102	2	-1.6893
23776d54-0d92-4dc9-88ad-245854eeb8db	1	243042636	243602256	300	0.003
23776d54-0d92-4dc9-88ad-245854eeb8db	1	243602560	243602673	3	1.0609
23776d54-0d92-4dc9-88ad-245854eeb8db	1	243603261	244473659	618	0.0294
23776d54-0d92-4dc9-88ad-245854eeb8db	1	244479646	244479927	2	-1.6827
23776d54-0d92-4dc9-88ad-245854eeb8db	1	244480961	248442451	2615	0.0117
23776d54-0d92-4dc9-88ad-245854eeb8db	1	248446755	248447206	2	-1.8553
23776d54-0d92-4dc9-88ad-245854eeb8db	1	248457862	248589915	30	-0.1712
23776d54-0d92-4dc9-88ad-245854eeb8db	1	248590063	248887260	147	0.1155
23776d54-0d92-4dc9-88ad-245854eeb8db	1	248890468	248930189	22	-0.2588
23776d54-0d92-4dc9-88ad-245854eeb8db	2	12784	55692	25	-0.3898
23776d54-0d92-4dc9-88ad-245854eeb8db	2	59698	724472	486	0.0054
23776d54-0d92-4dc9-88ad-245854eeb8db	2	725808	727810	3	-0.6176
23776d54-0d92-4dc9-88ad-245854eeb8db	2	729482	1932341	742	0.1025
23776d54-0d92-4dc9-88ad-245854eeb8db	2	1933314	24378642	16675	0.0228
23776d54-0d92-4dc9-88ad-245854eeb8db	2	24378911	24387919	17	-0.8184
23776d54-0d92-4dc9-88ad-245854eeb8db	2	24388259	34466002	6142	0.0096
23776d54-0d92-4dc9-88ad-245854eeb8db	2	34474248	34511990	46	-2.366
23776d54-0d92-4dc9-88ad-245854eeb8db	2	34512489	41011095	4803	0.0135
23776d54-0d92-4dc9-88ad-245854eeb8db	2	41011303	41018747	22	-0.6576
23776d54-0d92-4dc9-88ad-245854eeb8db	2	41024093	49433197	6012	0.0267
23776d54-0d92-4dc9-88ad-245854eeb8db	2	49433483	49433618	2	1.6158
23776d54-0d92-4dc9-88ad-245854eeb8db	2	49434197	54201533	3443	0.0197
23776d54-0d92-4dc9-88ad-245854eeb8db	2	54206615	54206889	2	1.8826
23776d54-0d92-4dc9-88ad-245854eeb8db	2	54207604	55394608	927	0.0177
23776d54-0d92-4dc9-88ad-245854eeb8db	2	55400503	55400777	3	1.8359
23776d54-0d92-4dc9-88ad-245854eeb8db	2	55405109	75655273	12732	0.0178
23776d54-0d92-4dc9-88ad-245854eeb8db	2	75655530	75656150	5	-1.5725
23776d54-0d92-4dc9-88ad-245854eeb8db	2	75656436	86901078	7073	0.0186
23776d54-0d92-4dc9-88ad-245854eeb8db	2	86902080	86910262	2	-1.9778
23776d54-0d92-4dc9-88ad-245854eeb8db	2	86934730	87489240	98	-0.1024
23776d54-0d92-4dc9-88ad-245854eeb8db	2	87489506	87528459	11	-0.9355
23776d54-0d92-4dc9-88ad-245854eeb8db	2	87542032	88356182	266	-0.0204
23776d54-0d92-4dc9-88ad-245854eeb8db	2	88360069	88360088	2	-2.0962
23776d54-0d92-4dc9-88ad-245854eeb8db	2	88365118	124974099	18124	0.0173
23776d54-0d92-4dc9-88ad-245854eeb8db	2	124974576	124980780	2	-1.8455
23776d54-0d92-4dc9-88ad-245854eeb8db	2	124984963	135705261	6212	0.0151
23776d54-0d92-4dc9-88ad-245854eeb8db	2	135707248	135707572	3	-1.4986
23776d54-0d92-4dc9-88ad-245854eeb8db	2	135708286	146104517	6554	0.012
23776d54-0d92-4dc9-88ad-245854eeb8db	2	146106836	146109366	24	-1.7691
23776d54-0d92-4dc9-88ad-245854eeb8db	2	146120238	155182274	5536	0.0111
