GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8c74f209-9286-4af4-8c65-61801d2aa47e	1	62920	783283	24	0.3754
8c74f209-9286-4af4-8c65-61801d2aa47e	1	787937	2338509	389	-0.1021
8c74f209-9286-4af4-8c65-61801d2aa47e	1	2340625	2351678	5	-1.9511
8c74f209-9286-4af4-8c65-61801d2aa47e	1	2351722	16689764	8198	-0.1317
8c74f209-9286-4af4-8c65-61801d2aa47e	1	16718963	16788139	19	-1.2221
8c74f209-9286-4af4-8c65-61801d2aa47e	1	16855942	53142753	20252	-0.1259
8c74f209-9286-4af4-8c65-61801d2aa47e	1	53142899	102277451	32545	-0.6067
8c74f209-9286-4af4-8c65-61801d2aa47e	1	102278456	102278753	2	-4.7957
8c74f209-9286-4af4-8c65-61801d2aa47e	1	102279211	105478582	1610	-0.589
8c74f209-9286-4af4-8c65-61801d2aa47e	1	105478597	105479753	11	-1.599
8c74f209-9286-4af4-8c65-61801d2aa47e	1	105481433	108187137	1911	-0.5926
8c74f209-9286-4af4-8c65-61801d2aa47e	1	108191613	108192255	2	-4.7466
8c74f209-9286-4af4-8c65-61801d2aa47e	1	108194874	110101711	952	-0.5978
8c74f209-9286-4af4-8c65-61801d2aa47e	1	110103624	110820818	562	-0.0625
8c74f209-9286-4af4-8c65-61801d2aa47e	1	110822125	110840603	39	-0.4038
8c74f209-9286-4af4-8c65-61801d2aa47e	1	110840712	110840856	6	0.1423
8c74f209-9286-4af4-8c65-61801d2aa47e	1	110841157	112147704	1058	-0.6445
8c74f209-9286-4af4-8c65-61801d2aa47e	1	112153343	112154390	18	0.208
8c74f209-9286-4af4-8c65-61801d2aa47e	1	112154552	114180217	1207	-0.6308
8c74f209-9286-4af4-8c65-61801d2aa47e	1	114182441	115784629	1058	-0.0838
8c74f209-9286-4af4-8c65-61801d2aa47e	1	115785250	116016532	192	-0.6549
8c74f209-9286-4af4-8c65-61801d2aa47e	1	116021720	116040311	18	-0.1277
8c74f209-9286-4af4-8c65-61801d2aa47e	1	116041897	116610337	355	-0.6204
8c74f209-9286-4af4-8c65-61801d2aa47e	1	116611755	121705338	2268	-0.0993
8c74f209-9286-4af4-8c65-61801d2aa47e	1	143459641	143754062	113	0.7855
8c74f209-9286-4af4-8c65-61801d2aa47e	1	143754077	143754192	2	-1.8578
8c74f209-9286-4af4-8c65-61801d2aa47e	1	143754798	152580343	2312	0.5964
8c74f209-9286-4af4-8c65-61801d2aa47e	1	152580550	152618018	39	1.2103
8c74f209-9286-4af4-8c65-61801d2aa47e	1	152618089	152790191	179	0.6547
8c74f209-9286-4af4-8c65-61801d2aa47e	1	152790286	152795388	14	1.4819
8c74f209-9286-4af4-8c65-61801d2aa47e	1	152795408	164614176	7531	0.6014
8c74f209-9286-4af4-8c65-61801d2aa47e	1	164614336	164614384	2	-1.0647
8c74f209-9286-4af4-8c65-61801d2aa47e	1	164617281	169247699	3699	0.6058
8c74f209-9286-4af4-8c65-61801d2aa47e	1	169264736	169272528	6	2.094
8c74f209-9286-4af4-8c65-61801d2aa47e	1	169273163	193186662	15735	0.6223
8c74f209-9286-4af4-8c65-61801d2aa47e	1	193187149	193187218	4	-0.9443
8c74f209-9286-4af4-8c65-61801d2aa47e	1	193190593	196843377	2447	0.6309
8c74f209-9286-4af4-8c65-61801d2aa47e	1	196843400	196846661	2	-2.5109
8c74f209-9286-4af4-8c65-61801d2aa47e	1	196847600	209897717	8748	0.6109
8c74f209-9286-4af4-8c65-61801d2aa47e	1	209908268	209910639	3	-3.21
8c74f209-9286-4af4-8c65-61801d2aa47e	1	209913207	248930189	26926	0.611
8c74f209-9286-4af4-8c65-61801d2aa47e	2	12784	1287324	839	-0.0907
8c74f209-9286-4af4-8c65-61801d2aa47e	2	1289488	1289899	2	-2.4658
8c74f209-9286-4af4-8c65-61801d2aa47e	2	1290267	11124822	7625	-0.0874
8c74f209-9286-4af4-8c65-61801d2aa47e	2	11132450	11132658	2	-2.0255
8c74f209-9286-4af4-8c65-61801d2aa47e	2	11138310	14563570	2466	-0.0783
8c74f209-9286-4af4-8c65-61801d2aa47e	2	14564825	14569897	11	-1.2886
8c74f209-9286-4af4-8c65-61801d2aa47e	2	14569968	52527743	25884	-0.0853
8c74f209-9286-4af4-8c65-61801d2aa47e	2	52531615	52554404	33	0.8928
8c74f209-9286-4af4-8c65-61801d2aa47e	2	52560811	52918389	312	-0.0659
8c74f209-9286-4af4-8c65-61801d2aa47e	2	52918687	52919610	3	-2.6679
8c74f209-9286-4af4-8c65-61801d2aa47e	2	52919878	146104517	52499	-0.078
8c74f209-9286-4af4-8c65-61801d2aa47e	2	146106836	146109341	23	-2.7515
8c74f209-9286-4af4-8c65-61801d2aa47e	2	146109366	159099246	7726	-0.0683
8c74f209-9286-4af4-8c65-61801d2aa47e	2	159100008	159100546	3	-2.1182
8c74f209-9286-4af4-8c65-61801d2aa47e	2	159100965	215903024	34302	-0.0684
8c74f209-9286-4af4-8c65-61801d2aa47e	2	215903370	242147305	16563	-0.0944
8c74f209-9286-4af4-8c65-61801d2aa47e	3	20930	68697013	47369	-0.0865
8c74f209-9286-4af4-8c65-61801d2aa47e	3	68697108	68698262	14	1.4504
8c74f209-9286-4af4-8c65-61801d2aa47e	3	68699607	75519398	4891	-0.0848
8c74f209-9286-4af4-8c65-61801d2aa47e	3	75523398	75537654	6	-2.0327
8c74f209-9286-4af4-8c65-61801d2aa47e	3	75546030	99218940	10903	-0.0633
8c74f209-9286-4af4-8c65-61801d2aa47e	3	99225614	99230577	37	-0.8492
8c74f209-9286-4af4-8c65-61801d2aa47e	3	99232120	132270486	20026	-0.0788
8c74f209-9286-4af4-8c65-61801d2aa47e	3	132270503	132276840	5	-1.9526
8c74f209-9286-4af4-8c65-61801d2aa47e	3	132281633	146657977	8880	-0.0765
8c74f209-9286-4af4-8c65-61801d2aa47e	3	146658754	146668345	7	-1.7676
8c74f209-9286-4af4-8c65-61801d2aa47e	3	146674197	162499233	9592	-0.069
8c74f209-9286-4af4-8c65-61801d2aa47e	3	162500556	162501061	6	-1.3387
8c74f209-9286-4af4-8c65-61801d2aa47e	3	162501081	162794951	194	-0.0964
8c74f209-9286-4af4-8c65-61801d2aa47e	3	162795304	162908207	68	-2.404
8c74f209-9286-4af4-8c65-61801d2aa47e	3	162908784	193156958	19015	-0.0762
8c74f209-9286-4af4-8c65-61801d2aa47e	3	193160113	193165114	20	-1.6421
8c74f209-9286-4af4-8c65-61801d2aa47e	3	193168646	198169247	2663	-0.0868
8c74f209-9286-4af4-8c65-61801d2aa47e	4	68929	9455251	5109	-0.1143
8c74f209-9286-4af4-8c65-61801d2aa47e	4	9459504	9463248	3	1.6702
8c74f209-9286-4af4-8c65-61801d2aa47e	4	9469529	10221792	539	-0.0781
8c74f209-9286-4af4-8c65-61801d2aa47e	4	10222004	10228006	12	-0.834
8c74f209-9286-4af4-8c65-61801d2aa47e	4	10228296	10232642	15	-1.9293
8c74f209-9286-4af4-8c65-61801d2aa47e	4	10232984	34777432	16857	-0.0757
8c74f209-9286-4af4-8c65-61801d2aa47e	4	34784878	34819718	36	-0.7876
8c74f209-9286-4af4-8c65-61801d2aa47e	4	34822561	63827261	16451	-0.0763
8c74f209-9286-4af4-8c65-61801d2aa47e	4	63828222	63842540	29	-0.694
8c74f209-9286-4af4-8c65-61801d2aa47e	4	63850713	68395346	2833	-0.0614
8c74f209-9286-4af4-8c65-61801d2aa47e	4	68416487	68422424	5	-2.0652
8c74f209-9286-4af4-8c65-61801d2aa47e	4	68429081	68509442	15	-0.0923
8c74f209-9286-4af4-8c65-61801d2aa47e	4	68509630	68749255	85	0.356
8c74f209-9286-4af4-8c65-61801d2aa47e	4	68749350	103824414	21221	-0.0703
8c74f209-9286-4af4-8c65-61801d2aa47e	4	103830473	103830480	5	-2.0628
8c74f209-9286-4af4-8c65-61801d2aa47e	4	103830487	114252544	6244	-0.0716
8c74f209-9286-4af4-8c65-61801d2aa47e	4	114254167	114261019	23	0.9805
8c74f209-9286-4af4-8c65-61801d2aa47e	4	114263073	117919989	2269	-0.0596
8c74f209-9286-4af4-8c65-61801d2aa47e	4	117929111	117948054	11	-1.48
8c74f209-9286-4af4-8c65-61801d2aa47e	4	117954535	121360818	2026	-0.0704
8c74f209-9286-4af4-8c65-61801d2aa47e	4	121361313	121363980	27	-1.065
8c74f209-9286-4af4-8c65-61801d2aa47e	4	121369976	151868634	17582	-0.071
8c74f209-9286-4af4-8c65-61801d2aa47e	4	151870381	151871739	13	-1.0403
8c74f209-9286-4af4-8c65-61801d2aa47e	4	151873644	156022194	2764	-0.0759
8c74f209-9286-4af4-8c65-61801d2aa47e	4	156026142	156047146	14	-0.8922
8c74f209-9286-4af4-8c65-61801d2aa47e	4	156047321	160959045	3050	-0.0649
8c74f209-9286-4af4-8c65-61801d2aa47e	4	160959151	160963756	17	-0.8822
8c74f209-9286-4af4-8c65-61801d2aa47e	4	160963767	172067997	7024	-0.0641
8c74f209-9286-4af4-8c65-61801d2aa47e	4	172068015	172068382	11	-2.6075
8c74f209-9286-4af4-8c65-61801d2aa47e	4	172074828	189267889	11616	-0.0786
8c74f209-9286-4af4-8c65-61801d2aa47e	4	189273964	189278617	5	-3.0694
8c74f209-9286-4af4-8c65-61801d2aa47e	4	189290117	190106768	349	-0.079
8c74f209-9286-4af4-8c65-61801d2aa47e	5	15532	685633	306	0.6398
8c74f209-9286-4af4-8c65-61801d2aa47e	5	698256	773453	27	1.7061
8c74f209-9286-4af4-8c65-61801d2aa47e	5	779766	27524345	18853	0.6321
8c74f209-9286-4af4-8c65-61801d2aa47e	5	27525283	27525913	10	-0.5891
8c74f209-9286-4af4-8c65-61801d2aa47e	5	27527372	46251204	11378	0.6302
8c74f209-9286-4af4-8c65-61801d2aa47e	5	46270906	46273400	8	-2.8847
8c74f209-9286-4af4-8c65-61801d2aa47e	5	46278110	58025819	5063	0.6361
8c74f209-9286-4af4-8c65-61801d2aa47e	5	58030200	58037706	32	-1.8031
8c74f209-9286-4af4-8c65-61801d2aa47e	5	58042530	69533520	7275	0.6291
8c74f209-9286-4af4-8c65-61801d2aa47e	5	69550476	70959076	15	0.1756
8c74f209-9286-4af4-8c65-61801d2aa47e	5	70959077	71095358	10	1.3
8c74f209-9286-4af4-8c65-61801d2aa47e	5	71095426	76154195	3122	0.6315
8c74f209-9286-4af4-8c65-61801d2aa47e	5	76154242	76154319	3	-1.3192
8c74f209-9286-4af4-8c65-61801d2aa47e	5	76154351	118052915	25696	0.6356
8c74f209-9286-4af4-8c65-61801d2aa47e	5	118052949	118053268	8	-0.555
8c74f209-9286-4af4-8c65-61801d2aa47e	5	118068645	157200346	24739	0.6275
8c74f209-9286-4af4-8c65-61801d2aa47e	5	157203613	175008050	12538	0.3024
8c74f209-9286-4af4-8c65-61801d2aa47e	5	175009018	175012240	9	-1.0441
8c74f209-9286-4af4-8c65-61801d2aa47e	5	175016230	175993893	704	0.2843
8c74f209-9286-4af4-8c65-61801d2aa47e	5	175999690	176011493	5	1.3787
8c74f209-9286-4af4-8c65-61801d2aa47e	5	176033084	177724103	715	0.2904
8c74f209-9286-4af4-8c65-61801d2aa47e	5	177730398	177833329	11	-1.2429
8c74f209-9286-4af4-8c65-61801d2aa47e	5	177838979	178855821	564	0.2864
8c74f209-9286-4af4-8c65-61801d2aa47e	5	178856409	178862335	2	-1.2117
8c74f209-9286-4af4-8c65-61801d2aa47e	5	178864122	179504309	385	0.3003
8c74f209-9286-4af4-8c65-61801d2aa47e	5	179509604	179510391	5	-0.7005
8c74f209-9286-4af4-8c65-61801d2aa47e	5	179513195	180947523	828	0.2983
8c74f209-9286-4af4-8c65-61801d2aa47e	5	180951710	180991103	19	-0.5068
8c74f209-9286-4af4-8c65-61801d2aa47e	5	181006225	181363319	167	0.3682
8c74f209-9286-4af4-8c65-61801d2aa47e	6	149661	254283	101	-0.0658
8c74f209-9286-4af4-8c65-61801d2aa47e	6	257353	294837	23	-0.7654
8c74f209-9286-4af4-8c65-61801d2aa47e	6	302306	380821	77	0.672
8c74f209-9286-4af4-8c65-61801d2aa47e	6	381149	29875657	21284	-0.0769
8c74f209-9286-4af4-8c65-61801d2aa47e	6	29876257	29881490	7	-1.9287
8c74f209-9286-4af4-8c65-61801d2aa47e	6	29882419	31318528	656	-0.0958
8c74f209-9286-4af4-8c65-61801d2aa47e	6	31318754	31328176	5	-2.5707
8c74f209-9286-4af4-8c65-61801d2aa47e	6	31328210	32627306	547	-0.1122
