GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3285e0c3-243c-41ac-b930-880af2f6ab87	1	62920	1958847	326	0.0819
3285e0c3-243c-41ac-b930-880af2f6ab87	1	1959113	3298168	411	-0.0395
3285e0c3-243c-41ac-b930-880af2f6ab87	1	3301765	4831543	1116	0.103
3285e0c3-243c-41ac-b930-880af2f6ab87	1	4834078	4834084	2	-1.2678
3285e0c3-243c-41ac-b930-880af2f6ab87	1	4834890	12294250	4366	0.0904
3285e0c3-243c-41ac-b930-880af2f6ab87	1	12295430	12295446	2	-1.277
3285e0c3-243c-41ac-b930-880af2f6ab87	1	12297031	15720096	2044	0.1124
3285e0c3-243c-41ac-b930-880af2f6ab87	1	15721543	15721617	2	-1.0337
3285e0c3-243c-41ac-b930-880af2f6ab87	1	15721619	15822042	61	0.1113
3285e0c3-243c-41ac-b930-880af2f6ab87	1	15822508	15841304	18	0.5265
3285e0c3-243c-41ac-b930-880af2f6ab87	1	15841360	16679483	327	0.092
3285e0c3-243c-41ac-b930-880af2f6ab87	1	16685961	16949746	79	-0.4414
3285e0c3-243c-41ac-b930-880af2f6ab87	1	16951445	25266637	5260	0.1068
3285e0c3-243c-41ac-b930-880af2f6ab87	1	25269390	25320455	23	0.613
3285e0c3-243c-41ac-b930-880af2f6ab87	1	25336819	34626037	4948	0.0917
3285e0c3-243c-41ac-b930-880af2f6ab87	1	34626073	34638890	21	-0.5913
3285e0c3-243c-41ac-b930-880af2f6ab87	1	34648667	72297687	23761	0.0905
3285e0c3-243c-41ac-b930-880af2f6ab87	1	72302735	72345465	48	0.8134
3285e0c3-243c-41ac-b930-880af2f6ab87	1	72346221	105476583	20954	0.088
3285e0c3-243c-41ac-b930-880af2f6ab87	1	105476614	105479738	15	1.0036
3285e0c3-243c-41ac-b930-880af2f6ab87	1	105479753	108223733	1960	0.1005
3285e0c3-243c-41ac-b930-880af2f6ab87	1	108226680	108274557	2	1.3897
3285e0c3-243c-41ac-b930-880af2f6ab87	1	108310648	109108688	399	0.1278
3285e0c3-243c-41ac-b930-880af2f6ab87	1	109109521	109117063	2	-1.8563
3285e0c3-243c-41ac-b930-880af2f6ab87	1	109117281	109690352	275	0.0662
3285e0c3-243c-41ac-b930-880af2f6ab87	1	109690415	109697556	12	1.3708
3285e0c3-243c-41ac-b930-880af2f6ab87	1	109702376	111622027	1502	0.0687
3285e0c3-243c-41ac-b930-880af2f6ab87	1	111624587	111628891	5	-0.9043
3285e0c3-243c-41ac-b930-880af2f6ab87	1	111632283	112163583	477	0.0983
3285e0c3-243c-41ac-b930-880af2f6ab87	1	112163591	112163596	2	-1.341
3285e0c3-243c-41ac-b930-880af2f6ab87	1	112166431	114289343	1314	0.0872
3285e0c3-243c-41ac-b930-880af2f6ab87	1	114291004	114291088	2	-1.9144
3285e0c3-243c-41ac-b930-880af2f6ab87	1	114291180	196745743	35980	0.0787
3285e0c3-243c-41ac-b930-880af2f6ab87	1	196758720	196846661	61	-2.0091
3285e0c3-243c-41ac-b930-880af2f6ab87	1	196847600	201811267	3268	0.0819
3285e0c3-243c-41ac-b930-880af2f6ab87	1	201814592	201820577	6	0.5906
3285e0c3-243c-41ac-b930-880af2f6ab87	1	201821142	201867633	26	0.9202
3285e0c3-243c-41ac-b930-880af2f6ab87	1	201870870	209897717	5485	0.5552
3285e0c3-243c-41ac-b930-880af2f6ab87	1	209908268	209908720	2	-1.5241
3285e0c3-243c-41ac-b930-880af2f6ab87	1	209910639	240228440	21154	0.5667
3285e0c3-243c-41ac-b930-880af2f6ab87	1	240230715	240230824	5	-2.1503
3285e0c3-243c-41ac-b930-880af2f6ab87	1	240230839	248436996	5655	0.5693
3285e0c3-243c-41ac-b930-880af2f6ab87	1	248437495	248546369	27	0.1889
3285e0c3-243c-41ac-b930-880af2f6ab87	1	248550567	248633912	35	-0.646
3285e0c3-243c-41ac-b930-880af2f6ab87	1	248645563	248703602	36	0.5187
3285e0c3-243c-41ac-b930-880af2f6ab87	1	248703943	248709357	4	-1.2212
3285e0c3-243c-41ac-b930-880af2f6ab87	1	248713007	248930189	101	0.5099
3285e0c3-243c-41ac-b930-880af2f6ab87	2	12784	176411	92	-0.0016
3285e0c3-243c-41ac-b930-880af2f6ab87	2	178283	178356	2	-3.1356
3285e0c3-243c-41ac-b930-880af2f6ab87	2	180484	1906775	1136	0.0048
3285e0c3-243c-41ac-b930-880af2f6ab87	2	1908099	7571017	4743	0.0809
3285e0c3-243c-41ac-b930-880af2f6ab87	2	7571096	7574782	3	1.2591
3285e0c3-243c-41ac-b930-880af2f6ab87	2	7575532	27546966	13492	0.0733
3285e0c3-243c-41ac-b930-880af2f6ab87	2	27549148	27556651	6	-0.8284
3285e0c3-243c-41ac-b930-880af2f6ab87	2	27561561	34476516	4618	0.0799
3285e0c3-243c-41ac-b930-880af2f6ab87	2	34476558	34511990	43	0.7372
3285e0c3-243c-41ac-b930-880af2f6ab87	2	34512096	35750907	871	0.071
3285e0c3-243c-41ac-b930-880af2f6ab87	2	35752724	35762881	7	-1.681
3285e0c3-243c-41ac-b930-880af2f6ab87	2	35772407	38146410	1899	0.0746
3285e0c3-243c-41ac-b930-880af2f6ab87	2	38147425	38147954	2	-1.6073
3285e0c3-243c-41ac-b930-880af2f6ab87	2	38148629	87211079	32279	0.0765
3285e0c3-243c-41ac-b930-880af2f6ab87	2	87218694	87218834	2	-1.7093
3285e0c3-243c-41ac-b930-880af2f6ab87	2	87221597	95493335	1203	0.071
