GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ce888acf-cb20-43f6-936b-be22ed0f817e	1	62920	25256138	14019	-0.16
ce888acf-cb20-43f6-936b-be22ed0f817e	1	25256188	25320198	26	-0.7509
ce888acf-cb20-43f6-936b-be22ed0f817e	1	25320253	28915942	1487	-0.1846
ce888acf-cb20-43f6-936b-be22ed0f817e	1	28916260	67038044	23944	-0.1488
ce888acf-cb20-43f6-936b-be22ed0f817e	1	67038331	72284670	3288	-0.1747
ce888acf-cb20-43f6-936b-be22ed0f817e	1	72290430	72297687	9	-1.5456
ce888acf-cb20-43f6-936b-be22ed0f817e	1	72302735	72345465	48	1.1096
ce888acf-cb20-43f6-936b-be22ed0f817e	1	72346221	74178770	1085	-0.1684
ce888acf-cb20-43f6-936b-be22ed0f817e	1	74178898	85222014	7300	0.1657
ce888acf-cb20-43f6-936b-be22ed0f817e	1	85223451	102485947	11100	-0.1599
ce888acf-cb20-43f6-936b-be22ed0f817e	1	102487529	103614539	532	0.3996
ce888acf-cb20-43f6-936b-be22ed0f817e	1	103614695	103760781	12	1.1391
ce888acf-cb20-43f6-936b-be22ed0f817e	1	103760879	104078845	171	0.4305
ce888acf-cb20-43f6-936b-be22ed0f817e	1	104086397	105335244	664	0.1343
ce888acf-cb20-43f6-936b-be22ed0f817e	1	105337134	105377833	23	0.5282
ce888acf-cb20-43f6-936b-be22ed0f817e	1	105382878	105476861	63	-0.1924
ce888acf-cb20-43f6-936b-be22ed0f817e	1	105478582	105479753	12	-0.8711
ce888acf-cb20-43f6-936b-be22ed0f817e	1	105481433	109684695	2634	-0.1555
ce888acf-cb20-43f6-936b-be22ed0f817e	1	109684893	109697556	14	0.6358
ce888acf-cb20-43f6-936b-be22ed0f817e	1	109702376	112147704	1946	-0.1384
ce888acf-cb20-43f6-936b-be22ed0f817e	1	112153343	112154619	23	-0.8651
ce888acf-cb20-43f6-936b-be22ed0f817e	1	112154754	119246432	4456	-0.1527
ce888acf-cb20-43f6-936b-be22ed0f817e	1	119254516	147637584	1457	0.24
ce888acf-cb20-43f6-936b-be22ed0f817e	1	147638238	147640003	2	-1.2911
ce888acf-cb20-43f6-936b-be22ed0f817e	1	147641339	148343014	223	0.3216
ce888acf-cb20-43f6-936b-be22ed0f817e	1	148347307	151375984	736	0.2216
ce888acf-cb20-43f6-936b-be22ed0f817e	1	151376011	152787202	931	0.3037
ce888acf-cb20-43f6-936b-be22ed0f817e	1	152789447	152796224	37	-0.3062
ce888acf-cb20-43f6-936b-be22ed0f817e	1	152801429	154895579	1225	0.3171
ce888acf-cb20-43f6-936b-be22ed0f817e	1	154902467	156521187	694	0.2423
ce888acf-cb20-43f6-936b-be22ed0f817e	1	156521254	158896783	1696	0.3028
ce888acf-cb20-43f6-936b-be22ed0f817e	1	158898711	158899969	2	-1.0623
