GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
83642122-9661-4506-877b-10c0706fae24	1	3301765	247650984	129722	0.0256
83642122-9661-4506-877b-10c0706fae24	2	480597	65591312	38332	0.0235
83642122-9661-4506-877b-10c0706fae24	2	65597246	65597764	3	-2.3327
83642122-9661-4506-877b-10c0706fae24	2	65599864	75155584	5819	0.0141
83642122-9661-4506-877b-10c0706fae24	2	75159475	75159799	6	-1.3583
83642122-9661-4506-877b-10c0706fae24	2	75162119	241537572	88030	0.0299
83642122-9661-4506-877b-10c0706fae24	3	2170634	197812401	107205	0.0254
83642122-9661-4506-877b-10c0706fae24	4	1059384	187842528	103533	0.0259
83642122-9661-4506-877b-10c0706fae24	5	913983	125052212	67035	0.0265
83642122-9661-4506-877b-10c0706fae24	5	125053678	125054219	2	-3.1141
83642122-9661-4506-877b-10c0706fae24	5	125055707	180934240	34083	0.0225
83642122-9661-4506-877b-10c0706fae24	6	1011760	170596889	97182	0.0268
83642122-9661-4506-877b-10c0706fae24	7	664936	158592540	81953	0.0229
83642122-9661-4506-877b-10c0706fae24	8	667625	144182542	82244	0.0203
83642122-9661-4506-877b-10c0706fae24	9	789794	138044505	68471	0.0227
83642122-9661-4506-877b-10c0706fae24	10	366509	133411599	81294	0.0212
83642122-9661-4506-877b-10c0706fae24	11	456012	87576910	47106	0.0218
83642122-9661-4506-877b-10c0706fae24	11	87578301	87579380	2	-2.2409
83642122-9661-4506-877b-10c0706fae24	11	87581347	134272740	30475	0.0232
83642122-9661-4506-877b-10c0706fae24	12	780472	77163679	41796	0.0247
83642122-9661-4506-877b-10c0706fae24	12	77165334	77165813	2	-2.4286
83642122-9661-4506-877b-10c0706fae24	12	77166757	82540797	3416	0.0287
83642122-9661-4506-877b-10c0706fae24	12	82544972	82549786	3	-1.9074
83642122-9661-4506-877b-10c0706fae24	12	82553902	132605822	29133	0.0212
83642122-9661-4506-877b-10c0706fae24	13	18874255	114226675	57019	0.0286
83642122-9661-4506-877b-10c0706fae24	14	20033191	105533894	49796	0.0221
83642122-9661-4506-877b-10c0706fae24	15	23437561	35495493	5229	0.0082
83642122-9661-4506-877b-10c0706fae24	15	35495623	35508191	2	2.0527
83642122-9661-4506-877b-10c0706fae24	15	35511181	48264237	7377	0.021
83642122-9661-4506-877b-10c0706fae24	15	48268767	48277940	8	-1.2132
83642122-9661-4506-877b-10c0706fae24	15	48280664	101344124	32173	0.0224
83642122-9661-4506-877b-10c0706fae24	16	603333	89317317	41191	0.0106
83642122-9661-4506-877b-10c0706fae24	17	1074619	82959812	37275	0.0246
83642122-9661-4506-877b-10c0706fae24	18	326691	76141189	40978	0.0189
83642122-9661-4506-877b-10c0706fae24	18	76141485	76141531	2	-2.1187
83642122-9661-4506-877b-10c0706fae24	18	76142108	79349796	1989	0.0164
83642122-9661-4506-877b-10c0706fae24	19	283868	58370362	24149	0.033
83642122-9661-4506-877b-10c0706fae24	20	472817	63588502	37557	0.011
83642122-9661-4506-877b-10c0706fae24	21	13974127	46262057	20603	0.0239
83642122-9661-4506-877b-10c0706fae24	22	16934932	25836649	1909	0.0191
83642122-9661-4506-877b-10c0706fae24	22	25837143	25837337	2	-2.0847
83642122-9661-4506-877b-10c0706fae24	22	25837376	48940621	15173	0.0215
83642122-9661-4506-877b-10c0706fae24	X	3236359	155677414	63980	0.0247
