GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	62920	86341	11	-0.951
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	98588	968658	55	-0.1677
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	969227	15823420	8274	-0.0473
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	15827002	15827430	6	-1.8187
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	15827706	25273831	5681	-0.0438
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	25275368	25320455	18	-0.5089
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	25336819	34626073	4952	-0.0452
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	34637053	34638890	20	-0.8648
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	34648667	63037935	17445	-0.0564
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	63038066	65780237	2073	-0.084
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	65784465	65786499	5	-0.9412
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	65788076	66039276	184	-0.0851
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	66041018	66049398	9	-1.326
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	66051367	66063209	16	-0.4054
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	66064138	66069151	7	-0.9174
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	66069548	69415578	2280	-0.084
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	69420631	69437583	15	-0.5356
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	69440624	69651721	148	-0.0793
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	69655432	69660924	5	-0.882
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	69662517	69953074	154	-0.1082
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	69953406	69960060	7	-0.689
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	69962928	72261629	1394	-0.0931
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	72268067	72273050	7	-0.7415
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	72273186	72303253	24	-0.0891
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	72305460	72328621	20	0.5234
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	72328779	72331729	6	-0.4884
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	72332911	72346221	19	0.3772
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	72346757	72542484	115	-0.1431
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	72546237	72550689	9	-0.8051
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	72552840	72601918	27	-0.1352
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	72604146	72609066	6	-0.6542
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	72611765	72708188	104	-0.0682
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	72708223	72743481	25	-0.5367
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	72756238	73028398	146	-0.1205
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	73031025	73037101	3	-1.3723
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	73037383	73344546	157	-0.0915
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	73347493	73353571	10	-0.7545
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	73355530	73497365	87	-0.1068
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	73499731	73504982	4	-1.0487
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	73510075	73511159	5	-0.0534
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	73515607	73518683	4	-1.3456
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	73522883	74226309	412	-0.1317
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	74233415	74235118	5	-1.9482
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	74240703	74762253	350	-0.1003
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	74764284	74777942	16	-0.6113
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	74778080	74823099	29	-0.042
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	74827333	74851555	15	-0.5437
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	74857096	75641129	439	-0.0651
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	75642264	75642473	3	-1.142
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	75643888	76401611	603	-0.0743
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	76403519	76406031	5	-0.7496
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	76412159	78971683	1571	-0.0813
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	78977766	78991263	9	-0.8428
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	78994949	79057950	41	-0.0819
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	79058505	79061957	5	-0.8854
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	79070391	79083323	12	-0.3149
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	79084593	79084916	2	-1.6627
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	79088817	79148332	55	-0.0747
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	79151274	79159054	9	-0.4985
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	79159314	79181017	16	-0.1111
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	79185097	79202141	9	-0.7333
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	79205372	79296782	52	-0.1019
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	79299062	79304374	3	-0.8181
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	79305647	79734684	276	-0.0699
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	79740305	79748118	5	-1.0357
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	79748794	80190895	307	-0.1007
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	80191958	80196485	7	-0.7764
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	80202983	80548547	223	-0.1065
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	80554643	80559837	5	-1.0415
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	80563494	80610076	32	-0.0558
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	80614010	80679684	36	-0.3525
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	80682995	80869483	113	-0.0385
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	80870241	80873722	6	-1.8566
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	80881871	81194240	227	-0.0834
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	81198315	81206328	7	-0.871
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	81209099	81800330	502	-0.0928
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	81810805	81814535	4	-1.2217
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	81814833	81933755	59	-0.1819
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	81937210	81942096	5	-1.6048
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	81945688	94362214	7985	-0.078
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	94364722	94364728	2	-1.7193
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	94371441	95593524	957	-0.0685
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	95597602	95599898	5	-1.1194
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	95605500	96885998	772	-0.1008
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	96886656	96889069	5	-1.1514
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	96893489	97717486	485	-0.0858
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	97719258	97719946	2	-1.5579
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	97725921	98127074	193	-0.1003
4e237dc0-b785-4eb0-9948-a946b41dab8f	1	98135691	98140176	8	-4.0704
