GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	62920	16504088	8513	-0.2457
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	16504325	16934716	109	-0.8269
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	16934753	30371504	7695	-0.2209
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	30371829	30372126	2	-4.3424
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	30375534	37307985	3854	-0.2265
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	37308262	37310697	4	-2.5722
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	37312158	65432268	17722	-0.2386
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	65432318	65440582	3	2.4244
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	65441079	66664771	956	-0.2474
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	66666344	109847464	27169	-0.2831
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	109847846	110828115	722	-0.2302
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	110831471	110840727	32	-1.5124
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	110840759	143582192	6255	-0.2529
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	143586758	152583291	2415	0.4184
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	152583319	152618018	34	-0.8851
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	152618089	152789447	167	0.4365
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	152789463	152795487	30	-1.2644
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	152795783	174827267	14793	0.4139
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	174827418	174828195	7	-1.2052
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	174828247	191111361	10897	0.4174
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	191116084	191511018	231	0.654
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	191512828	193186662	1114	0.4178
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	193187149	193187218	4	2.3239
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	193190593	196740630	2390	0.422
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	196741937	196859649	73	1.1733
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	196859672	197004053	91	0.5701
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	197005289	241990131	31198	0.4156
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	241995035	241995550	2	3.2524
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	242002156	248105652	4081	0.4171
df79e6dc-d6b2-4a7d-b155-cbd1aeeb2e69	1	248114949	248574146	218	0.6807
