GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4ab2f097-3398-4105-97a2-508da64b9be7	1	3301765	64044080	34286	0.0004
4ab2f097-3398-4105-97a2-508da64b9be7	1	64047981	64048457	2	-1.4744
4ab2f097-3398-4105-97a2-508da64b9be7	1	64048978	247650984	95413	0.0029
4ab2f097-3398-4105-97a2-508da64b9be7	2	480597	229028341	124869	0.0054
4ab2f097-3398-4105-97a2-508da64b9be7	2	229028433	229029408	4	-1.1523
4ab2f097-3398-4105-97a2-508da64b9be7	2	229032316	241537572	7279	0.0091
4ab2f097-3398-4105-97a2-508da64b9be7	3	2170634	94855169	51640	0.0031
4ab2f097-3398-4105-97a2-508da64b9be7	3	94855854	94863754	2	-1.6497
4ab2f097-3398-4105-97a2-508da64b9be7	3	94866083	197812401	55499	0.0014
4ab2f097-3398-4105-97a2-508da64b9be7	4	1059384	152967734	84621	0.0024
4ab2f097-3398-4105-97a2-508da64b9be7	4	152968954	152968975	2	-2.7062
4ab2f097-3398-4105-97a2-508da64b9be7	4	152969302	187842528	18866	0.0042
4ab2f097-3398-4105-97a2-508da64b9be7	5	913983	104854498	54985	0.0031
4ab2f097-3398-4105-97a2-508da64b9be7	5	104859736	104863094	7	-1.233
4ab2f097-3398-4105-97a2-508da64b9be7	5	104866941	152199363	28334	0.0009
4ab2f097-3398-4105-97a2-508da64b9be7	5	152203251	152203849	4	-1.0958
4ab2f097-3398-4105-97a2-508da64b9be7	5	152205566	180934240	17748	0.0026
4ab2f097-3398-4105-97a2-508da64b9be7	6	1011760	170596889	97128	0.0006
4ab2f097-3398-4105-97a2-508da64b9be7	7	664936	124956593	63918	0.0022
4ab2f097-3398-4105-97a2-508da64b9be7	7	124959747	125037819	2	-2.1871
4ab2f097-3398-4105-97a2-508da64b9be7	7	125040367	158592540	18005	0.0043
4ab2f097-3398-4105-97a2-508da64b9be7	8	667625	52452180	28153	0.0001
4ab2f097-3398-4105-97a2-508da64b9be7	8	52452684	52453304	4	-1.099
4ab2f097-3398-4105-97a2-508da64b9be7	8	52462668	54383338	1029	0.0042
4ab2f097-3398-4105-97a2-508da64b9be7	8	54385830	54386220	2	-1.901
4ab2f097-3398-4105-97a2-508da64b9be7	8	54388629	144182542	53021	0.0011
4ab2f097-3398-4105-97a2-508da64b9be7	9	789794	101263792	45654	0.0029
4ab2f097-3398-4105-97a2-508da64b9be7	9	101264489	101268377	6	-1.3335
4ab2f097-3398-4105-97a2-508da64b9be7	9	101269495	138044505	22800	-0.0023
4ab2f097-3398-4105-97a2-508da64b9be7	10	366509	133411599	81257	0.0005
4ab2f097-3398-4105-97a2-508da64b9be7	11	456012	116810292	65522	0.0018
4ab2f097-3398-4105-97a2-508da64b9be7	11	116812778	116814051	4	-1.201
4ab2f097-3398-4105-97a2-508da64b9be7	11	116819862	134272740	12009	0.0021
4ab2f097-3398-4105-97a2-508da64b9be7	12	780472	17830318	9787	0.0009
4ab2f097-3398-4105-97a2-508da64b9be7	12	17831547	17831741	2	1.5807
4ab2f097-3398-4105-97a2-508da64b9be7	12	17832067	73594001	29851	0.0035
4ab2f097-3398-4105-97a2-508da64b9be7	12	73597646	73603601	7	-1.1348
4ab2f097-3398-4105-97a2-508da64b9be7	12	73604806	132605822	34684	0.0027
4ab2f097-3398-4105-97a2-508da64b9be7	13	18874255	91300163	41944	0.0006
4ab2f097-3398-4105-97a2-508da64b9be7	13	91300788	91304733	6	-1.1904
4ab2f097-3398-4105-97a2-508da64b9be7	13	91304841	114226675	15039	0.0044
4ab2f097-3398-4105-97a2-508da64b9be7	14	20033191	105533894	49766	0.0016
4ab2f097-3398-4105-97a2-508da64b9be7	15	23437561	70227738	26768	-0.0011
4ab2f097-3398-4105-97a2-508da64b9be7	15	70232168	70233040	3	-1.5068
4ab2f097-3398-4105-97a2-508da64b9be7	15	70236858	101344124	18002	0.0012
4ab2f097-3398-4105-97a2-508da64b9be7	16	603333	89317317	41190	0.0013
4ab2f097-3398-4105-97a2-508da64b9be7	17	1074619	82959812	37267	0.0004
4ab2f097-3398-4105-97a2-508da64b9be7	18	326691	30082016	13602	0.0004
4ab2f097-3398-4105-97a2-508da64b9be7	18	30082169	30082351	2	-1.6886
4ab2f097-3398-4105-97a2-508da64b9be7	18	30091172	79349796	29344	-0.0007
4ab2f097-3398-4105-97a2-508da64b9be7	19	283868	58370362	24142	0.0005
4ab2f097-3398-4105-97a2-508da64b9be7	20	472817	58526312	34329	0.0044
4ab2f097-3398-4105-97a2-508da64b9be7	20	58526614	58528791	2	-1.5778
4ab2f097-3398-4105-97a2-508da64b9be7	20	58531853	63588502	3216	0.0032
4ab2f097-3398-4105-97a2-508da64b9be7	21	13974127	38409999	15784	0.0037
4ab2f097-3398-4105-97a2-508da64b9be7	21	38410136	38410324	2	-1.3307
4ab2f097-3398-4105-97a2-508da64b9be7	21	38413264	46262057	4802	0.0113
4ab2f097-3398-4105-97a2-508da64b9be7	22	16934932	48940621	17084	-0.0005
4ab2f097-3398-4105-97a2-508da64b9be7	X	3236359	155677414	63946	0.0016
