GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
68564280-daf0-4bbb-9aa0-79493b39231b	1	62920	462894	19	-0.1687
68564280-daf0-4bbb-9aa0-79493b39231b	1	599171	668210	2	-1.6285
68564280-daf0-4bbb-9aa0-79493b39231b	1	771719	1575421	188	0.2705
68564280-daf0-4bbb-9aa0-79493b39231b	1	1696479	1720956	9	-0.3997
68564280-daf0-4bbb-9aa0-79493b39231b	1	1731499	3283773	513	0.2662
68564280-daf0-4bbb-9aa0-79493b39231b	1	3285881	9812557	4187	0.1899
68564280-daf0-4bbb-9aa0-79493b39231b	1	9813596	9969909	70	0.4261
68564280-daf0-4bbb-9aa0-79493b39231b	1	9971235	10307072	167	0.2021
68564280-daf0-4bbb-9aa0-79493b39231b	1	10307151	10317925	20	0.5061
68564280-daf0-4bbb-9aa0-79493b39231b	1	10321714	10456970	74	0.1766
68564280-daf0-4bbb-9aa0-79493b39231b	1	10463352	10720289	154	-0.0134
68564280-daf0-4bbb-9aa0-79493b39231b	1	10720670	13680771	1295	0.1957
68564280-daf0-4bbb-9aa0-79493b39231b	1	13681355	13836454	107	0.0256
68564280-daf0-4bbb-9aa0-79493b39231b	1	13841036	16685961	1864	0.1996
68564280-daf0-4bbb-9aa0-79493b39231b	1	16686246	17102068	188	0.4339
68564280-daf0-4bbb-9aa0-79493b39231b	1	17103458	23286534	4047	0.1883
68564280-daf0-4bbb-9aa0-79493b39231b	1	23288799	23405118	74	-0.0389
68564280-daf0-4bbb-9aa0-79493b39231b	1	23405208	26741188	1692	0.2059
68564280-daf0-4bbb-9aa0-79493b39231b	1	26741711	26844771	24	-0.2286
68564280-daf0-4bbb-9aa0-79493b39231b	1	26848475	26851416	6	0.1682
68564280-daf0-4bbb-9aa0-79493b39231b	1	26852359	26905813	19	-0.3133
68564280-daf0-4bbb-9aa0-79493b39231b	1	26909721	30264526	1700	0.1938
68564280-daf0-4bbb-9aa0-79493b39231b	1	30265508	30266949	7	-0.6909
68564280-daf0-4bbb-9aa0-79493b39231b	1	30268649	31738462	921	0.1971
68564280-daf0-4bbb-9aa0-79493b39231b	1	31740537	31759874	11	-0.369
68564280-daf0-4bbb-9aa0-79493b39231b	1	31765214	31905496	67	0.2088
68564280-daf0-4bbb-9aa0-79493b39231b	1	31912562	32427952	188	-0.0438
68564280-daf0-4bbb-9aa0-79493b39231b	1	32428780	32589061	58	0.1772
68564280-daf0-4bbb-9aa0-79493b39231b	1	32595070	32622464	18	-0.0364
68564280-daf0-4bbb-9aa0-79493b39231b	1	32627407	32712674	39	0.1467
68564280-daf0-4bbb-9aa0-79493b39231b	1	32713555	33068749	144	0.3896
68564280-daf0-4bbb-9aa0-79493b39231b	1	33078020	40774847	4432	0.1933
68564280-daf0-4bbb-9aa0-79493b39231b	1	40780187	40925053	93	0.0374
68564280-daf0-4bbb-9aa0-79493b39231b	1	40925678	43573928	1652	0.2068
68564280-daf0-4bbb-9aa0-79493b39231b	1	43575173	43721933	89	0.0016
68564280-daf0-4bbb-9aa0-79493b39231b	1	43725544	44708446	565	0.2121
68564280-daf0-4bbb-9aa0-79493b39231b	1	44709379	44710253	2	-0.8771
